claim_id,layer,paper_role,metric,contrast,direction,reference_method,candidate_method,reference_value,candidate_value,estimate,relative_effect,ci95_lower,ci95_upper,domains_improved,cohort,protocol,source_artifact,source_hash,evidence_type,deployable_status,status,manuscript_location,allowed_wording,forbidden_wording
U1_MATCHED_FIELD,Useful,headline,equal_domain_cai_ratio_mae,B_scalar minus B_field_selected,reference_minus_candidate; positive_favors_spatial_field,B_scalar,B_field_selected,0.1892044106549976,0.12848935652346991,0.060715054131527668,0.32089661082075815,0.0066387324870363223,0.15364295185378532,5/6,276 physical specimens; 6 held-out experimental domains,strict nested LODO; specimen-first equal-domain MAE; familywise simultaneous interval,results/p1_full_field_oracle/metrics.json,73bcf2112e62f756ff8055f49e89147c9f70f36ef5c5c276cdc76f666e8ab18b,registered_confirmatory,full_field_evaluation,SUPPORTED,main,full spatial internal morphology preserves CAI-relevant information absent from the matched scalar representation,I_field_selected is the registered matched estimator; spatial information is universally sufficient
U1_SURFACE_FIELD,Useful,related,equal_domain_cai_ratio_mae,A_surface minus B_field_selected,reference_minus_candidate; positive_favors_spatial_field,A_surface,B_field_selected,0.1881207810617217,0.12848935652346991,0.059631424538251786,0.31698478074406328,0.0072177318720763077,0.1484208598844094,5/6,276 physical specimens; 6 held-out experimental domains,strict nested LODO; specimen-first equal-domain MAE; familywise simultaneous interval,results/p1_full_field_oracle/metrics.json,73bcf2112e62f756ff8055f49e89147c9f70f36ef5c5c276cdc76f666e8ab18b,registered_related_contrast,full_field_evaluation,SUPPORTED,main,measured spatial internal information adds CAI-relevant signal beyond metadata and surface statistics,surface measurements can reconstruct the full internal field
U1_INDEPENDENT_FIELD_SENSITIVITY,Useful,sensitivity,equal_domain_cai_ratio_mae,independent metadata-only-prefix field estimator,lower_is_better,independent metadata-only prefix,I_field_selected,,0.089635804657614337,0.089635804657614337,,,,not_applicable,276 physical specimens; 6 held-out experimental domains,strict nested LODO; independent internal-only candidate family,results/p1_full_field_oracle/domain_metrics.csv,0d0cff63f7f63d55f02f47eea21a8c2c88e51860144ae15565941822dcd9ff49,sensitivity_estimator,full_field_evaluation,SENSITIVITY_ONLY,appendix,a distinct independent estimator yields a lower point MAE and is not the matched confirmatory path,0.099568606 is the registered B-family effect
U2_SPARSE_RETENTION,Useful,headline,registered_full_field_gain_retention,25% nominal bilinear sparse gain divided by full-field gain,higher_is_more_registered_gain_retained,B_field_selected,bilinear_0.25 sparse field,0.12848935652346993,0.13451371200896975,0.89897347695198238,,,,5/6,276 physical specimens; 6 held-out experimental domains,retrospective normalized-raster nominal-density protocol; strict nested LODO,results/p5_sparse_scan/retention.csv,f6aead6cb054294018cdd2ac309140fc46fac02ac30574e8f4841ae8e9960bf6,registered_retrospective,retrospective_non_deployable,SUPPORTED,main,sparse real C-scan measurements retain most registered full-field CAI gain under the normalized-raster protocol,25% scan time is sufficient; 75% scanner-time reduction
U2_SPARSE_GAIN,Useful,supporting,equal_domain_cai_ratio_mae,A_surface minus bilinear_0.25 sparse field,reference_minus_candidate; positive_favors_sparse_field,A_surface,bilinear_0.25 sparse field,0.1881207810617217,0.13451371200896975,0.053607069052751949,0.89897347695198238,0.0056111805532430767,0.13544274819005619,5/6,276 physical specimens; 6 held-out experimental domains,retrospective normalized-raster nominal-density protocol; synchronized familywise bootstrap,results/p5_sparse_scan/bootstrap.csv,6dac2a094b77e380445f67e48b3c93f813b6e8be7948672448ad593778f3ab57,registered_retrospective,retrospective_non_deployable,SUPPORTED,main,the selected sparse condition improves CAI prediction over the surface reference in five held-out domains,sparse measurement equals the full field
U2_SPARSE_FULL_GAP,Useful,boundary,equal_domain_cai_ratio_mae,bilinear_0.25 sparse field minus B_field_selected,candidate_minus_reference; positive_means_sparse_is_worse,B_field_selected,bilinear_0.25 sparse field,0.12848935652346993,0.13451371200896975,0.0060243554854998169,,0.0017300689873626627,0.010833148828451869,0/6,276 physical specimens; 6 held-out experimental domains,retrospective normalized-raster nominal-density protocol; synchronized familywise bootstrap,results/p5_sparse_scan/bootstrap.csv,6dac2a094b77e380445f67e48b3c93f813b6e8be7948672448ad593778f3ab57,registered_retrospective_boundary,retrospective_non_deployable,BOUNDARY_SUPPORTED,main,"the selected sparse condition retains most, but not all, full-field gain",0.001730069 is the lower interval for surface-to-sparse improvement
U3_UNIFORM_ORACLE,Useful,headline,cai_auebc,uniform minus one-shot mechanical oracle,reference_minus_candidate; positive_favors_mechanical_oracle,uniform,one-shot mechanical oracle,0.017363458028339999,0.013457944110677541,0.0039055139176624571,,0.0028007400590012803,0.0050178614169575381,6/6,276 physical specimens; 6 held-out experimental domains,retrospective one-shot exact-cost oracle; source-only fit; held-out-domain evaluation,results/mvd/m0_one_shot_oracle/summary.json,a8abea8c6452855e7e975227948706f153ed72791dc441018865c1c616ccd57d,retrospective_oracle,retrospective_non_deployable,SUPPORTED_ORACLE_ONLY,main,retrospective one-shot mechanical acquisition headroom exists,the oracle is a deployable scanner policy; physical inspection-time reduction
U3_RECONSTRUCTION_ORACLE,Useful,supporting,cai_auebc,one-shot reconstruction minus one-shot mechanical oracle,reference_minus_candidate; positive_favors_mechanical_oracle,one-shot reconstruction,one-shot mechanical oracle,0.017187660390780377,0.013457944110677541,0.0037297162801028347,,0.002838032408647093,0.0046883883114938532,6/6,276 physical specimens; 6 held-out experimental domains,retrospective one-shot exact-cost oracle; source-only fit; held-out-domain evaluation,results/mvd/m0_one_shot_oracle/summary.json,a8abea8c6452855e7e975227948706f153ed72791dc441018865c1c616ccd57d,retrospective_oracle,retrospective_non_deployable,SUPPORTED_ORACLE_ONLY,main,retrospective one-shot mechanical acquisition headroom exists,the oracle is a deployable scanner policy; physical inspection-time reduction
U3_HEADROOM_RETENTION,Useful,supporting,one_shot_sequential_headroom_retention,one-shot oracle gain relative to sequential oracle headroom,higher_is_more_sequential_headroom_retained,sequential mechanical oracle,one-shot mechanical oracle,0.010624525770798778,0.013457944110677541,0.56828276365802977,,,,6/6 versus uniform and reconstruction,276 physical specimens; 6 held-out experimental domains,retrospective one-shot and sequential exact-cost oracle comparison,results/mvd/m0_one_shot_oracle/summary.json,a8abea8c6452855e7e975227948706f153ed72791dc441018865c1c616ccd57d,retrospective_oracle,retrospective_non_deployable,SUPPORTED_ORACLE_ONLY,main,a specimen-specific initial plan retains part of the sequential oracle headroom,one-shot acquisition is deployable or additive
U4_ORACLE_CAI_SPECIFICITY,Useful,headline,cai_auebc,reconstruction oracle minus mechanical oracle on CAI,positive_supports_oracle_task_specificity,reconstruction oracle,mechanical oracle,,,0.048622843139313997,,0.045273264544767003,0.052045350460869,6 held-out domains; equal-domain contrast,276 physical specimens; 6 held-out experimental domains,same cohort and exact-cost oracle trajectories; frozen normalized_rgb_mse reconstruction metric,results/mavis_science_closure/p14_task_specificity/summary.json,26710df19821e5e6edbe333d7c105f2b2bbddb1cf783eb3a64910bb691b6004d,retrospective_oracle_cross_objective,retrospective_non_deployable,SUPPORTED_ORACLE_ONLY,main,mechanics-optimal oracle acquisition improves the CAI objective,oracle task specificity proves learned-policy task specificity or deployability
