dataset_id,filename,height_px,panel_count,panels,registered_cscan_sha256,selection_rank,selection_sha256,sha256,specimen_id,surface_sha256,transform_sha256,width_px
74t7kcdgkr,74t7kcdgkr__c8-18.png,960,4,Surface original;Surface CW90;Surface inverse grid;Registered C-scan grid,78b9da1a0593837752e6f1717eb40240d125ddcc6f34ce8196f3e3f96d39ac3e,1,04032095763a1e6bc975690aa71a53c7145fe90b197b4bf2b622de44d808837f,335d3cf59926ae7e53add0bd29990bb6317929952c64f4535758ff8cfdea0335,c8-18,b5d2533252e978dfd07525f8ad1a7478eec213c848f075b62016a14ed44189e6,2dba8fa0a431b43d656f7aea091161b46e2b98e46f04b1a1a1807a147a92da34,960
74t7kcdgkr,74t7kcdgkr__c8-26.png,960,4,Surface original;Surface CW90;Surface inverse grid;Registered C-scan grid,059b1f52a71da61747b4a5d5dd286e2524edc34c7f6a37145c0c6e36ab668ba2,2,0e221acd62107ffb1b6ceafcab1f838c6dbd214153453220134ca0d443b16a6b,8db4db47d0894a528864759dab3b13cbc5846f297642f148d6589e9e685c8016,c8-26,9f36e3dfc047806d190e6e32852134770bd2446d32a0b9dcb7dfbca5539f5d75,a78af72f97230412a09e15198fb8a36981db964891c951a5cc9a58390851e748,960
cgtnjyggtm,cgtnjyggtm__q24-18.png,960,4,Surface original;Surface CW90;Surface inverse grid;Registered C-scan grid,c5db5bf7c0787e846e3fc9a324470d4bbf7e117532eb9b58ff6d552640b504e8,1,0038f975bdfe1ea11f6f57acb6ee869e7390d0feacad99392f51056ac4c958dc,38828575b708c141a270cbcad63ea774aa503a480698afb2c5671af89e77385d,q24-18,51226c7953af1df9300b50902754d06b12efd72b028ad98b5b134ade21d31a84,1baba47009a3afca7e0d63d07b6f0fc98aebfc76d1a359232fff356a705e1654,960
cgtnjyggtm,cgtnjyggtm__q24-11.png,960,4,Surface original;Surface CW90;Surface inverse grid;Registered C-scan grid,172741aa4fb3cff0f2d90f2afbea2b67f0656c2fc168e0a26725713e37eac78e,2,0417c3516160af97c05564bf3ff2f91c0fb6fabbf045e8487f917a7ccd4488ae,a00dec04593a7de154b0cfbaabdcaa772e7b0f9cc2e83e6dbb6d16a99d904678,q24-11,d5a0acbcd698a0c962e91ccf960ae01d5061a99482a1c2578e56c31f76efa21f,e0d9a6f4951c5c8446a564720fbcade83644ae644838da60206d65a9dd2a4f90,960
w68dtmpfyf,w68dtmpfyf__q16-38.png,960,4,Surface original;Surface CW90;Surface inverse grid;Registered C-scan grid,c07fdfa825807f0a96f26b46126796641b371e7077d3bb476a6c6e249e53b6cf,1,02cba6876a20157a2ee896e428d174dc156c072592a4edac5b0baa2731e2812c,4d44d3ffaf0b8ef03cbc2ebfc658594adbaae3af01682c1838321a7ed836f7df,q16-38,7423e168ba0ff693438c1835bdd68009c027fe7ab594362fcbdd5dcb07211ce5,9c2c806a5cb42ab7358c4889370012852c8a33e21dbc99f3ec0844e42e208366,960
w68dtmpfyf,w68dtmpfyf__q16-26.png,960,4,Surface original;Surface CW90;Surface inverse grid;Registered C-scan grid,2049fad0b92ac0cc87bf990bf967e9ed3c93810b5d476fb8b0cc36b3395a9b0c,2,038eaa3105ba5ff06ef54cafea3bcf8de48f9c6d08fa6db73dc807321084b822,ebb21c69bed03dc11f5ef71ceebc8e898b2a583cfb136557f69995327912b045,q16-26,8db32f6cbe12c968bc73e4bc83fcd4093e2f5ef61b264a4348c337b30cca1b29,eb2c9a1c1783d77d89cc8f552c20b74bbcda6e27834a7c94e6be53db742e5e47,960
xcmzfsbd9t,xcmzfsbd9t__c24-47.png,960,4,Surface original;Surface CW90;Surface inverse grid;Registered C-scan grid,c4bca5a44e37edb2c89e7f79be5968be35a327c8a74e73fa2dcf9b5b355ddb98,1,015c2cffb6cb08b0b69e08c20e8404cb58762f8e7f7b7ef9023a9209344aa6c3,5c0b01a7e246849c64ab3a73b34e517ff9841f7044f66bc22c13b078a60eba5f,c24-47,4acbee066fc4c9ff95db25732964f850b79165b2471becbe347226619496c81b,c9ce52111e2c3337c69cdcc48cff0aa33de5a40053fbe1f52163b43f17a91857,960
xcmzfsbd9t,xcmzfsbd9t__c24-16.png,960,4,Surface original;Surface CW90;Surface inverse grid;Registered C-scan grid,e2c68273ac67adfab8ca9cc9a100f518e65889743f183773736bcdea52b55013,2,01c871b53a7140c3f2c4f9c1665ae6e92e34f33c4740d0953f4b2b3377c44888,405ad5b4cc38784d9e6984e08dba262570a8f7a73de7f48cb0f6bc30be02bfb5,c24-16,48c96103e8b0cea100f9a8dbd0b5db3ead0c74db4bc5f9b75057de8d0130ac53,bf458e57a498d16672c3b9c9ca74939ea08a84f6bfe2ee43881e6a416738c96a,960
yfxyg8jm46,yfxyg8jm46__c16-6.png,960,4,Surface original;Surface CW90;Surface inverse grid;Registered C-scan grid,bcd4696ecaf38bf038fd6ec3e73f4850d7c9e89133245bd9d0cbc354b8b98900,1,1e08d3ae9fdf89cfde6f4621ad0e88faf283737eb5e1681e21a88a4ab9f01bb3,831be5f9eba9db1e4607fe81e585c0b0d96f75d279761db6ee7d5d5edec6984c,c16-6,abf9cfc0ffa04e3db55aa056943d051f05d2d00582e5b866161252fa328d2810,f7a1fe9643dcd874cee060c761840d873744a395e75a0550c3ba070806614ee4,960
yfxyg8jm46,yfxyg8jm46__c16-40.png,960,4,Surface original;Surface CW90;Surface inverse grid;Registered C-scan grid,5690d754952c7f754f4908a4bb35db94b8205abc66406acfae69e998197de1ef,2,1fd61c20b4bd77e6180730c7920f5abe82ddd3d85b469d2c59080eb12911008a,c39d19bcb3bba94c341619afdf9ae30016c1efdb3b60bad4feeb0de8d7497d15,c16-40,16f30b5a7397f68cfcd966d7c784ecf5838e28dbb4f3943f7065fe690c14ee5c,83dd452327452c4d5952839bc67443002654cbfc95b9f1bc2023fb6567efb43d,960
ykhs7s2dck,ykhs7s2dck__q8-39.png,960,4,Surface original;Surface CW90;Surface inverse grid;Registered C-scan grid,a856148c3551e827893491c11b8563cbe588c79fe6d8823d01225d88ab68413e,1,00b747512f247729aea86fc6b6ac019b0c2294ec202e2f9c1af6099b0e67d5a7,f2c258e598e1ea4f66aed8c5925e0e3cdeeeda47e38a302dc40f4abd849398f9,q8-39,5397f71beebf9ab4dfe926fceb7aa4a2016be96fe7e7fc8fb457f786b686e65e,d539ead65675387523a9623a6c23c77788b514ce3f47f3febc4a50576d959bcb,960
ykhs7s2dck,ykhs7s2dck__q8-32.png,960,4,Surface original;Surface CW90;Surface inverse grid;Registered C-scan grid,0f22b13a45c685f25d65e4d0b8cd65b5d9033985d6f7bd7a80b2bff3f9319a5f,2,0476abdd00f1b00e2477a38fde19f2c9174cd260debc200708c8df89c1f0fc4e,50bacd67f4da529f0ffa5fceed92068399b0091f2a57a56a6601756ce93d8e9e,q8-32,6fe5fbfeaead3cb1ee2b1a451f74547c1624d497e5e09827a2b70e51318cd3c3,d450fe8e90a4218d54775cb1d3009f566dcc4ce8ec0a83c0d6ace743bf81c500,960
