specimen_id,cscan_path,cscan_sha256,cai_raw_path,cai_raw_sha256,material,layup_or_group,impact_condition,specimen_geometry,possible_cai_target,pmax_kN,pairing_status,paired_cscan_cai,license,role
BL-007,Compression after impact/C-Scans/BL-007 Post-impact C-Scan.csv,01589a852e20fd1c2d695450704e72a8d8481f163a828c02c305d43cc901d503,Compression after impact/Compression Tests/BL-007 Compression.csv,d1fa767b083743d52960b1dcb27bca985aec5c04c7821f79538b7c5bdefe86a2,Skyflex USN 020A T700/K51 thin ply + MTM28-1/T800,Baseline,ASTM D7136; 6.7 J/mm nominal thickness,approximately 150 x 100 x 4.5 mm; exact dimensions in archive,Pmax_kN,97.55788,EXACT_SPECIMEN_ID,True,CC BY 4.0,SEALED_SMALL_EXTERNAL_PILOT
BL-008,Compression after impact/C-Scans/BL-008 Post-impact C-Scan.csv,ee070f54b30bd9d2a6a1d21fb539f2484ac7b929d951919f7e35ef06b6b6c6be,Compression after impact/Compression Tests/BL-008 Compression.csv,c5c005eff81ce494cf73fb715e34d6d5aafe561f4ba3b4df86773a28c7303611,Skyflex USN 020A T700/K51 thin ply + MTM28-1/T800,Baseline,ASTM D7136; 6.7 J/mm nominal thickness,approximately 150 x 100 x 4.5 mm; exact dimensions in archive,Pmax_kN,95.66898,EXACT_SPECIMEN_ID,True,CC BY 4.0,SEALED_SMALL_EXTERNAL_PILOT
BL-009,Compression after impact/C-Scans/BL-009 Post-impact C-Scan.csv,985ab1fe997322f213c7c8080dc1c5ff55d0c0a090e75587d85c802598e1e0ce,Compression after impact/Compression Tests/BL-009 Compression.csv,491897eead486635ebd1c900bf1e7b98799e9f4fd85e2eb178525b55754764d0,Skyflex USN 020A T700/K51 thin ply + MTM28-1/T800,Baseline,ASTM D7136; 6.7 J/mm nominal thickness,approximately 150 x 100 x 4.5 mm; exact dimensions in archive,Pmax_kN,93.68425,EXACT_SPECIMEN_ID,True,CC BY 4.0,SEALED_SMALL_EXTERNAL_PILOT
BL-010,Compression after impact/C-Scans/BL-010 Post-impact C-Scan.csv,19b7d1ea835a9ccae5d57fadbc14b7e111fba32e9c46e39d6bdc23466631e294,Compression after impact/Compression Tests/BL-010 Compression.csv,8cd711a50bf95ecaaaec6b8b2453edadf9c2134073621796bab0500267ad19ff,Skyflex USN 020A T700/K51 thin ply + MTM28-1/T800,Baseline,ASTM D7136; 6.7 J/mm nominal thickness,approximately 150 x 100 x 4.5 mm; exact dimensions in archive,Pmax_kN,95.42759,EXACT_SPECIMEN_ID,True,CC BY 4.0,SEALED_SMALL_EXTERNAL_PILOT
BL-011,Compression after impact/C-Scans/BL-011 Post-Impact C-Scan.csv,2a06f0d99ef49f3debb62f0c1848ff82e97f6a868316164c6e1468e6fef15d44,Compression after impact/Compression Tests/BL-011 Compression.csv,7a7fae97d6bf86964a7408cd5cd3d27f6f592587280d4a2949139b79f9070b2c,Skyflex USN 020A T700/K51 thin ply + MTM28-1/T800,Baseline,ASTM D7136; 6.7 J/mm nominal thickness,approximately 150 x 100 x 4.5 mm; exact dimensions in archive,Pmax_kN,96.2212,EXACT_SPECIMEN_ID,True,CC BY 4.0,SEALED_SMALL_EXTERNAL_PILOT
RE-007,Compression after impact/C-Scans/RE-007 Post-impact C-Scan.csv,b9dced0dc801156ba3c362c2391d28592d0178cc2997fa3465e813cd9927efaa,Compression after impact/Compression Tests/RE-007 Compression.csv,f4df4d62305ec7b03e687fc5db09dd1e88db0a7d886187cc8e8eb0ca3cfae5ec,Skyflex USN 020A T700/K51 thin ply + MTM28-1/T800,Reinforced interlock,ASTM D7136; 6.7 J/mm nominal thickness,approximately 150 x 100 x 4.5 mm; exact dimensions in archive,Pmax_kN,96.3214,EXACT_SPECIMEN_ID,True,CC BY 4.0,SEALED_SMALL_EXTERNAL_PILOT
RE-008,Compression after impact/C-Scans/RE-008 Post-impact C-Scan.csv,776c075407b6a147a96c2feba22fea5acc15f0ba2e86eb6f276db1804a35093b,Compression after impact/Compression Tests/RE-008 Compression.csv,a2a5b6b0aeeeb6c8a9bdee757632008d3be1d5958e4d3542be71c393dca779a8,Skyflex USN 020A T700/K51 thin ply + MTM28-1/T800,Reinforced interlock,ASTM D7136; 6.7 J/mm nominal thickness,approximately 150 x 100 x 4.5 mm; exact dimensions in archive,Pmax_kN,111.57168,EXACT_SPECIMEN_ID,True,CC BY 4.0,SEALED_SMALL_EXTERNAL_PILOT
RE-009,Compression after impact/C-Scans/RE-009 Post-impact C-Scan.csv,ffda0fda87cf3657a0722b9d256732343520bb08490999d76d9764f4838e55b3,Compression after impact/Compression Tests/RE-009 Compression.csv,997fdf64a3eb62a632bb32546543119c7cc17f20229b2745a7064a0d8e4f6aa2,Skyflex USN 020A T700/K51 thin ply + MTM28-1/T800,Reinforced interlock,ASTM D7136; 6.7 J/mm nominal thickness,approximately 150 x 100 x 4.5 mm; exact dimensions in archive,Pmax_kN,99.60277,EXACT_SPECIMEN_ID,True,CC BY 4.0,SEALED_SMALL_EXTERNAL_PILOT
RE-010,Compression after impact/C-Scans/RE-010 Post-impact C-Scan.csv,502045c3809baea72c02149fc7ea46868e05649800f75e03b995c5fe6fa0d0a8,Compression after impact/Compression Tests/RE-010 Compression.csv,d590989a5a5e789568716124493939f82360f4c7381c93273b6e6ba18676a1cb,Skyflex USN 020A T700/K51 thin ply + MTM28-1/T800,Reinforced interlock,ASTM D7136; 6.7 J/mm nominal thickness,approximately 150 x 100 x 4.5 mm; exact dimensions in archive,Pmax_kN,95.08445,EXACT_SPECIMEN_ID,True,CC BY 4.0,SEALED_SMALL_EXTERNAL_PILOT
RE-011,Compression after impact/C-Scans/RE-011 Post-impact C-Scan.csv,1cfb4ea7062330c4224c0628502dc3984dc0984749bed6fef2efe12f99ce6441,Compression after impact/Compression Tests/RE-011 Compression.csv,e7c66ca6ed999b2131dfbd38cd4b39d3968e31bd5c6df166c632a9d39785990a,Skyflex USN 020A T700/K51 thin ply + MTM28-1/T800,Reinforced interlock,ASTM D7136; 6.7 J/mm nominal thickness,approximately 150 x 100 x 4.5 mm; exact dimensions in archive,Pmax_kN,105.97109,EXACT_SPECIMEN_ID,True,CC BY 4.0,SEALED_SMALL_EXTERNAL_PILOT
