stage,claim_id,metric,direction,estimate,ci95_lower,ci95_upper,domain_result,status,source
HISTORICAL,C1,scalar_minus_full_field_equal_domain_mae,higher_favors_full_field,0.09956860599738323,,,5/6,SUPPORTED_POINT_ESTIMATE,paper_v3/experiments/P1_full_field_oracle/predictions.csv
MVA_A2,C2,reconstruction_minus_mechanical_oracle_auebc,higher_favors_mechanical,0.00657451508584228,0.004772277301863411,0.008631146585991279,6/6,SUPPORTED,results/mva/a2_oracle_value/summary.json
P9,C3,teacher_best_action_turnover_at_18_75_percent,higher_is_more_change,0.7037382293631609,,,,SUPPORTED,results/mavis_science_closure/p9_value_evolution/summary.json
P9,C3,teacher_mean_absolute_value_shift_at_18_75_percent,higher_is_more_change,0.002710159569334456,,,,SUPPORTED,results/mavis_science_closure/p9_value_evolution/summary.json
P9,C3,teacher_dynamic_opportunity_at_18_75_percent,higher_is_better,0.005308664773700671,,,,SUPPORTED,results/mavis_science_closure/p9_value_evolution/summary.json
P10,C4,endpoint_real_mae_change_from_initial,negative_is_improvement,-0.0007309962326374116,-0.0011840686864012153,-0.00025047239942650626,,MIXED,results/mavis_science_closure/p10_mris_causal/summary.json
P10,C4,endpoint_static_to_full_field_utility_recovery,higher_is_better,0.2655209065826384,0.10566862361302957,0.41032085829808473,,MIXED,results/mavis_science_closure/p10_mris_causal/summary.json
P11,C5,endpoint_real_minus_static_regret,negative_favors_dynamic_real,-0.0012601005460586463,-0.002123390344158352,-0.00044424662241962417,,NARROWLY_SUPPORTED,results/mavis_science_closure/p11_dynamic_valuation/summary.json
P11,C5,endpoint_real_minus_shuffled_regret,negative_favors_dynamic_real,0.00023277699588920581,0.000060597162113144695,0.00041796334359589233,,ADVERSE_CONTROL,results/mavis_science_closure/p11_dynamic_valuation/summary.json
P12,C6,valuation_substitution_improvement,higher_is_better,0.000049786742278373763,0.000018446727599749598,0.00008104897453356152,,SUPPORTED_RETROSPECTIVE,results/mavis_science_closure/p12_rvp_attribution/summary.json
P12,C6,learned_planning_substitution_improvement,higher_is_better,0.000003164309818670663,0.00000014114836609307647,0.000006250270954010764,,SUPPORTED_SMALL,results/mavis_science_closure/p12_rvp_attribution/summary.json
P12,C6,true_value_planning_substitution_improvement,higher_is_better,0.00011171243144555976,0.00009898242657418798,0.00012479264383388855,,SUPPORTED_RETROSPECTIVE,results/mavis_science_closure/p12_rvp_attribution/summary.json
P13,C6,current_greedy_planning_regret,lower_is_better,0.00012065415511003872,0.00010330836663465408,0.00013862026880825305,,SUPPORTED_GAP,results/mavis_science_closure/p13_set_planning/summary.json
P14,C7,oracle_reconstruction_minus_mechanics_cai,higher_favors_mechanics,0.048622843139314,0.045273264544767,0.052045350460869,,SUPPORTED_ORACLE_ONLY,results/mavis_science_closure/p14_task_specificity/summary.json
P14,C7,oracle_mechanics_minus_reconstruction_image,higher_favors_reconstruction,0.000550254888632,0.000500623349499,0.000606291994363,,SUPPORTED_ORACLE_ONLY,results/mavis_science_closure/p14_task_specificity/summary.json
P15,C2,ridge_huber_value_spearman,higher_is_more_agreement,0.761895526307673,,,,PARTIAL_STABILITY,results/mavis_science_closure/p15_value_stability/summary.json
P15,C2,ridge_shallow_mlp_value_spearman,higher_is_more_agreement,0.116218028111857,,,,LEARNER_DEPENDENT,results/mavis_science_closure/p15_value_stability/summary.json
P16,C8,feedback_auebc_benefit,positive_favors_feedback,-0.000014962761715,-0.000019435185744,-0.000010636813205,2/6,UNSUPPORTED_FEEDBACK,results/mavis_science_closure/p16_feedback_mechanism/summary.json
P7,C8,baseline_minus_mavis_auebc,positive_favors_mavis,-0.00006114209368489,-0.00008460772463426673,-0.00003776607801288311,2/6,BOUNDARY_SUPPORTED,results/mavis/p7_final_frozen_eval/claim_evidence.csv
