method,budget,full_reference_cost,partial_mae,full_mae,mae_gap_mpa,positive_excess_mpa,interpretation
CENTER_FIRST,0.0,1.0,58.55099456787109,41.69001007080078,16.860984497070312,16.860984497070312,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
CENTER_FIRST,0.0625,1.0,47.885134887695315,41.69001007080078,6.195124816894534,6.195124816894534,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
CENTER_FIRST,0.125,1.0,48.827230529785155,41.69001007080078,7.137220458984373,7.137220458984373,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
CENTER_FIRST,0.1875,1.0,49.09352935791016,41.69001007080078,7.403519287109376,7.403519287109376,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
CENTER_FIRST,0.25,1.0,48.02656921386719,41.69001007080078,6.33655914306641,6.33655914306641,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
GEOMETRY_SPREAD,0.0,1.0,58.55099456787109,41.69001007080078,16.860984497070312,16.860984497070312,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
GEOMETRY_SPREAD,0.0625,1.0,50.22089508056641,41.69001007080078,8.530885009765626,8.530885009765626,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
GEOMETRY_SPREAD,0.125,1.0,46.188976745605466,41.69001007080078,4.498966674804684,4.498966674804684,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
GEOMETRY_SPREAD,0.1875,1.0,46.55507232666016,41.69001007080078,4.865062255859378,4.865062255859378,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
GEOMETRY_SPREAD,0.25,1.0,46.9099169921875,41.69001007080078,5.219906921386716,5.219906921386716,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
SERPENTINE,0.0,1.0,58.55099456787109,41.69001007080078,16.860984497070312,16.860984497070312,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
SERPENTINE,0.0625,1.0,49.73057769775391,41.69001007080078,8.040567626953127,8.040567626953127,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
SERPENTINE,0.125,1.0,48.7731787109375,41.69001007080078,7.083168640136719,7.083168640136719,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
SERPENTINE,0.1875,1.0,48.343042602539064,41.69001007080078,6.653032531738283,6.653032531738283,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
SERPENTINE,0.25,1.0,48.012801818847656,41.69001007080078,6.322791748046875,6.322791748046875,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
RANDOM,0.0,1.0,58.55099456787109,41.69001007080078,16.860984497070312,16.860984497070312,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
RANDOM,0.0625,1.0,53.15628833007813,41.69001007080078,11.466278259277345,11.466278259277345,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
RANDOM,0.125,1.0,49.153046874999994,41.69001007080078,7.463036804199213,7.463036804199213,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
RANDOM,0.1875,1.0,48.107519653320296,41.69001007080078,6.417509582519514,6.417509582519514,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
RANDOM,0.25,1.0,46.88638348388671,41.69001007080078,5.196373413085929,5.196373413085929,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
LEARNED_STATIC_TRUE,0.0,1.0,58.55099456787109,41.69001007080078,16.860984497070312,16.860984497070312,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
LEARNED_STATIC_TRUE,0.0625,1.0,46.46498809814453,41.69001007080078,4.774978027343749,4.774978027343749,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
LEARNED_STATIC_TRUE,0.125,1.0,48.06415130615235,41.69001007080078,6.374141235351566,6.374141235351566,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
LEARNED_STATIC_TRUE,0.1875,1.0,46.784012145996094,41.69001007080078,5.094002075195313,5.094002075195313,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
LEARNED_STATIC_TRUE,0.25,1.0,46.99311798095703,41.69001007080078,5.30310791015625,5.30310791015625,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
NO_VLM_SPATIAL_FEEDBACK,0.0,1.0,58.55099456787109,41.69001007080078,16.860984497070312,16.860984497070312,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
