target_id,target_type,target_mae,source_method,source_budget
Q_41,UNIFORM_1_MPA,41.0,ALL_OBSERVED_RANGE,
Q_42,UNIFORM_1_MPA,42.0,ALL_OBSERVED_RANGE,
Q_43,UNIFORM_1_MPA,43.0,ALL_OBSERVED_RANGE,
Q_44,UNIFORM_1_MPA,44.0,ALL_OBSERVED_RANGE,
Q_45,UNIFORM_1_MPA,45.0,ALL_OBSERVED_RANGE,
Q_46,UNIFORM_1_MPA,46.0,ALL_OBSERVED_RANGE,
Q_47,UNIFORM_1_MPA,47.0,ALL_OBSERVED_RANGE,
Q_48,UNIFORM_1_MPA,48.0,ALL_OBSERVED_RANGE,
Q_49,UNIFORM_1_MPA,49.0,ALL_OBSERVED_RANGE,
Q_50,UNIFORM_1_MPA,50.0,ALL_OBSERVED_RANGE,
Q_51,UNIFORM_1_MPA,51.0,ALL_OBSERVED_RANGE,
Q_52,UNIFORM_1_MPA,52.0,ALL_OBSERVED_RANGE,
Q_53,UNIFORM_1_MPA,53.0,ALL_OBSERVED_RANGE,
Q_54,UNIFORM_1_MPA,54.0,ALL_OBSERVED_RANGE,
Q_55,UNIFORM_1_MPA,55.0,ALL_OBSERVED_RANGE,
Q_56,UNIFORM_1_MPA,56.0,ALL_OBSERVED_RANGE,
Q_57,UNIFORM_1_MPA,57.0,ALL_OBSERVED_RANGE,
Q_58,UNIFORM_1_MPA,58.0,ALL_OBSERVED_RANGE,
Q_59,UNIFORM_1_MPA,59.0,ALL_OBSERVED_RANGE,
Q_60,UNIFORM_1_MPA,60.0,ALL_OBSERVED_RANGE,
Q_61,UNIFORM_1_MPA,61.0,ALL_OBSERVED_RANGE,
ANCHOR_CENTER_FIRST_1,NONADAPTIVE_ANCHOR,47.885134887695315,CENTER_FIRST,0.0625
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125
ANCHOR_CENTER_FIRST_3,NONADAPTIVE_ANCHOR,49.09352935791016,CENTER_FIRST,0.1875
ANCHOR_CENTER_FIRST_4,NONADAPTIVE_ANCHOR,48.02656921386719,CENTER_FIRST,0.25
ANCHOR_GEOMETRY_SPREAD_1,NONADAPTIVE_ANCHOR,50.22089508056641,GEOMETRY_SPREAD,0.0625
ANCHOR_GEOMETRY_SPREAD_2,NONADAPTIVE_ANCHOR,46.188976745605466,GEOMETRY_SPREAD,0.125
ANCHOR_GEOMETRY_SPREAD_3,NONADAPTIVE_ANCHOR,46.55507232666016,GEOMETRY_SPREAD,0.1875
ANCHOR_GEOMETRY_SPREAD_4,NONADAPTIVE_ANCHOR,46.9099169921875,GEOMETRY_SPREAD,0.25
ANCHOR_SERPENTINE_1,NONADAPTIVE_ANCHOR,49.73057769775391,SERPENTINE,0.0625
ANCHOR_SERPENTINE_2,NONADAPTIVE_ANCHOR,48.7731787109375,SERPENTINE,0.125
ANCHOR_SERPENTINE_3,NONADAPTIVE_ANCHOR,48.343042602539064,SERPENTINE,0.1875
ANCHOR_SERPENTINE_4,NONADAPTIVE_ANCHOR,48.012801818847656,SERPENTINE,0.25
ANCHOR_RANDOM_1,NONADAPTIVE_ANCHOR,53.15628833007813,RANDOM,0.0625
ANCHOR_RANDOM_2,NONADAPTIVE_ANCHOR,49.153046874999994,RANDOM,0.125
ANCHOR_RANDOM_3,NONADAPTIVE_ANCHOR,48.107519653320296,RANDOM,0.1875
ANCHOR_RANDOM_4,NONADAPTIVE_ANCHOR,46.88638348388671,RANDOM,0.25
ANCHOR_LEARNED_STATIC_TRUE_1,NONADAPTIVE_ANCHOR,46.46498809814453,LEARNED_STATIC_TRUE,0.0625
ANCHOR_LEARNED_STATIC_TRUE_2,NONADAPTIVE_ANCHOR,48.06415130615235,LEARNED_STATIC_TRUE,0.125
ANCHOR_LEARNED_STATIC_TRUE_3,NONADAPTIVE_ANCHOR,46.784012145996094,LEARNED_STATIC_TRUE,0.1875
ANCHOR_LEARNED_STATIC_TRUE_4,NONADAPTIVE_ANCHOR,46.99311798095703,LEARNED_STATIC_TRUE,0.25
ANCHOR_FULL,FULL_REFERENCE_ANCHOR,41.69001007080078,FULL_SCAN_P_ALL,1.0
