target_id,target_mae,target_type,source_method,source_budget
Q_41,41.0,UNIFORM_1_MPA,,
Q_42,42.0,UNIFORM_1_MPA,,
Q_43,43.0,UNIFORM_1_MPA,,
Q_44,44.0,UNIFORM_1_MPA,,
Q_45,45.0,UNIFORM_1_MPA,,
Q_46,46.0,UNIFORM_1_MPA,,
Q_47,47.0,UNIFORM_1_MPA,,
Q_48,48.0,UNIFORM_1_MPA,,
Q_49,49.0,UNIFORM_1_MPA,,
Q_50,50.0,UNIFORM_1_MPA,,
Q_51,51.0,UNIFORM_1_MPA,,
Q_52,52.0,UNIFORM_1_MPA,,
Q_53,53.0,UNIFORM_1_MPA,,
Q_54,54.0,UNIFORM_1_MPA,,
Q_55,55.0,UNIFORM_1_MPA,,
Q_56,56.0,UNIFORM_1_MPA,,
Q_57,57.0,UNIFORM_1_MPA,,
Q_58,58.0,UNIFORM_1_MPA,,
Q_59,59.0,UNIFORM_1_MPA,,
Q_60,60.0,UNIFORM_1_MPA,,
Q_61,61.0,UNIFORM_1_MPA,,
ANCHOR_CENTER_FIRST_0.0625,47.885134887695315,,CENTER_FIRST,0.0625
ANCHOR_CENTER_FIRST_0.125,48.827230529785155,,CENTER_FIRST,0.125
ANCHOR_CENTER_FIRST_0.1875,49.09352935791016,,CENTER_FIRST,0.1875
ANCHOR_CENTER_FIRST_0.25,48.02656921386719,,CENTER_FIRST,0.25
ANCHOR_GEOMETRY_SPREAD_0.0625,50.22089508056641,,GEOMETRY_SPREAD,0.0625
ANCHOR_GEOMETRY_SPREAD_0.125,46.188976745605466,,GEOMETRY_SPREAD,0.125
ANCHOR_GEOMETRY_SPREAD_0.1875,46.55507232666016,,GEOMETRY_SPREAD,0.1875
ANCHOR_GEOMETRY_SPREAD_0.25,46.9099169921875,,GEOMETRY_SPREAD,0.25
ANCHOR_SERPENTINE_0.0625,49.73057769775391,,SERPENTINE,0.0625
ANCHOR_SERPENTINE_0.125,48.7731787109375,,SERPENTINE,0.125
ANCHOR_SERPENTINE_0.1875,48.343042602539064,,SERPENTINE,0.1875
ANCHOR_SERPENTINE_0.25,48.012801818847656,,SERPENTINE,0.25
ANCHOR_RANDOM_0.0625,53.15628833007813,,RANDOM,0.0625
ANCHOR_RANDOM_0.125,49.153046874999994,,RANDOM,0.125
ANCHOR_RANDOM_0.1875,48.107519653320296,,RANDOM,0.1875
ANCHOR_RANDOM_0.25,46.88638348388671,,RANDOM,0.25
ANCHOR_LEARNED_STATIC_TRUE_0.0625,46.46498809814453,,LEARNED_STATIC_TRUE,0.0625
ANCHOR_LEARNED_STATIC_TRUE_0.125,48.06415130615235,,LEARNED_STATIC_TRUE,0.125
ANCHOR_LEARNED_STATIC_TRUE_0.1875,46.784012145996094,,LEARNED_STATIC_TRUE,0.1875
ANCHOR_LEARNED_STATIC_TRUE_0.25,46.99311798095703,,LEARNED_STATIC_TRUE,0.25
ANCHOR_FULL,41.69001007080078,,FULL_SCAN_P_ALL,1.0
