outer_domain,row_id,specimen_count,domain_cai_auebc,reconstruction_auebc,statistical_unit,representation,valuation,planner,deployable
74t7kcdgkr,A,45,0.10006618656055394,0.0011360360813254806,held_out_domain,R_learned,V_learned,P_current,true
74t7kcdgkr,B,45,0.10004221670831738,0.0011282821685171028,held_out_domain,current_causal_history,V_true_conditional,P_current,false
74t7kcdgkr,C,45,0.10006652450116828,0.0011363373263263397,held_out_domain,R_learned,V_learned,P_lookahead_beam2,true
74t7kcdgkr,D,45,0.10004221670831738,0.0011282821685171028,held_out_domain,current_causal_history,V_true_conditional,P_greedy_current,false
74t7kcdgkr,E,45,0.1000148960421178,0.0010821876534024726,held_out_domain,current_causal_history,V_true_conditional,P_set_near_oracle,false
cgtnjyggtm,A,49,0.1403077027719284,0.0013571340500408043,held_out_domain,R_learned,V_learned,P_current,true
cgtnjyggtm,B,49,0.14024356526977455,0.001232692600623276,held_out_domain,current_causal_history,V_true_conditional,P_current,false
cgtnjyggtm,C,49,0.14030913602876202,0.0013538803406028975,held_out_domain,R_learned,V_learned,P_lookahead_beam2,true
cgtnjyggtm,D,49,0.14024356526977455,0.001232692600623276,held_out_domain,current_causal_history,V_true_conditional,P_greedy_current,false
cgtnjyggtm,E,49,0.14012154853041944,0.001147721731959687,held_out_domain,current_causal_history,V_true_conditional,P_set_near_oracle,false
w68dtmpfyf,A,43,0.09063320338195893,0.0010864366530938868,held_out_domain,R_learned,V_learned,P_current,true
w68dtmpfyf,B,43,0.09058823044390783,0.0010469623161376254,held_out_domain,current_causal_history,V_true_conditional,P_current,false
w68dtmpfyf,C,43,0.09063616856631343,0.0010823986473133132,held_out_domain,R_learned,V_learned,P_lookahead_beam2,true
w68dtmpfyf,D,43,0.09058823044390783,0.0010469623161376254,held_out_domain,current_causal_history,V_true_conditional,P_greedy_current,false
w68dtmpfyf,E,43,0.0905016484333614,0.0009684587977265998,held_out_domain,current_causal_history,V_true_conditional,P_set_near_oracle,false
xcmzfsbd9t,A,59,0.1183103616150648,0.0020330828546009164,held_out_domain,R_learned,V_learned,P_current,true
xcmzfsbd9t,B,59,0.11824909977273833,0.0019271961295515957,held_out_domain,current_causal_history,V_true_conditional,P_current,false
xcmzfsbd9t,C,59,0.11830037070954909,0.00203995264147143,held_out_domain,R_learned,V_learned,P_lookahead_beam2,true
xcmzfsbd9t,D,59,0.11824909977273833,0.0019271961295515957,held_out_domain,current_causal_history,V_true_conditional,P_greedy_current,false
xcmzfsbd9t,E,59,0.11806315789692863,0.0018133766869654344,held_out_domain,current_causal_history,V_true_conditional,P_set_near_oracle,false
yfxyg8jm46,A,42,0.14954833680362606,0.001274373075013951,held_out_domain,R_learned,V_learned,P_current,true
yfxyg8jm46,B,42,0.1497208875849388,0.0010795871590996312,held_out_domain,current_causal_history,V_true_conditional,P_current,false
yfxyg8jm46,C,42,0.14952432145205435,0.0012681766302181335,held_out_domain,R_learned,V_learned,P_lookahead_beam2,true
yfxyg8jm46,D,42,0.1497208875849388,0.0010795871590996312,held_out_domain,current_causal_history,V_true_conditional,P_greedy_current,false
yfxyg8jm46,E,42,0.14956809932097204,0.0009963683153264738,held_out_domain,current_causal_history,V_true_conditional,P_set_near_oracle,false
ykhs7s2dck,A,38,0.15156765000698727,0.0009488993941376217,held_out_domain,R_learned,V_learned,P_current,true
ykhs7s2dck,B,38,0.15129072090677229,0.000986488703785443,held_out_domain,current_causal_history,V_true_conditional,P_current,false
ykhs7s2dck,C,38,0.15157793402336012,0.0009256990002336846,held_out_domain,R_learned,V_learned,P_lookahead_beam2,true
ykhs7s2dck,D,38,0.15129072090677229,0.000986488703785443,held_out_domain,current_causal_history,V_true_conditional,P_greedy_current,false
ykhs7s2dck,E,38,0.15119509587397642,0.0009317835042830369,held_out_domain,current_causal_history,V_true_conditional,P_set_near_oracle,false
