panel,series,metric,value,ci95_lower,ci95_upper,status,source_claim_id,source_artifact,source_hash
a,c8-10t@0.03125 reconstruction,registered_state_reconstruction,,,,REPRESENTATIVE_VISUAL,,results/mavis/p1_state_bank/state_manifest.parquet,42d24f0a4e0ee2dfc54eee48a2b8a2f452901cbf98361d2ba76e8a6a628ccfe5
a,c8-10t@0.03125 teacher priority,strict_oof_teacher_value_map,,,,REPRESENTATIVE_VISUAL,,results/mavis/p3_dynamic_voi/action_scores.parquet,0a7275d91267204f4c352c64e7db11c6484cd1afefe20390350103d32c0def94
b,c8-10t@0.1875 reconstruction,registered_state_reconstruction,,,,REPRESENTATIVE_VISUAL,,results/mavis/p1_state_bank/state_manifest.parquet,42d24f0a4e0ee2dfc54eee48a2b8a2f452901cbf98361d2ba76e8a6a628ccfe5
b,c8-10t@0.1875 teacher priority,strict_oof_teacher_value_map,,,,REPRESENTATIVE_VISUAL,,results/mavis/p3_dynamic_voi/action_scores.parquet,0a7275d91267204f4c352c64e7db11c6484cd1afefe20390350103d32c0def94
c,q24-1@0.03125 reconstruction,registered_state_reconstruction,,,,REPRESENTATIVE_VISUAL,,results/mavis/p1_state_bank/state_manifest.parquet,42d24f0a4e0ee2dfc54eee48a2b8a2f452901cbf98361d2ba76e8a6a628ccfe5
c,q24-1@0.03125 teacher priority,strict_oof_teacher_value_map,,,,REPRESENTATIVE_VISUAL,,results/mavis/p3_dynamic_voi/action_scores.parquet,0a7275d91267204f4c352c64e7db11c6484cd1afefe20390350103d32c0def94
d,q24-1@0.1875 reconstruction,registered_state_reconstruction,,,,REPRESENTATIVE_VISUAL,,results/mavis/p1_state_bank/state_manifest.parquet,42d24f0a4e0ee2dfc54eee48a2b8a2f452901cbf98361d2ba76e8a6a628ccfe5
d,q24-1@0.1875 teacher priority,strict_oof_teacher_value_map,,,,REPRESENTATIVE_VISUAL,,results/mavis/p3_dynamic_voi/action_scores.parquet,0a7275d91267204f4c352c64e7db11c6484cd1afefe20390350103d32c0def94
e,q16-1@0.03125 reconstruction,registered_state_reconstruction,,,,REPRESENTATIVE_VISUAL,,results/mavis/p1_state_bank/state_manifest.parquet,42d24f0a4e0ee2dfc54eee48a2b8a2f452901cbf98361d2ba76e8a6a628ccfe5
e,q16-1@0.03125 teacher priority,strict_oof_teacher_value_map,,,,REPRESENTATIVE_VISUAL,,results/mavis/p3_dynamic_voi/action_scores.parquet,0a7275d91267204f4c352c64e7db11c6484cd1afefe20390350103d32c0def94
f,q16-1@0.1875 reconstruction,registered_state_reconstruction,,,,REPRESENTATIVE_VISUAL,,results/mavis/p1_state_bank/state_manifest.parquet,42d24f0a4e0ee2dfc54eee48a2b8a2f452901cbf98361d2ba76e8a6a628ccfe5
f,q16-1@0.1875 teacher priority,strict_oof_teacher_value_map,,,,REPRESENTATIVE_VISUAL,,results/mavis/p3_dynamic_voi/action_scores.parquet,0a7275d91267204f4c352c64e7db11c6484cd1afefe20390350103d32c0def94
g,c24-10@0.03125 reconstruction,registered_state_reconstruction,,,,REPRESENTATIVE_VISUAL,,results/mavis/p1_state_bank/state_manifest.parquet,42d24f0a4e0ee2dfc54eee48a2b8a2f452901cbf98361d2ba76e8a6a628ccfe5
g,c24-10@0.03125 teacher priority,strict_oof_teacher_value_map,,,,REPRESENTATIVE_VISUAL,,results/mavis/p3_dynamic_voi/action_scores.parquet,0a7275d91267204f4c352c64e7db11c6484cd1afefe20390350103d32c0def94
h,c24-10@0.1875 reconstruction,registered_state_reconstruction,,,,REPRESENTATIVE_VISUAL,,results/mavis/p1_state_bank/state_manifest.parquet,42d24f0a4e0ee2dfc54eee48a2b8a2f452901cbf98361d2ba76e8a6a628ccfe5
h,c24-10@0.1875 teacher priority,strict_oof_teacher_value_map,,,,REPRESENTATIVE_VISUAL,,results/mavis/p3_dynamic_voi/action_scores.parquet,0a7275d91267204f4c352c64e7db11c6484cd1afefe20390350103d32c0def94
i,c16-1@0.03125 reconstruction,registered_state_reconstruction,,,,REPRESENTATIVE_VISUAL,,results/mavis/p1_state_bank/state_manifest.parquet,42d24f0a4e0ee2dfc54eee48a2b8a2f452901cbf98361d2ba76e8a6a628ccfe5
i,c16-1@0.03125 teacher priority,strict_oof_teacher_value_map,,,,REPRESENTATIVE_VISUAL,,results/mavis/p3_dynamic_voi/action_scores.parquet,0a7275d91267204f4c352c64e7db11c6484cd1afefe20390350103d32c0def94
j,c16-1@0.1875 reconstruction,registered_state_reconstruction,,,,REPRESENTATIVE_VISUAL,,results/mavis/p1_state_bank/state_manifest.parquet,42d24f0a4e0ee2dfc54eee48a2b8a2f452901cbf98361d2ba76e8a6a628ccfe5
j,c16-1@0.1875 teacher priority,strict_oof_teacher_value_map,,,,REPRESENTATIVE_VISUAL,,results/mavis/p3_dynamic_voi/action_scores.parquet,0a7275d91267204f4c352c64e7db11c6484cd1afefe20390350103d32c0def94
k,q8-1@0.03125 reconstruction,registered_state_reconstruction,,,,REPRESENTATIVE_VISUAL,,results/mavis/p1_state_bank/state_manifest.parquet,42d24f0a4e0ee2dfc54eee48a2b8a2f452901cbf98361d2ba76e8a6a628ccfe5
k,q8-1@0.03125 teacher priority,strict_oof_teacher_value_map,,,,REPRESENTATIVE_VISUAL,,results/mavis/p3_dynamic_voi/action_scores.parquet,0a7275d91267204f4c352c64e7db11c6484cd1afefe20390350103d32c0def94
l,q8-1@0.1875 reconstruction,registered_state_reconstruction,,,,REPRESENTATIVE_VISUAL,,results/mavis/p1_state_bank/state_manifest.parquet,42d24f0a4e0ee2dfc54eee48a2b8a2f452901cbf98361d2ba76e8a6a628ccfe5
l,q8-1@0.1875 teacher priority,strict_oof_teacher_value_map,,,,REPRESENTATIVE_VISUAL,,results/mavis/p3_dynamic_voi/action_scores.parquet,0a7275d91267204f4c352c64e7db11c6484cd1afefe20390350103d32c0def94
