authorized,boundary_consistency,cai_access,dataset_id,deterministic_transform_replay,hidden_cscan_content_access,invertible,legal_action_grid,orientation_ambiguity,specimen_id
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-10t
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-11
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-12
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-12t
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-13
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-14
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-15
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-16
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-17
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-18
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-19
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-2
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-20
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-21
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-22
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-23
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-24
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-25
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-26
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-27
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-28
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-29
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-3
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-30
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-32
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-33
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-34
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-35
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-36
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-37
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-38
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-39
false,NOT_RUN_NO_TRANSFORM,PASS_NOT_ACCESSED,74t7kcdgkr,NOT_APPLICABLE,PASS_NOT_USED_FOR_REGISTRATION,NOT_RUN_NO_TRANSFORM,PASS_0_TO_63_ROW_MAJOR,DETECTED_UNRESOLVED,c8-4
