coordinate_basis,dataset_id,destination_height_px,destination_width_px,evidence_class,evidence_hashes,evidence_roles,mapping_basis,offset_x,offset_y,orientation,orientation_selection_inputs,outer_frame_crop,physical_mm_used_for_cross_modal_mapping,scale_x,scale_y,source_height_px,source_width_px,specimen_id,status,transform_sha256
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,674,675,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;3180ac8f58ece64ab33ba77aff88e3d4a5dca55a350cd9738feab53d772e1b79;757efdacd2eb9319e137e373378c510c57875fb0d14f2c6a21accd329852fc57;090d622f8e50cac912a20202dd01b4b0ae8ce5450432faefe0bc71e2179b8835,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,674.0,673.0,1679,1679,c8-10t,AUTHORIZED,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,338,352,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;46773728bd6f2cadee11d8e7d384719930d6f2b92c7fa1bae46dbce3a95ed811;ed33c60dd2ae0767d4c85627d6540c9a083658895399f3848f5b855b973900eb;d20944f5270d9747d0ea859720e260fb71565c5a02e3b16a82ee60b252252294,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,351.0,337.0,1500,1500,c8-11,AUTHORIZED,d884ab0e299bca712735d00feef8fc254477deaf7967177e25e49b95065b5c14
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,338,352,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;34505c44d206fb8bea8f8ef69c936745f99d0ea5522729fcc09385075a4c72ec;5e8d5044578091416ffb4416935528bc2bcae39907f8ca5d695a66efd0004a6d;89f4ee717122fd03ef0261c42911fa721f4b5ce4467b63904c966d9302fd43d9,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,351.0,337.0,1500,1500,c8-12,AUTHORIZED,e8c6469ffe3398cae132723c3490ab963831c662fde21361a217acf2216efe6b
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,674,675,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;870ebb51c5ebc4165e5c35563664017e287b7318ff5032aa1e23b25e76b19e8d;c8acbcef3681cf57b62b53d99fe41d3ccfb44b20cc2159adb3eabfcbb0f2468e;42b00aa0a8b4a96a2014db60374d103c25da1bba9ca0e0bf36e94ae33e4cce48,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,674.0,673.0,1679,1679,c8-12t,AUTHORIZED,a7927d33f62b280a7a2bb2e6838161b7d683c1bdf7d672a1fabe834e0401962f
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,338,340,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;b3825d1dfcd6a49cca2e45224b9763bba870223cd93a9af68b4540bed21d162a;b7f1462b92650fcb30200ea002158bb3aae9862bb6b1f6200ce281c543bd506f;4dc6ce2a1003d7addfb010a949db3e2ae3e680f6fdc41ad18d4a88166a3c86f7,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,339.0,337.0,1500,1500,c8-13,AUTHORIZED,243a84eea651818a4541aceff239933893962ae5c5ffd9b2d9149ef7a689b6b0
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,338,340,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;efe859284f43600acf564be72ea5ac98068fc77d3731dfb37ec95a0fb38873af;efc3f64dbf227a4c2d21c6b8114b361eef31e0a843cdfef14e5bacc8c8599623;6829c1a1db8c1f9f71c91466c587cae3c4e5f1280dedc93c95b5bd344e4b93d4,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,339.0,337.0,1500,1500,c8-14,AUTHORIZED,30dfa12e4603e56264fc106e8248eef642b6f2a727c337367d7a41c661c54d45
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,338,352,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;559b8c4abab9391aaf95c7c1c12fa0100fab1c94d162a4d736fc24052b97cb5b;efc3f64dbf227a4c2d21c6b8114b361eef31e0a843cdfef14e5bacc8c8599623;a0dd12f97eaf396b8c4c08b60d3a58c524c7e511fedacdd19b5a09f78c586ead,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,351.0,337.0,1500,1500,c8-15,AUTHORIZED,66c7da22bf7b41188ae117e515cdf466488979040282ba8d94e90c331ec48b24
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,338,352,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;bf5971dfb981f6c3302d850db26b26785c575f3d51249a5e6625919bd101845a;b7f1462b92650fcb30200ea002158bb3aae9862bb6b1f6200ce281c543bd506f;234a50307f16631456e3cfcac69b111a854d67d954381ada8e29ccd2199e9100,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,351.0,337.0,1500,1500,c8-16,AUTHORIZED,735ce7621fdae4731b5a3cbf0d5c63f60576421b2b5e2a6ef0d3c082eeeffef6
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,338,340,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;803e4d6b272d2f25ddb3b6e6a1245ac16a376af36cb72ccc5332f5d9940b951e;5774657117aee1ea70843992f9ed81963a09880fe43193ad6170dbdc1852c3ea;2b257727cd7cae92f4c6b84353ecd471ecfcdefd45d1fcd83a59d7801b0810a4,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,339.0,337.0,1500,1500,c8-17,AUTHORIZED,882249b92608123e7179709644e71ce8adc7adf090289c5e152c14e0cb4923df
NORMALIZED_EDGE_TO_EDGE_PIXEL_FRAME,74t7kcdgkr,338,352,A_DIRECT_METADATA,3560662d4509ea3e059d597cedca15950cce02f706a992330b161381acfba6ba;60a3aeb39256d1b88692439677a20f03f3b987fde3faa1c69224aea1c1f76bf8;f81002981bf2f6aed84818b48da87cd57e6336f5f3da8d78df1a58d26dd8026f;3bd0c56adb78b65cc09cec340b06c40c7ec6e73988e187067a76f1128ddf83f0;31aaf123d6f7b684566ef19387d11a5ef2756e5bc51e666f8b1cdcc3b9ed5fe1;b5d2533252e978dfd07525f8ad1a7478eec213c848f075b62016a14ed44189e6;5774657117aee1ea70843992f9ed81963a09880fe43193ad6170dbdc1852c3ea;78b9da1a0593837752e6f1717eb40240d125ddcc6f34ce8196f3e3f96d39ac3e,AUTHOR_CORRESPONDENCE;DATASET_METADATA;SURFACE_METADATA,AUTHOR_FULL_FRAME_PIXEL_CORRESPONDENCE,0.0,0.0,ROT90,AUTHOR_STATEMENT_ONLY,NONE_AT_SPECIMEN_FRAME,false,351.0,337.0,1500,1500,c8-18,AUTHORIZED,2dba8fa0a431b43d656f7aea091161b46e2b98e46f04b1a1a1807a147a92da34
