authorized,boundary_consistency,cai_access,dataset_id,decoded_pixel_replay,deterministic_transform_replay,global_orientation,grid_cell_count,hidden_cscan_orientation_selection,invertible,maximum_round_trip_error_px,oracle_access,panel_resolution,physical_mm_cross_modal_mapping,specimen_id,status,unsupported_rotation_reflection
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-10t,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-11,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-12,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-12t,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-13,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-14,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-15,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-16,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-17,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-18,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-19,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-2,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-20,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-21,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-22,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-23,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-24,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-25,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-26,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-27,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-28,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-29,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-3,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-30,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-32,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-33,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-34,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-35,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-36,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-37,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-38,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-39,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-4,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-40,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-41,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-42,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-43,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-5,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-6,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-6t,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-7,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-8,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-8t,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-9,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,74t7kcdgkr,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,c8-9t,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-1,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-10,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-11,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-12,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-13,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-14,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-15,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-16,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-18,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-19,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-2,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-20,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-21,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-22,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-23,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-24,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-25,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-26,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-27,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-28,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-29,PASS,PASS_NONE
true,PASS_FULL_NORMALIZED_FRAME,PASS_NOT_ACCESSED,cgtnjyggtm,PASS,PASS,PASS_ROT90_FIXED,64,PASS_NOT_USED,PASS,0,PASS_NOT_ACCESSED,PASS,PASS_NOT_USED,q24-3,PASS,PASS_NONE
