schema_version,dataset_id,specimen_id,specimen_key,split,reference_version,reference_path,reference_sha256,reviewer_alias,formal_eligible,status
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,TEST,REVIEWED_02339eda86d486c3,reference-001-742fab86.json,e2214df84a10bfb90aaa591fdc3e29fa0c8d09fb2aebb06fd2c81e90db221c43,ww,True,REVIEWED_REFERENCE_MATCHED
1,74t7kcdgkr,c8-41,74t7kcdgkr:c8-41,TEST,REVIEWED_02339eda86d486c3,reference-004-5c5f0d0c.json,d1636fe2ca5df9203432609ee22d6e4ac1837795adcc7f0faea31108db1067bc,ww,True,REVIEWED_REFERENCE_MATCHED
1,74t7kcdgkr,c8-5,74t7kcdgkr:c8-5,TEST,REVIEWED_02339eda86d486c3,reference-003-3c1e8eb0.json,dfc477296dd35c85db1bfed4978d298c1d96a9b0d2f47e91297df7ca2d4ed78a,ww,True,REVIEWED_REFERENCE_MATCHED
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,TEST,REVIEWED_02339eda86d486c3,reference-002-7f0ff819.json,eda2b17bac6add8cf5a9c50730ef527a9a14fa821d69d199531da33b0c50630f,ww,True,REVIEWED_REFERENCE_MATCHED
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,TEST,REVIEWED_02339eda86d486c3,reference-007-8801d5ec.json,4475b03e2458a7ad630d2d1cfc64efa2543d724e990eacb7ff60ed21461c48e2,phl,True,REVIEWED_REFERENCE_MATCHED
1,cgtnjyggtm,q24-37,cgtnjyggtm:q24-37,TEST,REVIEWED_02339eda86d486c3,reference-008-47bd1723.json,ef6e1f157c187b7eff46b5f2906238b01996770d109319e971c6c04d32c15337,phl,True,REVIEWED_REFERENCE_MATCHED
1,cgtnjyggtm,q24-40,cgtnjyggtm:q24-40,TEST,REVIEWED_02339eda86d486c3,reference-005-d1ba3b34.json,84b86f4d93f7b2e651f195efb2fc7e21dc90780074acf10c2c3f484e94d7329c,ww,True,REVIEWED_REFERENCE_MATCHED
1,cgtnjyggtm,q24-8,cgtnjyggtm:q24-8,TEST,REVIEWED_02339eda86d486c3,reference-006-abf409e0.json,f389db8465e9a00821973de89718899a092a1a251304861f38b70f916b2de287,ww,True,REVIEWED_REFERENCE_MATCHED
1,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,TEST,REVIEWED_02339eda86d486c3,reference-011-03cd385a.json,8b4027e417d31a5b752ddde2fcd5f220cb9f92005e747d942e7dde7c1edfe1cf,phl,True,REVIEWED_REFERENCE_MATCHED
1,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,TEST,REVIEWED_02339eda86d486c3,reference-009-041911b5.json,6c07c9e0df208ba1ab11fca9a6dfae64b1daf8339a896b133266d213766e60c2,phl,True,REVIEWED_REFERENCE_MATCHED
1,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,TEST,REVIEWED_02339eda86d486c3,reference-010-2f685719.json,af1dd6ecec1da63b21e0260bb75a04cfaa1b5a20a09f90b38b58e0d61d1d27c4,phl,True,REVIEWED_REFERENCE_MATCHED
1,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,TEST,REVIEWED_02339eda86d486c3,reference-012-b1328a43.json,9697e1113c5cca6913394dfce7d5c557d15e3c415a3a890eb0c1ecbb9b7b9a91,phl,True,REVIEWED_REFERENCE_MATCHED
1,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,TEST,REVIEWED_02339eda86d486c3,reference-013-8575e4df.json,ba2a2c2174007a2154261d814120ed78a122b1525697c9b80f1de7b75e03906a,phl,True,REVIEWED_REFERENCE_MATCHED
1,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,TEST,REVIEWED_02339eda86d486c3,reference-014-a6618ce6.json,859b3293124141407661c74288f946c0c6e457ecd5ecc7ff53855b01ba9a0242,phl,True,REVIEWED_REFERENCE_MATCHED
1,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,TEST,REVIEWED_02339eda86d486c3,reference-016-b2a28d6b.json,a287204b224d510ad5b7ae0ddab7ebb716a39722a3c1e757bd72b41db9930b89,phl,True,REVIEWED_REFERENCE_MATCHED
1,xcmzfsbd9t,c24-54,xcmzfsbd9t:c24-54,TEST,REVIEWED_02339eda86d486c3,reference-015-6f946ed9.json,73b1bc1e2413f349dd3dc0e111f236c1e77dfabc4f95d13cc75db037d632de4b,phl,True,REVIEWED_REFERENCE_MATCHED
1,yfxyg8jm46,c16-15,yfxyg8jm46:c16-15,TEST,REVIEWED_02339eda86d486c3,reference-019-4ed8f7c4.json,5912fc507057ee674a371e1cf7d74f41f5dc60a19062e59860c825610adb8bd3,phl,True,REVIEWED_REFERENCE_MATCHED
1,yfxyg8jm46,c16-19,yfxyg8jm46:c16-19,TEST,REVIEWED_02339eda86d486c3,reference-020-44babbae.json,4b60db824ebff6a248a00d91848db530dd2c9f5c15614efc2e43b003624c64e2,phl,True,REVIEWED_REFERENCE_MATCHED
1,yfxyg8jm46,c16-38,yfxyg8jm46:c16-38,TEST,REVIEWED_02339eda86d486c3,reference-018-c9c342c3.json,9768d995b19e386320f2cba9f683a4294f03432a9e77d549e94e6fd2ccbe9dc7,phl,True,REVIEWED_REFERENCE_MATCHED
1,yfxyg8jm46,c16-4,yfxyg8jm46:c16-4,TEST,REVIEWED_02339eda86d486c3,reference-017-6f463737.json,17e4ee4b7954481bfecde0f8854a78d521e5d75526868183775e8638248721bd,phl,True,REVIEWED_REFERENCE_MATCHED
1,ykhs7s2dck,q8-19,ykhs7s2dck:q8-19,TEST,REVIEWED_02339eda86d486c3,reference-024-66982e2b.json,84041210ef6a5912fe190736d6d10437de2f483b39333284b7cdd972bd69eb52,phl,True,REVIEWED_REFERENCE_MATCHED
1,ykhs7s2dck,q8-31,ykhs7s2dck:q8-31,TEST,REVIEWED_02339eda86d486c3,reference-021-23f39928.json,2c310575f9a76aed60c49438cb9b36738b01f288db745519de55bf7f99046552,phl,True,REVIEWED_REFERENCE_MATCHED
