schema_version,dataset_id,specimen_id,specimen_key,task,method,seed,reference_version,analysis_scope,stop_system,wait_definition,defined,total_wait_cost,ineligible_wait_cost,eligible_below_threshold_wait_cost,eligible_crossed_unstopped_cost,missing_reason
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_NO_US_FEEDBACK_S1,1,REVIEWED_02339eda86d486c3,REVIEWED_AUTONOMOUS_PREFIX,S_BC_CAL,NO_SUSTAINED_SUCCESS,False,,,,,NO_SUSTAINED_SUCCESS
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_NO_US_FEEDBACK_S1,1,REVIEWED_02339eda86d486c3,REVIEWED_AUTONOMOUS_PREFIX,S_RULE,NO_SUSTAINED_SUCCESS,False,,,,,NO_SUSTAINED_SUCCESS
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_NO_VLM_S1,1,REVIEWED_02339eda86d486c3,REVIEWED_AUTONOMOUS_PREFIX,S_BC_CAL,NO_SUSTAINED_SUCCESS,False,,,,,NO_SUSTAINED_SUCCESS
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_NO_VLM_S1,1,REVIEWED_02339eda86d486c3,REVIEWED_AUTONOMOUS_PREFIX,S_RULE,NO_SUSTAINED_SUCCESS,False,,,,,NO_SUSTAINED_SUCCESS
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S1,1,REVIEWED_02339eda86d486c3,REVIEWED_AUTONOMOUS_PREFIX,S_BC_CAL,NO_SUSTAINED_SUCCESS,False,,,,,NO_SUSTAINED_SUCCESS
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S1,1,REVIEWED_02339eda86d486c3,REVIEWED_AUTONOMOUS_PREFIX,S_RULE,NO_SUSTAINED_SUCCESS,False,,,,,NO_SUSTAINED_SUCCESS
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S2,2,REVIEWED_02339eda86d486c3,REVIEWED_AUTONOMOUS_PREFIX,S_BC_CAL,NO_SUSTAINED_SUCCESS,False,,,,,NO_SUSTAINED_SUCCESS
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S2,2,REVIEWED_02339eda86d486c3,REVIEWED_AUTONOMOUS_PREFIX,S_RULE,NO_SUSTAINED_SUCCESS,False,,,,,NO_SUSTAINED_SUCCESS
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S3,3,REVIEWED_02339eda86d486c3,REVIEWED_AUTONOMOUS_PREFIX,S_BC_CAL,NO_SUSTAINED_SUCCESS,False,,,,,NO_SUSTAINED_SUCCESS
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S3,3,REVIEWED_02339eda86d486c3,REVIEWED_AUTONOMOUS_PREFIX,S_RULE,NO_SUSTAINED_SUCCESS,False,,,,,NO_SUSTAINED_SUCCESS
