schema_version,dataset_id,specimen_id,specimen_key,task,analysis_scope,reference_version,no_reliable_cue,surface_cue_cells,surface_ring_cells,target_pixel_count,surface_pixel_count,intersection_pixel_count,union_pixel_count,target_coverage_by_surface,surface_precision_proxy,surface_target_iou,overlap_group
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,59,60]","[26,27,28,29,34,37,42,43,44,45,50,51,52,53,58,61]",7346,28730,843,35233,0.11475632997549687,0.029342151061608077,0.023926432605795703,CUE_OVERLAP
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,59,60]","[26,27,28,29,34,37,42,43,44,45,50,51,52,53,58,61]",7346,28730,843,35233,0.11475632997549687,0.029342151061608077,0.023926432605795703,CUE_OVERLAP
1,74t7kcdgkr,c8-41,74t7kcdgkr:c8-41,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[0,1,2,3,63]","[4,8,9,10,11,12,54,55,62]",10668,35449,0,46117,0.0,0.0,0.0,CUE_DISJOINT
1,74t7kcdgkr,c8-41,74t7kcdgkr:c8-41,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[0,1,2,3,63]","[4,8,9,10,11,12,54,55,62]",10668,35449,0,46117,0.0,0.0,0.0,CUE_DISJOINT
1,74t7kcdgkr,c8-5,74t7kcdgkr:c8-5,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37,38]","[26,27,28,29,30,31,34,39,42,43,44,45,46,47]",3346,7353,2302,8397,0.6879856545128512,0.31306949544403645,0.2741455281648208,CUE_OVERLAP
1,74t7kcdgkr,c8-5,74t7kcdgkr:c8-5,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37,38]","[26,27,28,29,30,31,34,39,42,43,44,45,46,47]",3346,7353,2302,8397,0.6879856545128512,0.31306949544403645,0.2741455281648208,CUE_OVERLAP
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[27,28,35,36]","[18,19,20,21,26,29,34,37,42,43,44,45]",11258,7395,4321,14332,0.38381595310001776,0.5843137254901961,0.301493162154619,CUE_OVERLAP
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[27,28,35,36]","[18,19,20,21,26,29,34,37,42,43,44,45]",11258,7395,4321,14332,0.38381595310001776,0.5843137254901961,0.301493162154619,CUE_OVERLAP
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,44,45]","[26,27,28,29,34,37,38,42,43,46,51,52,53,54]",43104,28560,14421,57243,0.3345629175946548,0.504936974789916,0.25192599968555107,CUE_OVERLAP
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,44,45]","[26,27,28,29,34,37,38,42,43,46,51,52,53,54]",43104,28560,14421,57243,0.3345629175946548,0.504936974789916,0.25192599968555107,CUE_OVERLAP
