dataset_id,specimen_key,task,method,method_group,seed,step,cost,proxy_success,reviewed_success,selection_rule
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,0,0.0,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,1,0.00036547163243995823,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,2,0.0007309432648799165,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,3,0.0010355029585798817,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,4,0.0013400626522798468,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,5,0.0016011138183083884,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,6,0.0018186564566655065,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,7,0.002079707622694048,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,8,0.002392969021928298,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,9,0.002610511660285416,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,10,0.0028715628263139576,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,11,0.0030891054646710755,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,12,0.003350156630699617,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,13,0.0036112077967281587,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,14,0.0038287504350852765,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,15,0.004089801601113818,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,16,0.004403063000348068,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,17,0.00466411416637661,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,18,0.004925165332405152,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,19,0.005142707970762269,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,20,0.005360250609119387,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,21,0.005612600069613644,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,22,0.005830142707970762,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,23,0.00604768534632788,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
74t7kcdgkr,74t7kcdgkr:c8-5,CHARACTERIZE,R_BALANCED_P8,P8,1,24,0.00636094674556213,False,False,MIN_SHA256_BC_FROZEN_CASE_V1_WITHIN_DOMAIN
