task,method,state_count,physical_specimen_count,proxy_success_fraction,reviewed_success_fraction,status_flip_count,failure_to_success_count,success_to_failure_count,reviewed_minus_proxy_success_fraction
CHARACTERIZE,BC_NO_US_FEEDBACK_S1,4632,24,0.07772020725388601,0.0,360,0,360,-0.07772020725388601
CHARACTERIZE,BC_NO_VLM_S1,4632,24,0.32534542314335063,0.0,1507,0,1507,-0.32534542314335063
CHARACTERIZE,BC_S1,4632,24,0.3812607944732297,0.0,1766,0,1766,-0.3812607944732297
CHARACTERIZE,BC_S2,4632,24,0.3508203799654577,0.0,1625,0,1625,-0.3508203799654577
CHARACTERIZE,BC_S3,4632,24,0.34110535405872194,0.0,1580,0,1580,-0.34110535405872194
CHARACTERIZE,R_BALANCED_P8,4632,24,0.32124352331606215,0.0,1488,0,1488,-0.32124352331606215
LOCATE,BC_NO_US_FEEDBACK_S1,4632,24,0.2724525043177893,0.02158894645941278,1162,0,1162,-0.2508635578583765
LOCATE,BC_NO_VLM_S1,4632,24,0.6491796200345423,0.1871761658031088,2212,36,2176,-0.4620034542314335
LOCATE,BC_S1,4632,24,0.6839378238341969,0.19991364421416236,2324,41,2283,-0.4840241796200345
LOCATE,BC_S2,4632,24,0.5885146804835925,0.17184801381692574,1990,30,1960,-0.41666666666666674
LOCATE,BC_S3,4632,24,0.5787996545768567,0.15220207253886012,2042,33,2009,-0.4265975820379966
LOCATE,R_BALANCED_P8,4632,24,0.5373488773747841,0.19343696027633853,1811,109,1702,-0.3439119170984456
