schema_version,dataset_id,specimen_id,specimen_key,task,method,seed,reference_version,analysis_scope,stop_system,execution_end_step,action_count,first_target_measurement_step,first_target_measurement_cost,first_target_support_step,first_target_support_cost,first_locate_support_criterion_step,first_locate_support_criterion_cost,added_v_measurement_fraction,added_r_measurement_fraction,added_o_measurement_fraction,entered_v,first_v_action_step,post_v_outside_action_status,first_post_v_outside_action_step
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,R_BALANCED_P8,1,PROXY_LEGACY,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,3,0.0007978898780085724,3,0.0007978898780085724,,,0.06314979668095395,0.25037037037037035,0.6864798329486757,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,R_BALANCED_P8,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,173,173,3,0.0007978898780085724,3,0.0007978898780085724,,,0.039793383888339376,0.13312451917793164,0.6046906253434443,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,R_BALANCED_P8,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,135,135,3,0.0007978898780085724,3,0.0007978898780085724,,,0.03970106605121442,0.09785910539619738,0.27656665567644795,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,3,0.0007978898780085724,3,0.0007978898780085724,,,0.06314979668095395,0.25037037037037035,0.6864798329486757,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,170,170,3,0.0007978898780085724,3,0.0007978898780085724,,,0.06314979668095395,0.17992966260028576,0.5004637872293659,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,159,159,3,0.0007978898780085724,3,0.0007978898780085724,,,0.06314979668095395,0.09813825695131333,0.4540279151555116,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,1,0.0002659632926695241,1,0.0002659632926695241,,,0.06314979668095395,0.25037037037037035,0.6864798329486757,True,0,OBSERVED,6
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,173,173,1,0.0002659632926695241,1,0.0002659632926695241,,,0.06314979668095395,0.20347071106715023,0.5122804703813606,True,0,OBSERVED,6
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,158,158,1,0.0002659632926695241,1,0.0002659632926695241,,,0.0516100670403341,0.09804593911418837,0.4540279151555116,True,0,OBSERVED,6
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,3,0.0007978898780085724,3,0.0007978898780085724,,,0.06314979668095395,0.25037037037037035,0.6864798329486757,True,0,OBSERVED,12
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,164,164,3,0.0007978898780085724,3,0.0007978898780085724,,,0.06314979668095395,0.13349598857017256,0.47719969227387626,True,0,OBSERVED,12
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,163,163,3,0.0007978898780085724,3,0.0007978898780085724,,,0.06314979668095395,0.1334036707330476,0.46556764479613144,True,0,OBSERVED,12
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,R_BALANCED_P8,1,PROXY_LEGACY,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,3,0.0007978898780085724,3,0.0007978898780085724,11,0.0028420705572040884,0.06314979668095395,0.25037037037037035,0.6864798329486757,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,R_BALANCED_P8,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,158,158,3,0.0007978898780085724,3,0.0007978898780085724,11,0.0028420705572040884,0.03970106605121442,0.09795142323332234,0.46556764479613144,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,R_BALANCED_P8,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,98,98,3,0.0007978898780085724,3,0.0007978898780085724,11,0.0028420705572040884,0.03238597648093197,0.05023628970216507,0.19643477305198373,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,BC_S1,1,PROXY_LEGACY,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,3,0.0008220683591603473,3,0.0008220683591603473,16,0.0038092098032750854,0.06314979668095395,0.25037037037037035,0.6864798329486757,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,BC_S1,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,138,138,3,0.0008220683591603473,3,0.0008220683591603473,16,0.0038092098032750854,0.03970106605121442,0.0832948675678646,0.39983954280690187,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,BC_S1,1,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,87,87,3,0.0008220683591603473,3,0.0008220683591603473,16,0.0038092098032750854,0.008565776458951534,0.014876360039564787,0.12608858116276514,True,0,OBSERVED,4
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,BC_S2,2,PROXY_LEGACY,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,1,0.0002659632926695241,1,0.0002659632926695241,21,0.022589295526980985,0.06314979668095395,0.25037037037037035,0.6864798329486757,True,0,OBSERVED,6
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,BC_S2,2,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,163,163,1,0.0002659632926695241,1,0.0002659632926695241,21,0.022589295526980985,0.06314979668095395,0.12167930541817783,0.4772920101110012,True,0,OBSERVED,6
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,BC_S2,2,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,82,82,1,0.0002659632926695241,1,0.0002659632926695241,21,0.022589295526980985,0.012293658643807012,0.015017034838993295,0.0554632377184306,True,0,OBSERVED,6
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,BC_S3,3,PROXY_LEGACY,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,3,0.0007978898780085724,3,0.0007978898780085724,54,0.23051104516979887,0.06314979668095395,0.25037037037037035,0.6864798329486757,True,0,OBSERVED,12
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,BC_S3,3,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_BC_CAL,162,162,3,0.0007978898780085724,3,0.0007978898780085724,54,0.23051104516979887,0.06314979668095395,0.1214946697439279,0.46556764479613144,True,0,OBSERVED,12
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,BC_S3,3,PROXY_LEGACY,AUTONOMOUS_PREFIX,S_RULE,106,106,3,0.0007978898780085724,3,0.0007978898780085724,54,0.23051104516979887,0.06314979668095395,0.05804154302670623,0.2037498626222662,True,0,OBSERVED,12
1,74t7kcdgkr,c8-41,74t7kcdgkr:c8-41,CHARACTERIZE,R_BALANCED_P8,1,PROXY_LEGACY,FULL_PLANNER_DIAGNOSTIC,NONE_FULL_TRAJECTORY,192,192,1,0.0002659632926695241,1,0.0002659632926695241,,,0.07791845257720628,0.14069238377843718,0.7813891636443565,True,0,OBSERVED,5
