specimen_key,split,cache_key
74t7kcdgkr:c8-15,TRAIN,bee27b3bb9936e140c6bc8c24b2a4dc4d9b75f55a9cf56d5af1a16ec833ab9e0
74t7kcdgkr:c8-2,VALID,0f4ff7f6d0c9c0a853598ba9d918f5628f3a975f0f3b508f52e68bb9955aaf0e
74t7kcdgkr:c8-20,TRAIN,48b0432fc31e436749029ac63bcd352f3a76769c6b6861809a5b8161437cdd6e
74t7kcdgkr:c8-21,TRAIN,8168ff138a20287e5067238033145638c8d6dce85cffc9b29d85a0f9fb463dd6
74t7kcdgkr:c8-24,TEST,868bf952fdddf8f815df91ed0e507c24a8169605ca4ee7e7243232e46c129361
74t7kcdgkr:c8-28,VALID,865a1afee97673a566955d8805a95455d0d4712e40d89b3a0580e556195c3f2d
74t7kcdgkr:c8-32,TRAIN,534131433a3effddbf7509befc5e90bf88c85b8cc87df34538a9aa16e861593a
74t7kcdgkr:c8-41,TEST,9402d020537d15ba0de9129d948713dbcc8e3613fa195ab3eb3a84ba22e8642f
74t7kcdgkr:c8-5,TEST,e2f7788a8a371b2e128a662a57d4264d78136d7ca34b0bc9924aed15afda771f
74t7kcdgkr:c8-7,TEST,034a66d55e280205d5ca3664f30bd9fcb720e403c5f72726ca3af6c0345322c7
cgtnjyggtm:q24-16,VALID,fa3cedb9a621fcad38a28f5ccfbc3460ce9df60621b6ca1a4637b61a84b69286
cgtnjyggtm:q24-18,TRAIN,94ae16aa309a40689b7a9dd85fff06a4e630330a594f03952fd1ef608f39f5a0
cgtnjyggtm:q24-21,TEST,ad93ebe31bf09abf2a6bd7cff118d54169aad2ea871416e70549c7c27f29e284
cgtnjyggtm:q24-29,TRAIN,8cd21a469daecace3f795cc5bc0c47bd98269bd87b4e344c1cda166cf52dda24
cgtnjyggtm:q24-30,VALID,144ed7710fdd6df006332ea7eb279f115bb4ae2ad8457ebe3f6bb500d1e4e4f4
cgtnjyggtm:q24-32,TRAIN,c12be319f9817be99c57f066921964205c7eceff772f93f4c0e634e37fb0922f
cgtnjyggtm:q24-37,TEST,384bb2792bf667e5ebeb8c619fde97c96d3cf08843e0c32a36b943d31b144d3f
cgtnjyggtm:q24-4,TRAIN,b8fd6f5f7c1986a6e8bbf29e17febd6eca6042e639f4a6fe90abff20069ad56a
cgtnjyggtm:q24-40,TEST,6e832805392c7ca4595d25f2d8f20a25a936cd10bcedd6221cef927d11cdbc36
