specimen_key,state_id,model,target_count,maximum_forward_logit_difference,maximum_prediction_difference_mpa
cgtnjyggtm:q24-48,s00_32496b63c4f0,C,1,0.0,0.0
cgtnjyggtm:q24-48,s00_32496b63c4f0,N,2,0.0,0.0
cgtnjyggtm:q24-48,s01_6a763ec6cc37,C,1,0.0,0.0
cgtnjyggtm:q24-48,s01_6a763ec6cc37,N,1,0.0,0.0
cgtnjyggtm:q24-48,s02_e26c8b15350c,C,1,0.0,0.0
cgtnjyggtm:q24-48,s02_e26c8b15350c,N,2,0.0,0.0
cgtnjyggtm:q24-48,s03_ba4b52edd4bf,C,1,0.0,0.0
cgtnjyggtm:q24-48,s03_ba4b52edd4bf,N,2,0.0,0.0
cgtnjyggtm:q24-48,s04_b01e19df2977,C,1,0.0,0.0
cgtnjyggtm:q24-48,s04_b01e19df2977,N,2,0.0,0.0
cgtnjyggtm:q24-48,s05_ce63745479ac,C,1,0.0,0.0
cgtnjyggtm:q24-48,s05_ce63745479ac,N,1,0.0,0.0
cgtnjyggtm:q24-48,s06_961e7869f1e5,C,1,0.0,0.0
cgtnjyggtm:q24-48,s06_961e7869f1e5,N,2,0.0,0.0
cgtnjyggtm:q24-48,s07_e5f96aaadaf7,C,1,0.0,0.0
cgtnjyggtm:q24-48,s07_e5f96aaadaf7,N,2,0.0,0.0
cgtnjyggtm:q24-48,s08_62115a61a187,C,1,0.0,0.0
cgtnjyggtm:q24-48,s08_62115a61a187,N,2,0.0,0.0
74t7kcdgkr:c8-16,s00_d760add2b16a,C,1,0.0,0.0
74t7kcdgkr:c8-16,s00_d760add2b16a,N,2,0.0,0.0
74t7kcdgkr:c8-16,s01_082968232023,C,1,0.0,0.0
74t7kcdgkr:c8-16,s01_082968232023,N,2,0.0,0.0
74t7kcdgkr:c8-16,s02_beef2c444dfb,C,1,0.0,0.0
74t7kcdgkr:c8-16,s02_beef2c444dfb,N,2,0.0,0.0
74t7kcdgkr:c8-16,s03_998c30e5fca0,C,1,9.5367431640625e-07,1.52587890625e-05
74t7kcdgkr:c8-16,s03_998c30e5fca0,N,2,1.9073486328125e-06,1.52587890625e-05
74t7kcdgkr:c8-16,s04_b3d2c6f62b08,C,1,4.76837158203125e-07,1.52587890625e-05
74t7kcdgkr:c8-16,s04_b3d2c6f62b08,N,2,1.9073486328125e-06,1.52587890625e-05
74t7kcdgkr:c8-16,s05_b5b59c8db5e3,C,1,7.152557373046875e-07,3.0517578125e-05
74t7kcdgkr:c8-16,s05_b5b59c8db5e3,N,2,1.430511474609375e-06,3.0517578125e-05
74t7kcdgkr:c8-16,s06_b37ff81a7144,C,1,9.5367431640625e-07,1.52587890625e-05
74t7kcdgkr:c8-16,s06_b37ff81a7144,N,2,1.9073486328125e-06,1.52587890625e-05
74t7kcdgkr:c8-16,s07_cec6bed36685,C,1,7.152557373046875e-07,1.52587890625e-05
74t7kcdgkr:c8-16,s07_cec6bed36685,N,2,1.9073486328125e-06,1.52587890625e-05
74t7kcdgkr:c8-16,s08_154b805610bd,C,1,0.0,0.0
74t7kcdgkr:c8-16,s08_154b805610bd,N,2,0.0,0.0
w68dtmpfyf:q16-29,s00_190dcec63040,C,1,0.0,0.0
w68dtmpfyf:q16-29,s00_190dcec63040,N,2,0.0,0.0
w68dtmpfyf:q16-29,s01_edb9756f43f7,C,1,0.0,0.0
w68dtmpfyf:q16-29,s01_edb9756f43f7,N,2,0.0,0.0
w68dtmpfyf:q16-29,s02_676163b69261,C,1,7.152557373046875e-07,3.0517578125e-05
w68dtmpfyf:q16-29,s02_676163b69261,N,2,1.430511474609375e-06,3.0517578125e-05
w68dtmpfyf:q16-29,s03_6ca2f74b8abd,C,1,9.5367431640625e-07,3.0517578125e-05
w68dtmpfyf:q16-29,s03_6ca2f74b8abd,N,2,9.5367431640625e-07,3.0517578125e-05
w68dtmpfyf:q16-29,s04_bdc89390b5eb,C,1,9.5367431640625e-07,3.0517578125e-05
w68dtmpfyf:q16-29,s04_bdc89390b5eb,N,2,9.5367431640625e-07,3.0517578125e-05
w68dtmpfyf:q16-29,s05_63834e55e921,C,1,0.0,0.0
w68dtmpfyf:q16-29,s05_63834e55e921,N,2,0.0,0.0
w68dtmpfyf:q16-29,s06_03bb3070f458,C,1,0.0,0.0
w68dtmpfyf:q16-29,s06_03bb3070f458,N,2,0.0,0.0
w68dtmpfyf:q16-29,s07_c30ca7e90035,C,1,0.0,0.0
w68dtmpfyf:q16-29,s07_c30ca7e90035,N,2,0.0,0.0
w68dtmpfyf:q16-29,s08_a6a02ff51f83,C,1,0.0,0.0
w68dtmpfyf:q16-29,s08_a6a02ff51f83,N,2,0.0,0.0
xcmzfsbd9t:c24-9t,s00_3a313614afe2,C,1,4.76837158203125e-07,1.52587890625e-05
xcmzfsbd9t:c24-9t,s00_3a313614afe2,N,2,1.9073486328125e-06,1.52587890625e-05
xcmzfsbd9t:c24-9t,s01_f7645c2f1bde,C,1,7.152557373046875e-07,3.0517578125e-05
xcmzfsbd9t:c24-9t,s01_f7645c2f1bde,N,1,1.9073486328125e-06,3.0517578125e-05
xcmzfsbd9t:c24-9t,s02_1e5e688a9570,C,1,7.152557373046875e-07,1.52587890625e-05
