step,c_native_action,c_native_cost,n_native_action,n_native_cost,n_native_action_differs_from_c,n_native_cost_minus_c,c_no_c0_action,c_no_c0_cost,c_no_c0_action_differs_from_c,c_no_c0_cost_minus_c
1,36,0.015532544378698224,62,0.015532544378698224,True,0.0,36,0.015532544378698224,False,0.0
2,27,0.03106508875739645,61,0.03106508875739645,True,0.0,27,0.03106508875739645,False,0.0
3,35,0.04659763313609468,60,0.04659763313609468,True,0.0,35,0.04659763313609468,False,0.0
4,57,0.0621301775147929,21,0.0625,True,0.0003698224852071025,57,0.0621301775147929,False,0.0
5,24,0.07766272189349112,17,0.07840236686390532,True,0.000739644970414205,24,0.07766272189349112,False,0.0
6,28,0.09319526627218934,41,0.09430473372781065,True,0.0011094674556213074,28,0.09319526627218934,False,0.0
7,56,0.10872781065088756,15,0.10983727810650887,True,0.0011094674556213074,56,0.10872781065088756,False,0.0
8,8,0.1242603550295858,63,0.12536982248520712,True,0.0011094674556213213,8,0.1242603550295858,False,0.0
9,0,0.13979289940828402,5,0.14090236686390534,True,0.0011094674556213213,0,0.13979289940828402,False,0.0
10,16,0.15569526627218935,9,0.15643491124260356,True,0.000739644970414205,16,0.15569526627218935,False,0.0
11,32,0.17122781065088757,55,0.17196745562130178,True,0.000739644970414205,32,0.17122781065088757,False,0.0
12,48,0.1867603550295858,18,0.18786982248520712,True,0.0011094674556213213,48,0.1867603550295858,False,0.0
13,40,0.20266272189349113,10,0.20340236686390534,True,0.000739644970414205,40,0.20266272189349113,False,0.0
14,58,0.21819526627218935,52,0.21893491124260356,True,0.000739644970414205,58,0.21819526627218935,False,0.0
15,62,0.23372781065088757,7,0.23446745562130178,True,0.000739644970414205,62,0.23372781065088757,False,0.0
16,59,0.2492603550295858,53,0.25,True,0.000739644970414205,59,0.2492603550295858,False,0.0
