step,c_native_action,c_native_cost,n_native_action,n_native_cost,n_native_action_differs_from_c,n_native_cost_minus_c,c_no_c0_action,c_no_c0_cost,c_no_c0_action_differs_from_c,c_no_c0_cost_minus_c
1,28,0.015509396636993076,31,0.015509396636993076,True,0.0,28,0.015509396636993076,False,0.0
2,31,0.031018793273986153,28,0.031018793273986153,True,0.0,31,0.031018793273986153,False,0.0
3,23,0.04671282558522914,62,0.04671282558522914,True,0.0,23,0.04671282558522914,False,0.0
4,0,0.06222222222222222,63,0.06222222222222222,True,0.0,0,0.06222222222222222,False,0.0
5,48,0.0777316188592153,60,0.0777316188592153,True,0.0,48,0.0777316188592153,False,0.0
6,55,0.09324101549620838,59,0.09342565117045828,True,0.00018463567424990834,55,0.09324101549620838,False,0.0
7,35,0.10893504780745136,8,0.10893504780745136,True,0.0,35,0.10893504780745136,False,0.0
8,30,0.12462908011869436,23,0.12462908011869436,True,0.0,30,0.12462908011869436,False,0.0
9,52,0.14013847675568744,12,0.14013847675568744,True,0.0,52,0.14013847675568744,False,0.0
10,27,0.15583250906693044,16,0.15583250906693044,True,0.0,27,0.15583250906693044,False,0.0
11,39,0.17134190570392352,4,0.17134190570392352,True,0.0,39,0.17134190570392352,False,0.0
12,19,0.1872227717331575,58,0.1868513023409166,True,-0.0003714693922408918,19,0.1872227717331575,False,0.0
13,8,0.20273216837015057,2,0.20236069897790968,True,-0.0003714693922408918,8,0.20273216837015057,False,0.0
14,32,0.21824156500714365,13,0.21787009561490275,True,-0.0003714693922408918,32,0.21824156500714365,False,0.0
15,16,0.23393559731838665,36,0.23337949225189583,True,-0.000556105066490814,16,0.23393559731838665,False,0.0
16,40,0.24962962962962965,15,0.24888888888888888,True,-0.000740740740740764,40,0.24962962962962965,False,0.0
