step,c_native_action,c_native_cost,n_native_action,n_native_cost,n_native_action_differs_from_c,n_native_cost_minus_c,c_no_c0_action,c_no_c0_cost,c_no_c0_action_differs_from_c,c_no_c0_cost_minus_c
1,27,0.015694032311242993,14,0.015694032311242993,True,0.0,49,0.015694032311242993,True,0.0
2,49,0.03138806462248599,55,0.03120342894823607,True,-0.00018463567424991528,0,0.03120342894823607,True,-0.00018463567424991528
3,0,0.046897461259479065,54,0.046897461259479065,True,0.0,24,0.04671282558522915,True,-0.00018463567424991528
4,24,0.06240685789647214,51,0.06259149357072205,True,0.00018463567424990834,32,0.06222222222222223,True,-0.00018463567424991528
5,32,0.07791625453346522,22,0.07847235959995603,True,0.000556105066490814,27,0.07791625453346522,True,0.0
6,33,0.09361028684470821,21,0.09416639191119902,True,0.000556105066490814,33,0.09361028684470821,False,0.0
7,48,0.10911968348170129,20,0.10986042422244202,True,0.0007407407407407363,48,0.10911968348170129,False,0.0
8,19,0.12500054951093525,52,0.1253698208594351,True,0.00036927134849984444,19,0.12500054951093525,False,0.0
9,40,0.14069458182217826,44,0.1410638531706781,True,0.00036927134849984444,40,0.14069458182217826,False,0.0
10,1,0.15638861413342126,19,0.15694471919991207,True,0.000556105066490814,1,0.15638861413342126,False,0.0
11,37,0.17189801077041433,50,0.17245411583690515,True,0.000556105066490814,37,0.17189801077041433,False,0.0
12,16,0.18759204308165733,56,0.18796351247389823,True,0.0003714693922408918,16,0.18759204308165733,False,0.0
13,34,0.2031014397186504,63,0.2034729091108913,True,0.0003714693922408918,34,0.2031014397186504,False,0.0
14,51,0.2187954720298934,30,0.2191669414221343,True,0.0003714693922408918,51,0.2187954720298934,False,0.0
15,50,0.2343048686668865,53,0.23467633805912738,True,0.0003714693922408918,50,0.2343048686668865,False,0.0
16,7,0.24981426530387954,,,,,7,0.2498142653038795,False,-2.7755575615628914e-17
