step,c_native_action,c_native_cost,n_native_action,n_native_cost,n_native_action_differs_from_c,n_native_cost_minus_c,c_no_c0_action,c_no_c0_cost,c_no_c0_action_differs_from_c,c_no_c0_cost_minus_c
1,36,0.015509396636993076,27,0.015694032311242993,True,0.00018463567424991702,36,0.015509396636993076,False,0.0
2,27,0.03120342894823607,36,0.03120342894823607,True,0.0,27,0.03120342894823607,False,0.0
3,35,0.046897461259479065,28,0.04671282558522915,True,-0.00018463567424991528,35,0.046897461259479065,False,0.0
4,28,0.06240685789647214,59,0.06240685789647214,True,0.0,28,0.06240685789647214,False,0.0
5,32,0.07791625453346522,35,0.07810089020771513,True,0.00018463567424990834,32,0.07791625453346522,False,0.0
6,37,0.0934256511704583,40,0.09379492251895813,True,0.00036927134849983057,37,0.0934256511704583,False,0.0
7,59,0.10911968348170129,29,0.10930431915595121,True,0.00018463567424992222,59,0.10911968348170129,False,0.0
8,60,0.12462908011869436,56,0.12481371579294429,True,0.00018463567424992222,60,0.12462908011869436,False,0.0
9,29,0.14013847675568744,37,0.14032311242993736,True,0.00018463567424992222,29,0.14013847675568744,False,0.0
10,4,0.15564787339268052,26,0.15583250906693044,True,0.00018463567424992222,4,0.15564787339268052,False,0.0
11,40,0.17134190570392352,63,0.17134190570392352,True,0.0,40,0.17134190570392352,False,0.0
12,24,0.1868513023409166,62,0.18703593801516652,True,0.00018463567424992222,24,0.1868513023409166,False,0.0
13,49,0.2025453346521596,60,0.2025453346521596,True,0.0,49,0.2025453346521596,False,0.0
14,25,0.2182393669634026,21,0.2182393669634026,True,0.0,25,0.2182393669634026,False,0.0
15,61,0.23374876360039568,54,0.2339333992746456,True,0.00018463567424992222,61,0.23374876360039568,False,0.0
16,8,0.24925816023738873,30,0.24962743158588857,True,0.00036927134849984444,8,0.24925816023738873,False,0.0
