step,c_native_action,c_native_cost,n_native_action,n_native_cost,n_native_action_differs_from_c,n_native_cost_minus_c,c_no_c0_action,c_no_c0_cost,c_no_c0_action_differs_from_c,c_no_c0_cost_minus_c
1,5,0.015509396636993076,63,0.015509396636993076,True,0.0,62,0.015694032311242993,True,0.00018463567424991702
2,62,0.03120342894823607,60,0.031018793273986153,True,-0.00018463567424991875,48,0.03120342894823607,True,0.0
3,48,0.04671282558522915,58,0.04652818991097923,True,-0.00018463567424992222,56,0.04671282558522915,True,0.0
4,56,0.06222222222222223,16,0.06222222222222222,True,-6.938893903907228e-18,58,0.06222222222222223,True,0.0
5,58,0.0777316188592153,59,0.0779162545334652,True,0.00018463567424990834,24,0.0777316188592153,True,0.0
6,24,0.09324101549620838,22,0.09379712056269919,True,0.000556105066490814,59,0.09342565117045828,True,0.00018463567424990834
7,59,0.10893504780745136,7,0.10930651719969227,True,0.0003714693922409057,49,0.10911968348170129,True,0.00018463567424992222
8,49,0.12462908011869436,56,0.12481591383668535,True,0.00018683371799098347,32,0.12462908011869436,True,0.0
9,32,0.14013847675568744,6,0.14050994614792833,True,0.0003714693922408918,8,0.14013847675568744,True,0.0
10,8,0.15564787339268052,40,0.15620397845917133,True,0.000556105066490814,60,0.15564787339268052,True,0.0
11,60,0.1711572700296736,47,0.17189801077041433,True,0.0007407407407407363,16,0.17134190570392352,True,0.00018463567424992222
12,16,0.1868513023409166,54,0.18759204308165733,True,0.0007407407407407363,40,0.18703593801516652,True,0.00018463567424992222
13,40,0.2025453346521596,20,0.20328607539290033,True,0.0007407407407407363,61,0.2025453346521596,True,0.0
14,61,0.21805473128915268,8,0.2187954720298934,True,0.0007407407407407363,42,0.2182393669634026,True,0.00018463567424992222
15,42,0.23374876360039568,46,0.23467633805912738,True,0.0009275744587317059,63,0.23374876360039568,True,0.0
16,63,0.24925816023738873,,,,,51,0.24944279591163865,True,0.00018463567424992222
