step,c_native_action,c_native_cost,n_native_action,n_native_cost,n_native_action_differs_from_c,n_native_cost_minus_c,c_no_c0_action,c_no_c0_cost,c_no_c0_action_differs_from_c,c_no_c0_cost_minus_c
1,37,0.015509396636993076,63,0.015509396636993076,True,0.0,8,0.015509396636993076,True,0.0
2,8,0.031018793273986153,59,0.03120342894823607,True,0.00018463567424991875,24,0.031018793273986153,True,0.0
3,24,0.04652818991097923,5,0.04671282558522915,True,0.00018463567424992222,20,0.04671282558522914,True,0.00018463567424991528
4,20,0.06222222222222222,3,0.06240685789647214,True,0.00018463567424992222,32,0.06222222222222222,True,0.0
5,32,0.0777316188592153,31,0.07791625453346522,True,0.00018463567424992222,34,0.0777316188592153,True,0.0
6,34,0.09324101549620838,56,0.0934256511704583,True,0.00018463567424992222,11,0.09342565117045828,True,0.00018463567424990834
7,11,0.10893504780745136,11,0.10911968348170129,False,0.00018463567424992222,16,0.10911968348170129,True,0.00018463567424992222
8,16,0.12462908011869436,57,0.12481371579294429,True,0.00018463567424992222,56,0.12462908011869436,True,0.0
9,56,0.14013847675568744,23,0.14050774810418729,True,0.00036927134849984444,25,0.14032311242993736,True,0.00018463567424992222
10,25,0.15583250906693044,15,0.15601714474118036,True,0.00018463567424992222,0,0.15583250906693044,True,0.0
11,0,0.17134190570392352,21,0.17171117705242336,True,0.00036927134849984444,18,0.17152654137817344,True,0.00018463567424992222
12,18,0.18703593801516652,58,0.18722057368941644,True,0.00018463567424992222,47,0.18722057368941644,True,0.00018463567424992222
13,47,0.20272997032640952,30,0.20291460600065944,True,0.00018463567424992222,38,0.20291460600065944,True,0.00018463567424992222
14,38,0.21842400263765252,39,0.21842400263765252,True,0.0,33,0.21860863831190244,True,0.00018463567424992222
15,33,0.23411803494889552,53,0.2339333992746456,True,-0.00018463567424992222,19,0.2344895043411364,True,0.0003714693922408918
16,19,0.24999890097812946,25,0.24962743158588857,True,-0.0003714693922408918,39,0.24999890097812943,True,-2.7755575615628914e-17
