cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-2.004197120666504,True,True,0.01224662477600596,0.01224662477600596,8,8,False,0.0,0.0,False
1,0,1,-3.2398674488067627,True,True,0.0035593574692058608,0.0035593574692058608,19,19,False,0.0,0.0,False
2,0,2,-4.226424217224121,True,True,0.0013271360491940748,0.0013271360491940748,47,47,False,0.0,0.0,False
3,0,3,-3.6985507011413574,True,True,0.002249924792408874,0.002249924792408874,26,26,False,0.0,0.0,False
4,0,4,-4.770449638366699,True,True,0.0007702792656976126,0.0007702792656976126,63,63,False,0.0,0.0,False
5,0,5,-3.5514774322509766,True,True,0.002606400260865108,0.002606400260865108,25,25,False,0.0,0.0,False
6,0,6,-4.4215407371521,True,True,0.0010918863033065,0.0010918863033065,60,60,False,0.0,0.0,False
7,0,7,-4.525472164154053,True,True,0.000984103039029614,0.000984103039029614,61,61,False,0.0,0.0,False
8,1,0,-1.6163984537124634,True,True,0.018048255600741994,0.018048255600741994,7,7,False,0.0,0.0,False
9,1,1,-4.251944065093994,True,True,0.0012936962433170505,0.0012936962433170505,51,51,False,0.0,0.0,False
10,1,2,-3.9250741004943848,True,True,0.0017938665799286382,0.0017938665799286382,36,36,False,0.0,0.0,False
11,1,3,-4.208157539367676,True,True,0.0013516011839714494,0.0013516011839714494,46,46,False,0.0,0.0,False
12,1,4,-4.530125617980957,True,True,0.0009795341996628002,0.0009795341996628002,62,62,False,0.0,0.0,False
13,1,5,-4.239606857299805,True,True,0.0013097557034458202,0.0013097557034458202,50,50,False,0.0,0.0,False
14,1,6,-3.720381498336792,True,True,0.0022013393990637804,0.0022013393990637804,27,27,False,0.0,0.0,False
15,1,7,-4.257411479949951,True,True,0.001286642370054534,0.001286642370054534,52,52,False,0.0,0.0,False
16,2,0,-2.17338228225708,True,True,0.010340468824838652,0.010340468824838652,9,9,False,0.0,0.0,False
17,2,1,-4.1248626708984375,True,True,0.0014690042940589862,0.0014690042940589862,43,43,False,0.0,0.0,False
18,2,2,-3.9340462684631348,True,True,0.0017778436951532044,0.0017778436951532044,37,37,False,0.0,0.0,False
19,2,3,-4.284198760986328,True,True,0.001252634245434146,0.001252634245434146,54,54,False,0.0,0.0,False
20,2,4,-4.2688984870910645,True,True,0.0012719472629480202,0.0012719472629480202,53,53,False,0.0,0.0,False
21,2,5,-4.1282219886779785,True,True,0.001464077721410314,0.001464077721410314,44,44,False,0.0,0.0,False
22,2,6,-4.40750789642334,True,True,0.0011073165820055682,0.0011073165820055682,58,58,False,0.0,0.0,False
23,2,7,-4.285070419311523,True,True,0.0012515428520958355,0.0012515428520958355,55,55,False,0.0,0.0,False
24,3,0,-1.3278111219406128,True,True,0.024086135133053507,0.024086135133053507,4,4,False,0.0,0.0,False
25,3,1,-4.351135730743408,True,True,0.0011715313749401902,0.0011715313749401902,56,56,False,0.0,0.0,False
26,3,2,-3.9652414321899414,True,True,0.0017232396884981937,0.0017232396884981937,38,38,False,0.0,0.0,False
27,3,3,1.5251612663269043,True,True,0.4176353809722387,0.4176353809722387,1,1,False,0.0,0.0,True
28,3,4,-1.4810575246810913,True,True,0.020663936163389268,0.020663936163389268,5,5,False,0.0,0.0,False
29,3,5,-4.417444229125977,True,True,0.0010963683985131267,0.0010963683985131267,59,59,False,0.0,0.0,False
30,3,6,-4.358190536499023,True,True,0.0011632955339409376,0.0011632955339409376,57,57,False,0.0,0.0,False
31,3,7,-3.9053194522857666,True,True,0.00182965612418986,0.00182965612418986,35,35,False,0.0,0.0,False
32,4,0,-2.1874501705169678,True,True,0.01019601870123635,0.01019601870123635,10,10,False,0.0,0.0,False
33,4,1,-3.7910478115081787,True,True,0.0020511480887859387,0.0020511480887859387,30,30,False,0.0,0.0,False
34,4,2,-4.2355570793151855,True,True,0.0013150706782286891,0.0013150706782286891,48,48,False,0.0,0.0,False
35,4,3,1.1640644073486328,True,True,0.2910548969090928,0.2910548969090928,2,2,False,1.0,0.6666666865348816,False
36,4,4,1.349745750427246,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
37,4,5,-3.7918684482574463,True,True,0.0020494655317645793,0.0020494655317645793,31,31,False,0.0,0.0,False
38,4,6,-4.236800193786621,True,True,0.0013134369105281512,0.0013134369105281512,49,49,False,0.0,0.0,False
39,4,7,-4.0052690505981445,True,True,0.0016556247674851025,0.0016556247674851025,40,40,False,0.0,0.0,False
40,5,0,-2.255737543106079,True,True,0.009523000217933805,0.009523000217933805,12,12,False,0.0,0.0,False
41,5,1,-3.537076473236084,True,True,0.0026442064938274647,0.0026442064938274647,24,24,False,0.0,0.0,False
42,5,2,-4.019795894622803,True,True,0.00163174761445992,0.00163174761445992,41,41,False,0.0,0.0,False
43,5,3,-3.3535871505737305,True,True,0.0031767553338526914,0.0031767553338526914,21,21,False,0.0,0.0,False
44,5,4,-3.7654476165771484,True,True,0.002104335782586118,0.002104335782586118,29,29,False,0.0,0.0,False
45,5,5,-4.132044315338135,True,True,0.0014584922197096878,0.0014584922197096878,45,45,False,0.0,0.0,False
46,5,6,-3.414349317550659,True,True,0.0029894761567802954,0.0029894761567802954,22,22,False,0.0,0.0,False
47,5,7,-3.8274405002593994,True,True,0.0019778432650258766,0.0019778432650258766,32,32,False,0.0,0.0,False
48,6,0,-2.2317163944244385,True,True,0.009754523213624456,0.009754523213624456,11,11,False,0.0,0.0,False
49,6,1,-3.8301923274993896,True,True,0.001972408063849935,0.001972408063849935,33,33,False,0.0,0.0,False
50,6,2,-3.306433916091919,True,True,0.0033301374356613507,0.0033301374356613507,20,20,False,0.0,0.0,False
51,6,3,-3.515814781188965,True,True,0.002701028725837512,0.002701028725837512,23,23,False,0.0,0.0,False
52,6,4,-3.8343589305877686,True,True,0.0019642069196406653,0.0019642069196406653,34,34,False,0.0,0.0,False
53,6,5,-4.07588529586792,True,True,0.0015427433000302939,0.0015427433000302939,42,42,False,0.0,0.0,False
54,6,6,-4.000364780426025,True,True,0.0016637643416696226,0.0016637643416696226,39,39,False,0.0,0.0,False
55,6,7,-3.7500669956207275,True,True,0.0021369519591670867,0.0021369519591670867,28,28,False,0.0,0.0,False
56,7,0,-1.565419316291809,True,True,0.018992196322151707,0.018992196322151707,6,6,False,0.0,0.0,False
57,7,1,-0.6447763442993164,True,True,0.047687587642981144,0.047687587642981144,3,3,False,0.0,0.0,False
58,7,2,-2.4226059913635254,True,True,0.00805941924409054,0.00805941924409054,13,13,False,0.0,0.0,False
59,7,3,-3.0177252292633057,True,True,0.00444474394414396,0.00444474394414396,15,15,False,0.0,0.0,False
60,7,4,-3.1852660179138184,True,True,0.003759107165757648,0.003759107165757648,18,18,False,0.0,0.0,False
61,7,5,-3.093862771987915,True,True,0.004118894158551939,0.004118894158551939,16,16,False,0.0,0.0,False
62,7,6,-2.640061855316162,True,True,0.006484311447054481,0.006484311447054481,14,14,False,0.0,0.0,False
63,7,7,-3.163538932800293,True,True,0.0038416753418823633,0.0038416753418823633,17,17,False,0.0,0.0,False
