cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-2.109379291534424,True,True,0.07284424473696556,0.07284424473696556,1,1,False,0.0,0.0,True
1,0,1,-3.2687511444091797,True,True,0.022850012744679078,0.022850012744679078,11,11,False,0.0,0.0,False
2,0,2,-4.2398152351379395,True,True,0.00865283994469561,0.00865283994469561,41,41,False,0.0,0.0,False
3,0,3,-3.709683895111084,True,True,0.014702520245947297,0.014702520245947297,19,19,False,0.0,0.0,False
4,0,4,-4.753506660461426,True,True,0.005176846872413564,0.005176846872413564,56,56,False,0.0,0.0,False
5,0,5,-3.5381665229797363,True,True,0.017453431842841267,0.017453431842841267,16,16,False,0.0,0.0,False
6,0,6,-4.397364139556885,True,True,0.007391559047879277,0.007391559047879277,51,51,False,0.0,0.0,False
7,0,7,-4.516380786895752,True,True,0.006562174538847234,0.006562174538847234,55,55,False,0.0,0.0,False
8,1,0,-1.3384379148483276,False,False,0.0,0.0,,,True,0.0,0.0,False
9,1,1,-4.257918834686279,True,True,0.008497601819599514,0.008497601819599514,42,42,False,0.0,0.0,False
10,1,2,-3.950742721557617,True,True,0.011553172769991998,0.011553172769991998,29,29,False,0.0,0.0,False
11,1,3,-4.2086968421936035,True,True,0.008926335723014902,0.008926335723014902,39,39,False,0.0,0.0,False
12,1,4,-4.5030412673950195,True,True,0.006650297244622068,0.006650297244622068,54,54,False,0.0,0.0,False
13,1,5,-4.23435115814209,True,True,0.008700249134162423,0.008700249134162423,40,40,False,0.0,0.0,False
14,1,6,-3.7260522842407227,True,True,0.014463822551134634,0.014463822551134634,20,20,False,0.0,0.0,False
15,1,7,-4.259420871734619,True,True,0.008484847687831552,0.008484847687831552,43,43,False,0.0,0.0,False
16,2,0,-2.287491798400879,True,True,0.06095957997022063,0.06095957997022063,2,2,False,0.0,0.0,False
17,2,1,-4.165355205535889,True,True,0.009321724222188006,0.009321724222188006,37,37,False,0.0,0.0,False
18,2,2,-3.968263864517212,True,True,0.011352511023238173,0.011352511023238173,30,30,False,0.0,0.0,False
19,2,3,-4.327385425567627,True,True,0.0079273388078592,0.0079273388078592,48,48,False,0.0,0.0,False
20,2,4,-4.270668029785156,True,True,0.008389951919052768,0.008389951919052768,45,45,False,0.0,0.0,False
21,2,5,-4.153044700622559,True,True,0.009437188608270891,0.009437188608270891,36,36,False,0.0,0.0,False
22,2,6,-4.415903568267822,True,True,0.007255786229943315,0.007255786229943315,52,52,False,0.0,0.0,False
23,2,7,-4.288949012756348,True,True,0.008237968784077671,0.008237968784077671,47,47,False,0.0,0.0,False
24,3,0,-1.2806049585342407,False,False,0.0,0.0,,,True,0.0,0.0,False
25,3,1,-4.388781547546387,True,True,0.007455270798401047,0.007455270798401047,50,50,False,0.0,0.0,False
26,3,2,-4.004190921783447,True,True,0.010951888396771576,0.010951888396771576,31,31,False,0.0,0.0,False
27,3,3,0.7269948720932007,False,False,0.0,0.0,,,True,0.0,0.0,False
28,3,4,-1.1386311054229736,False,False,0.0,0.0,,,True,0.0,0.0,False
29,3,5,-4.424925327301025,True,True,0.007190620670961934,0.007190620670961934,53,53,False,0.0,0.0,False
30,3,6,-4.368154048919678,True,True,0.007610651434063457,0.007610651434063457,49,49,False,0.0,0.0,False
31,3,7,-3.9021222591400146,True,True,0.012128772959816542,0.012128772959816542,28,28,False,0.0,0.0,False
32,4,0,-2.2998294830322266,True,True,0.06021210046216573,0.06021210046216573,3,3,False,0.0,0.0,False
33,4,1,-3.836413860321045,True,True,0.012952501806555172,0.012952501806555172,24,24,False,0.0,0.0,False
34,4,2,-4.276727199554443,True,True,0.008339269477837776,0.008339269477837776,46,46,False,0.0,0.0,False
35,4,3,0.34398752450942993,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
36,4,4,1.3619227409362793,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
37,4,5,-3.817627191543579,True,True,0.01319813627003286,0.01319813627003286,22,22,False,0.0,0.0,False
38,4,6,-4.264371395111084,True,True,0.008442947051620643,0.008442947051620643,44,44,False,0.0,0.0,False
39,4,7,-4.031242847442627,True,True,0.010659590166300751,0.010659590166300751,33,33,False,0.0,0.0,False
40,5,0,-2.374077558517456,True,True,0.05590340334170082,0.05590340334170082,5,5,False,0.0,0.0,False
41,5,1,-3.6077160835266113,True,True,0.016280803851393546,0.016280803851393546,18,18,False,0.0,0.0,False
42,5,2,-4.067355632781982,True,True,0.010281510517381773,0.010281510517381773,34,34,False,0.0,0.0,False
43,5,3,-3.3952925205230713,True,True,0.02013400746313041,0.02013400746313041,14,14,False,0.0,0.0,False
44,5,4,-3.8293511867523193,True,True,0.013044304904765878,0.013044304904765878,23,23,False,0.0,0.0,False
45,5,5,-4.1722917556762695,True,True,0.009257287357864807,0.009257287357864807,38,38,False,0.0,0.0,False
46,5,6,-3.4664998054504395,True,True,0.018750173656486412,0.018750173656486412,15,15,False,0.0,0.0,False
47,5,7,-3.859698534011841,True,True,0.012654391201504897,0.012654391201504897,25,25,False,0.0,0.0,False
48,6,0,-2.3613076210021973,True,True,0.05662186389411365,0.05662186389411365,4,4,False,0.0,0.0,False
49,6,1,-3.8924925327301025,True,True,0.012246133895035023,0.012246133895035023,27,27,False,0.0,0.0,False
50,6,2,-3.383723258972168,True,True,0.020368295719354765,0.020368295719354765,13,13,False,0.0,0.0,False
51,6,3,-3.560724973678589,True,True,0.01706411713888534,0.01706411713888534,17,17,False,0.0,0.0,False
52,6,4,-3.8912878036499023,True,True,0.012260896059077101,0.012260896059077101,26,26,False,0.0,0.0,False
53,6,5,-4.11998176574707,True,True,0.009754425249221554,0.009754425249221554,35,35,False,0.0,0.0,False
54,6,6,-4.029902935028076,True,True,0.01067388265670291,0.01067388265670291,32,32,False,0.0,0.0,False
55,6,7,-3.777376413345337,True,True,0.013740207741627769,0.013740207741627769,21,21,False,0.0,0.0,False
56,7,0,-2.0768141746520996,False,False,0.0,0.0,,,True,0.0,0.0,False
57,7,1,-1.3275548219680786,False,False,0.0,0.0,,,True,0.0,0.0,False
58,7,2,-2.5120513439178467,True,True,0.04869865811418442,0.04869865811418442,6,6,False,0.0,0.0,False
59,7,3,-3.0930490493774414,True,True,0.02723910896269749,0.02723910896269749,8,8,False,0.0,0.0,False
60,7,4,-3.274355411529541,True,True,0.022722313334586595,0.022722313334586595,12,12,False,0.0,0.0,False
61,7,5,-3.195380210876465,True,True,0.024589575885141022,0.024589575885141022,9,9,False,0.0,0.0,False
62,7,6,-2.7302258014678955,True,True,0.039152998832529984,0.039152998832529984,7,7,False,0.0,0.0,False
63,7,7,-3.2352752685546875,True,True,0.023627884258609812,0.023627884258609812,10,10,False,0.0,0.0,False
