cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,8.764068603515625,True,True,0.011942849660503827,0.011942849660503827,25,25,False,0.0,0.0,False
1,0,1,7.042860507965088,True,True,0.002135978058851178,0.002135978058851178,53,53,False,0.0,0.0,False
2,0,2,7.844982147216797,True,True,0.00476380294945911,0.00476380294945911,42,42,False,0.0,0.0,False
3,0,3,9.055453300476074,True,True,0.015982868685749666,0.015982868685749666,19,19,False,0.0,0.0,False
4,0,4,7.9425153732299805,True,True,0.005251845371821502,0.005251845371821502,39,39,False,0.0,0.0,False
5,0,5,9.8687162399292,True,True,0.036045440583587496,0.036045440583587496,9,9,False,0.0,0.0,False
6,0,6,7.651107311248779,True,True,0.003924235096049705,0.003924235096049705,44,44,False,0.0,0.0,False
7,0,7,9.324235916137695,True,True,0.020911516943868932,0.020911516943868932,16,16,False,0.0,0.0,False
8,1,0,6.244185447692871,False,False,0.0,0.0,,,True,0.0,0.0,False
9,1,1,9.65634536743164,True,True,0.029148676493005867,0.029148676493005867,10,10,False,0.0,0.0,False
10,1,2,9.522272109985352,True,True,0.02549127536298085,0.02549127536298085,13,13,False,0.0,0.0,False
11,1,3,8.465253829956055,True,True,0.008857973120100808,0.008857973120100808,29,29,False,0.0,0.0,False
12,1,4,8.202788352966309,True,True,0.0068131358674370385,0.0068131358674370385,33,33,False,0.0,0.0,False
13,1,5,8.39083480834961,True,True,0.008222702689386147,0.008222702689386147,30,30,False,0.0,0.0,False
14,1,6,7.330810546875,True,True,0.002848734008028199,0.002848734008028199,49,49,False,0.0,0.0,False
15,1,7,9.97204875946045,True,True,0.03996934960321545,0.03996934960321545,7,7,False,0.0,0.0,False
16,2,0,8.157651901245117,True,True,0.0065124520367363286,0.0065124520367363286,35,35,False,0.0,0.0,False
17,2,1,10.31898021697998,True,True,0.0565454284240535,0.0565454284240535,5,5,False,0.0,0.0,False
18,2,2,9.54997730255127,True,True,0.02620739030122629,0.02620739030122629,12,12,False,0.0,0.0,False
19,2,3,8.770661354064941,True,True,0.012021846004632169,0.012021846004632169,24,24,False,0.0,0.0,False
20,2,4,7.861586570739746,True,True,0.004843563507720566,0.004843563507720566,41,41,False,0.0,0.0,False
21,2,5,10.38079833984375,True,True,0.06015126547486098,0.06015126547486098,4,4,False,0.0,0.0,False
22,2,6,7.825408458709717,True,True,0.004671464405480319,0.004671464405480319,43,43,False,0.0,0.0,False
23,2,7,8.047422409057617,True,True,0.005832738117552911,0.005832738117552911,37,37,False,0.0,0.0,False
24,3,0,4.536429405212402,False,False,0.0,0.0,,,True,0.0,0.0,False
25,3,1,8.390721321105957,True,True,0.008221769570472104,0.008221769570472104,31,31,False,0.0,0.0,False
26,3,2,7.2063374519348145,True,True,0.002515323926174016,0.002515323926174016,52,52,False,0.0,0.0,False
27,3,3,2.5519659519195557,False,False,0.0,0.0,,,True,0.0,0.0,False
