cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-1.5142866373062134,False,False,0.0,0.0,,,True,0.0,0.0,False
1,0,1,-3.1855554580688477,True,True,0.03777560048137932,0.03777560048137932,4,4,False,0.0,0.0,False
2,0,2,-4.156853675842285,True,True,0.014301510864189364,0.014301510864189364,34,34,False,0.0,0.0,False
3,0,3,-3.6256632804870605,True,True,0.02432623948291751,0.02432623948291751,12,12,False,0.0,0.0,False
4,0,4,-4.65900993347168,True,True,0.008655620934271776,0.008655620934271776,49,49,False,0.0,0.0,False
5,0,5,-3.447606086730957,True,True,0.029067269323383445,0.029067269323383445,9,9,False,0.0,0.0,False
6,0,6,-4.300241947174072,True,True,0.012391080697357258,0.012391080697357258,43,43,False,0.0,0.0,False
7,0,7,-4.4233622550964355,True,True,0.010955664268036321,0.010955664268036321,48,48,False,0.0,0.0,False
8,1,0,-1.247790813446045,False,False,0.0,0.0,,,True,0.0,0.0,False
9,1,1,-4.172977924346924,True,True,0.014072758931632876,0.014072758931632876,36,36,False,0.0,0.0,False
10,1,2,-3.8687987327575684,True,True,0.019075792629211042,0.019075792629211042,22,22,False,0.0,0.0,False
11,1,3,-4.121378421783447,True,True,0.014817967142419071,0.014817967142419071,32,32,False,0.0,0.0,False
12,1,4,-4.405953407287598,True,True,0.011148059591327118,0.011148059591327118,47,47,False,0.0,0.0,False
13,1,5,-4.146501064300537,True,True,0.014450337895619593,0.014450337895619593,33,33,False,0.0,0.0,False
14,1,6,-3.636396884918213,True,True,0.024066527566948177,0.024066527566948177,13,13,False,0.0,0.0,False
15,1,7,-4.169566631317139,True,True,0.014120847211059133,0.014120847211059133,35,35,False,0.0,0.0,False
16,2,0,-1.5061994791030884,False,False,0.0,0.0,,,True,0.0,0.0,False
17,2,1,-4.087632656097412,True,True,0.015326543679873688,0.015326543679873688,30,30,False,0.0,0.0,False
18,2,2,-3.889822244644165,True,True,0.018678938724465747,0.018678938724465747,23,23,False,0.0,0.0,False
19,2,3,-4.249411106109619,True,True,0.013037212342847462,0.013037212342847462,41,41,False,0.0,0.0,False
20,2,4,-4.1814351081848145,True,True,0.013954244876200844,0.013954244876200844,38,38,False,0.0,0.0,False
21,2,5,-4.072761058807373,True,True,0.015556177141296857,0.015556177141296857,29,29,False,0.0,0.0,False
22,2,6,-4.325904369354248,True,True,0.01207714100846945,0.01207714100846945,45,45,False,0.0,0.0,False
23,2,7,-4.197570323944092,True,True,0.013730896854238304,0.013730896854238304,40,40,False,0.0,0.0,False
24,3,0,-1.1938152313232422,False,False,0.0,0.0,,,True,0.0,0.0,False
25,3,1,-4.307973384857178,True,True,0.012295649215764398,0.012295649215764398,44,44,False,0.0,0.0,False
26,3,2,-3.9241769313812256,True,True,0.01804812734115632,0.01804812734115632,24,24,False,0.0,0.0,False
27,3,3,0.8593209385871887,False,False,0.0,0.0,,,True,0.0,0.0,False
28,3,4,-1.0181175470352173,False,False,0.0,0.0,,,True,0.0,0.0,False
29,3,5,-4.335582256317139,True,True,0.011960823564363263,0.011960823564363263,46,46,False,0.0,0.0,False
30,3,6,-4.276978492736816,True,True,0.012682719144966334,0.012682719144966334,42,42,False,0.0,0.0,False
31,3,7,-3.8083667755126953,True,True,0.020264125113431036,0.020264125113431036,19,19,False,0.0,0.0,False
32,4,0,-1.457624077796936,False,False,0.0,0.0,,,True,0.0,0.0,False
33,4,1,-3.7589046955108643,True,True,0.02129163274904444,0.02129163274904444,17,17,False,0.0,0.0,False
34,4,2,-4.195736408233643,True,True,0.013756101266017163,0.013756101266017163,39,39,False,0.0,0.0,False
35,4,3,0.4638359248638153,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
36,4,4,1.4789682626724243,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
37,4,5,-3.7320151329040527,True,True,0.021871922343160877,0.021871922343160877,15,15,False,0.0,0.0,False
38,4,6,-4.178902626037598,True,True,0.013989628537562077,0.013989628537562077,37,37,False,0.0,0.0,False
39,4,7,-3.9449462890625,True,True,0.017677145195041585,0.017677145195041585,26,26,False,0.0,0.0,False
40,5,0,-1.423181176185608,False,False,0.0,0.0,,,True,0.0,0.0,False
41,5,1,-3.5342416763305664,True,True,0.026655011615190495,0.026655011615190495,11,11,False,0.0,0.0,False
42,5,2,-3.9867312908172607,True,True,0.01695372496362643,0.01695372496362643,27,27,False,0.0,0.0,False
43,5,3,-3.315065622329712,True,True,0.033186834299729746,0.033186834299729746,7,7,False,0.0,0.0,False
44,5,4,-3.755176067352295,True,True,0.021371169519828283,0.021371169519828283,16,16,False,0.0,0.0,False
45,5,5,-4.0898871421813965,True,True,0.015292029121346732,0.015292029121346732,31,31,False,0.0,0.0,False
46,5,6,-3.388993501663208,True,True,0.030821896437917735,0.030821896437917735,8,8,False,0.0,0.0,False
47,5,7,-3.7737109661102295,True,True,0.020978705433105583,0.020978705433105583,18,18,False,0.0,0.0,False
48,6,0,-2.0663084983825684,False,False,0.0,0.0,,,True,0.0,0.0,False
49,6,1,-3.8147690296173096,True,True,0.0201348034520445,0.0201348034520445,20,20,False,0.0,0.0,False
50,6,2,-3.310828447341919,True,True,0.03332775105759869,0.03332775105759869,6,6,False,0.0,0.0,False
51,6,3,-3.480257034301758,True,True,0.0281335222529562,0.0281335222529562,10,10,False,0.0,0.0,False
52,6,4,-3.8151967525482178,True,True,0.020126193176436158,0.020126193176436158,21,21,False,0.0,0.0,False
53,6,5,-4.037084579467773,True,True,0.016121185602203478,0.016121185602203478,28,28,False,0.0,0.0,False
54,6,6,-3.9444661140441895,True,True,0.017685635356777946,0.017685635356777946,25,25,False,0.0,0.0,False
55,6,7,-3.692394495010376,True,True,0.02275589806396871,0.02275589806396871,14,14,False,0.0,0.0,False
56,7,0,-1.994537115097046,False,False,0.0,0.0,,,True,0.0,0.0,False
57,7,1,-1.2317709922790527,False,False,0.0,0.0,,,True,0.0,0.0,False
58,7,2,-2.501722574234009,False,False,0.0,0.0,,,True,0.0,0.0,False
59,7,3,-3.0142431259155273,True,True,0.04483440154847406,0.04483440154847406,1,1,False,0.0,0.0,True
60,7,4,-3.2007896900177,True,True,0.037204479561444,0.037204479561444,5,5,False,0.0,0.0,False
61,7,5,-3.125607967376709,True,True,0.04010940698632911,0.04010940698632911,2,2,False,0.0,0.0,False
62,7,6,-2.627241611480713,False,False,0.0,0.0,,,True,0.0,0.0,False
63,7,7,-3.156660556793213,True,True,0.038883045433370414,0.038883045433370414,3,3,False,0.0,0.0,False
