cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,6.648274898529053,False,False,0.0,0.0,,,True,0.0,0.0,False
1,0,1,6.660351276397705,True,True,0.002574214901931561,0.002574214901931561,46,46,False,0.0,0.0,False
2,0,2,7.446875095367432,True,True,0.005652333191378537,0.005652333191378537,36,36,False,0.0,0.0,False
3,0,3,8.642294883728027,True,True,0.018680649509332552,0.018680649509332552,18,18,False,0.0,0.0,False
4,0,4,7.53529167175293,True,True,0.006174852468748658,0.006174852468748658,34,34,False,0.0,0.0,False
5,0,5,9.457107543945312,True,True,0.04219496337941677,0.04219496337941677,8,8,False,0.0,0.0,False
6,0,6,7.24071741104126,True,True,0.004599330409816462,0.004599330409816462,39,39,False,0.0,0.0,False
7,0,7,8.919068336486816,True,True,0.024637302476609328,0.024637302476609328,14,14,False,0.0,0.0,False
8,1,0,5.862493515014648,False,False,0.0,0.0,,,True,0.0,0.0,False
9,1,1,9.240903854370117,True,True,0.0339910472289016,0.0339910472289016,9,9,False,0.0,0.0,False
10,1,2,9.103835105895996,True,True,0.02963714356021607,0.02963714356021607,12,12,False,0.0,0.0,False
11,1,3,8.04782485961914,True,True,0.010309009054192195,0.010309009054192195,26,26,False,0.0,0.0,False
12,1,4,7.790017127990723,True,True,0.007966222748456802,0.007966222748456802,30,30,False,0.0,0.0,False
13,1,5,7.9801716804504395,True,True,0.009634640595759178,0.009634640595759178,28,28,False,0.0,0.0,False
14,1,6,6.928150653839111,True,True,0.0033647173838950786,0.0033647173838950786,43,43,False,0.0,0.0,False
15,1,7,9.557572364807129,True,True,0.04665432728156322,0.04665432728156322,6,6,False,0.0,0.0,False
16,2,0,5.1482672691345215,False,False,0.0,0.0,,,True,0.0,0.0,False
17,2,1,9.915172576904297,True,True,0.06671073574584213,0.06671073574584213,4,4,False,0.0,0.0,False
18,2,2,9.140344619750977,True,True,0.030739176191814592,0.030739176191814592,11,11,False,0.0,0.0,False
19,2,3,8.35879898071289,True,True,0.01406926033649154,0.01406926033649154,22,22,False,0.0,0.0,False
20,2,4,7.443817615509033,True,True,0.005635077689110554,0.005635077689110554,37,37,False,0.0,0.0,False
21,2,5,9.973527908325195,True,True,0.07071949143810559,0.07071949143810559,3,3,False,0.0,0.0,False
22,2,6,7.416940689086914,True,True,0.005485641311517829,0.005485641311517829,38,38,False,0.0,0.0,False
23,2,7,7.628053665161133,True,True,0.0067750516065263194,0.0067750516065263194,32,32,False,0.0,0.0,False
24,3,0,4.107903957366943,False,False,0.0,0.0,,,True,0.0,0.0,False
25,3,1,7.987907886505127,True,True,0.009709465216833657,0.009709465216833657,27,27,False,0.0,0.0,False
