cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,8.37962818145752,True,True,0.013777560813588286,0.013777560813588286,23,23,False,0.0,0.0,False
1,0,1,6.701854228973389,True,True,0.0025735011533121544,0.0025735011533121544,54,54,False,0.0,0.0,False
2,0,2,7.4681782722473145,True,True,0.0055377668926814855,0.0055377668926814855,43,43,False,0.0,0.0,False
3,0,3,8.6828031539917,True,True,0.01865690303027609,0.01865690303027609,17,17,False,0.0,0.0,False
4,0,4,7.597816467285156,True,True,0.006304284783429439,0.006304284783429439,39,39,False,0.0,0.0,False
5,0,5,9.477445602416992,True,True,0.041299841480020076,0.041299841480020076,7,7,False,0.0,0.0,False
6,0,6,7.3052287101745605,True,True,0.004705075263775359,0.004705075263775359,45,45,False,0.0,0.0,False
7,0,7,8.942888259887695,True,True,0.024198758233338835,0.024198758233338835,14,14,False,0.0,0.0,False
8,1,0,8.369543075561523,True,True,0.013639310957786047,0.013639310957786047,24,24,False,0.0,0.0,False
9,1,1,9.277799606323242,True,True,0.03382542252941406,0.03382542252941406,8,8,False,0.0,0.0,False
10,1,2,9.157800674438477,True,True,0.03000049056589419,0.03000049056589419,11,11,False,0.0,0.0,False
11,1,3,8.106803894042969,True,True,0.010487844850779433,0.010487844850779433,28,28,False,0.0,0.0,False
12,1,4,7.850124359130859,True,True,0.008113565536410728,0.008113565536410728,32,32,False,0.0,0.0,False
13,1,5,8.018621444702148,True,True,0.00960260584654678,0.00960260584654678,30,30,False,0.0,0.0,False
14,1,6,7.0250725746154785,True,True,0.003555464208954499,0.003555464208954499,49,49,False,0.0,0.0,False
15,1,7,9.62411117553711,True,True,0.04782383879905326,0.04782383879905326,5,5,False,0.0,0.0,False
16,2,0,7.820910930633545,True,True,0.007879969158136038,0.007879969158136038,35,35,False,0.0,0.0,False
17,2,1,9.94567584991455,True,True,0.06596266559703383,0.06596266559703383,3,3,False,0.0,0.0,False
18,2,2,9.169595718383789,True,True,0.030356442779748354,0.030356442779748354,10,10,False,0.0,0.0,False
19,2,3,8.415986061096191,True,True,0.0142877013303203,0.0142877013303203,22,22,False,0.0,0.0,False
20,2,4,7.53862190246582,True,True,0.005941935735905394,0.005941935735905394,41,41,False,0.0,0.0,False
21,2,5,10.017085075378418,True,True,0.0708452651484422,0.0708452651484422,2,2,False,0.0,0.0,False
22,2,6,7.4842376708984375,True,True,0.005627418043859813,0.005627418043859813,42,42,False,0.0,0.0,False
23,2,7,7.723011016845703,True,True,0.007145080487094431,0.007145080487094431,37,37,False,0.0,0.0,False
24,3,0,6.696734428405762,True,True,0.0025603590119253014,0.0025603590119253014,55,55,False,0.0,0.0,False
25,3,1,8.045930862426758,True,True,0.009868461073790254,0.009868461073790254,29,29,False,0.0,0.0,False
26,3,2,6.908359050750732,True,True,0.0031637945369284,0.0031637945369284,52,52,False,0.0,0.0,False
27,3,3,4.119578838348389,True,True,0.00019456127978859992,0.00019456127978859992,62,62,False,0.0,0.0,False
28,3,4,6.114714622497559,True,True,0.0014306482765429707,0.0014306482765429707,58,58,False,0.0,0.0,False
29,3,5,6.992146015167236,True,True,0.003440301367755424,0.003440301367755424,50,50,False,0.0,0.0,False
30,3,6,6.664115905761719,True,True,0.002478191263983512,0.002478191263983512,56,56,False,0.0,0.0,False
31,3,7,8.490264892578125,True,True,0.015389384474081644,0.015389384474081644,20,20,False,0.0,0.0,False
32,4,0,7.836459636688232,True,True,0.008003449978041803,0.008003449978041803,33,33,False,0.0,0.0,False
33,4,1,8.769207954406738,True,True,0.020340643223470654,0.020340643223470654,15,15,False,0.0,0.0,False
34,4,2,7.7847723960876465,True,True,0.0076002827866827535,0.0076002827866827535,36,36,False,0.0,0.0,False
35,4,3,4.800379753112793,True,True,0.00038434788438439596,0.00038434788438439596,60,60,False,1.0,0.6666666865348816,False
36,4,4,5.946489334106445,True,True,0.0012091315726669922,0.0012091315726669922,59,59,False,1.0,0.6666666865348816,False
