cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-1.9953826665878296,True,True,0.0059285684788355185,0.0059285684788355185,9,9,False,0.0,0.0,False
1,0,1,-3.1424529552459717,True,True,0.0018827104965123869,0.0018827104965123869,14,14,False,0.0,0.0,False
2,0,2,-4.1107611656188965,True,True,0.0007149120731999327,0.0007149120731999327,29,29,False,0.0,0.0,False
3,0,3,-3.582648754119873,True,True,0.0012122967405333238,0.0012122967405333238,17,17,False,0.0,0.0,False
4,0,4,-4.600980758666992,True,True,0.00043787784007553445,0.00043787784007553445,37,37,False,0.0,0.0,False
5,0,5,-1.6641827821731567,False,False,0.0,0.0,,,True,0.0,0.0,False
6,0,6,-4.243056297302246,True,True,0.0006263218829108141,0.0006263218829108141,33,33,False,0.0,0.0,False
7,0,7,-2.2708282470703125,False,False,0.0,0.0,,,True,0.0,0.0,False
8,1,0,-1.581407904624939,True,True,0.008968850716384863,0.008968850716384863,8,8,False,0.0,0.0,False
9,1,1,-2.095261335372925,False,False,0.0,0.0,,,True,0.0,0.0,False
10,1,2,-1.7871780395507812,False,False,0.0,0.0,,,True,0.0,0.0,False
11,1,3,-4.075797080993652,True,True,0.0007403504426235518,0.0007403504426235518,27,27,False,0.0,0.0,False
12,1,4,-4.351068019866943,True,True,0.0005621972159171539,0.0005621972159171539,36,36,False,0.0,0.0,False
13,1,5,-4.096908092498779,True,True,0.0007248847188339509,0.0007248847188339509,28,28,False,0.0,0.0,False
14,1,6,-3.594043016433716,True,True,0.001198561911191833,0.001198561911191833,18,18,False,0.0,0.0,False
15,1,7,-2.260624647140503,False,False,0.0,0.0,,,True,0.0,0.0,False
16,2,0,-2.178920269012451,False,False,0.0,0.0,,,False,0.0,0.0,False
17,2,1,-1.9221172332763672,False,False,0.0,0.0,,,True,0.0,0.0,False
18,2,2,-1.8505171537399292,False,False,0.0,0.0,,,True,0.0,0.0,False
19,2,3,-4.20029878616333,False,False,0.0,0.0,,,False,0.0,0.0,False
20,2,4,-4.136455535888672,False,False,0.0,0.0,,,False,0.0,0.0,False
21,2,5,-2.0006773471832275,False,False,0.0,0.0,,,True,0.0,0.0,False
22,2,6,-4.275796890258789,False,False,0.0,0.0,,,False,0.0,0.0,False
23,2,7,-4.1471333503723145,False,False,0.0,0.0,,,False,0.0,0.0,False
24,3,0,-1.3282384872436523,True,True,0.011552789927688299,0.011552789927688299,6,6,False,0.0,0.0,False
25,3,1,-4.258297443389893,True,True,0.0006168483963759058,0.0006168483963759058,34,34,False,0.0,0.0,False
26,3,2,-3.883350133895874,True,True,0.0008974618318840983,0.0008974618318840983,23,23,False,0.0,0.0,False
27,3,3,1.7707602977752686,True,True,0.256191636624798,0.256191636624798,2,2,False,0.0,0.0,False
28,3,4,-1.2343566417694092,True,True,0.012689930506292557,0.012689930506292557,5,5,False,0.0,0.0,False
29,3,5,-4.287365436553955,True,True,0.0005991759470658584,0.0005991759470658584,35,35,False,0.0,0.0,False
30,3,6,-4.225131988525391,True,True,0.0006376494861863431,0.0006376494861863431,32,32,False,0.0,0.0,False
31,3,7,-3.7579314708709717,True,True,0.001017383338121422,0.001017383338121422,21,21,False,0.0,0.0,False
32,4,0,-2.1968324184417725,True,True,0.004846869481344917,0.004846869481344917,10,10,False,0.0,0.0,False
33,4,1,-3.7165563106536865,True,True,0.0010603607035096186,0.0010603607035096186,20,20,False,0.0,0.0,False
34,4,2,-4.148508071899414,True,True,0.0006884293195587171,0.0006884293195587171,31,31,False,0.0,0.0,False
35,4,3,1.3714615106582642,True,True,0.1718508514476533,0.1718508514476533,3,3,False,1.0,0.6666666865348816,False
36,4,4,2.3602044582366943,True,True,0.4619099254246302,0.4619099254246302,1,1,False,1.0,0.6666666865348816,True
37,4,5,-3.689298152923584,True,True,0.0010896617143888374,0.0010896617143888374,19,19,False,0.0,0.0,False
38,4,6,-4.130452632904053,True,True,0.0007009721051479969,0.0007009721051479969,30,30,False,0.0,0.0,False
39,4,7,-3.901581287384033,True,True,0.000881248312138957,0.000881248312138957,24,24,False,0.0,0.0,False
40,5,0,-2.2748591899871826,False,False,0.0,0.0,,,False,0.0,0.0,False
41,5,1,-1.7881090641021729,False,False,0.0,0.0,,,True,0.0,0.0,False
42,5,2,-3.9425771236419678,False,False,0.0,0.0,,,False,0.0,0.0,False
43,5,3,-3.276146650314331,False,False,0.0,0.0,,,False,0.0,0.0,False
44,5,4,-3.7159371376037598,False,False,0.0,0.0,,,False,0.0,0.0,False
45,5,5,-4.045362949371338,False,False,0.0,0.0,,,False,0.0,0.0,False
46,5,6,-3.352177619934082,False,False,0.0,0.0,,,False,0.0,0.0,False
47,5,7,-3.73262619972229,False,False,0.0,0.0,,,False,0.0,0.0,False
48,6,0,-2.2652394771575928,True,True,0.004526395693134579,0.004526395693134579,11,11,False,0.0,0.0,False
49,6,1,-3.7768776416778564,True,True,0.0009982892705140748,0.0009982892705140748,22,22,False,0.0,0.0,False
50,6,2,-3.2757227420806885,True,True,0.001647802702794942,0.001647802702794942,15,15,False,0.0,0.0,False
51,6,3,-3.4449148178100586,True,True,0.001391316789680109,0.001391316789680109,16,16,False,0.0,0.0,False
52,6,4,-2.7443959712982178,False,False,0.0,0.0,,,True,0.0,0.0,False
53,6,5,-3.994428873062134,True,True,0.0008031101303261856,0.0008031101303261856,26,26,False,0.0,0.0,False
54,6,6,-3.902409553527832,True,True,0.0008805187061933945,0.0008805187061933945,25,25,False,0.0,0.0,False
55,6,7,-2.069298028945923,False,False,0.0,0.0,,,True,0.0,0.0,False
56,7,0,-1.580742359161377,True,True,0.008974821881112906,0.008974821881112906,7,7,False,0.0,0.0,False
57,7,1,-0.5815980434417725,True,True,0.02437522880670157,0.02437522880670157,4,4,False,0.0,0.0,False
58,7,2,-2.400059223175049,True,True,0.003955496869495389,0.003955496869495389,12,12,False,0.0,0.0,False
59,7,3,-2.9784278869628906,True,True,0.0022182920662426916,0.0022182920662426916,13,13,False,0.0,0.0,False
60,7,4,-2.9711337089538574,False,False,0.0,0.0,,,True,0.0,0.0,False
61,7,5,-2.991081953048706,False,False,0.0,0.0,,,True,0.0,0.0,False
62,7,6,-2.6152219772338867,False,False,0.0,0.0,,,True,0.0,0.0,False
63,7,7,-2.518120050430298,False,False,0.0,0.0,,,True,0.0,0.0,False
