cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,8.528468132019043,True,True,0.05252201808369494,0.05252201808369494,4,4,False,0.0,0.0,False
1,0,1,6.8060431480407715,True,True,0.009382136320166398,0.009382136320166398,29,29,False,0.0,0.0,False
2,0,2,7.599099159240723,True,True,0.020735837861692332,0.020735837861692332,20,20,False,0.0,0.0,False
3,0,3,8.787606239318848,True,True,0.06805870088139894,0.06805870088139894,3,3,False,0.0,0.0,False
4,0,4,7.659917831420898,True,True,0.022036103427069666,0.022036103427069666,19,19,False,0.0,0.0,False
5,0,5,8.07034969329834,False,False,0.0,0.0,,,True,0.0,0.0,False
6,0,6,7.366153717041016,True,True,0.016426864251292337,0.016426864251292337,22,22,False,0.0,0.0,False
7,0,7,5.575658321380615,False,False,0.0,0.0,,,True,0.0,0.0,False
8,1,0,8.429925918579102,True,True,0.04759321743902166,0.04759321743902166,8,8,False,0.0,0.0,False
9,1,1,6.156240463256836,False,False,0.0,0.0,,,True,0.0,0.0,False
10,1,2,6.066258430480957,False,False,0.0,0.0,,,True,0.0,0.0,False
11,1,3,8.180807113647461,True,True,0.03709831146022325,0.03709831146022325,11,11,False,0.0,0.0,False
12,1,4,7.915040016174316,True,True,0.02844022049526233,0.02844022049526233,15,15,False,0.0,0.0,False
13,1,5,8.115091323852539,True,True,0.034738746074278536,0.034738746074278536,13,13,False,0.0,0.0,False
14,1,6,7.0657854080200195,True,True,0.012164839100851844,0.012164839100851844,24,24,False,0.0,0.0,False
15,1,7,5.975446701049805,False,False,0.0,0.0,,,True,0.0,0.0,False
16,2,0,7.905317306518555,False,False,0.0,0.0,,,False,0.0,0.0,False
17,2,1,6.121024131774902,False,False,0.0,0.0,,,True,0.0,0.0,False
18,2,2,6.337812423706055,False,False,0.0,0.0,,,True,0.0,0.0,False
19,2,3,8.492481231689453,False,False,0.0,0.0,,,False,0.0,0.0,False
