cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,4.957427501678467,True,True,0.0036709556365815883,0.0036709556365815883,49,49,False,0.0,0.0,False
1,0,1,5.834888935089111,True,True,0.008827867268714323,0.008827867268714323,26,26,False,0.0,0.0,False
2,0,2,6.525343894958496,True,True,0.017608265331061315,0.017608265331061315,12,12,False,0.0,0.0,False
3,0,3,5.834137439727783,True,True,0.00882123565953533,0.00882123565953533,27,27,False,0.0,0.0,False
4,0,4,6.552929878234863,True,True,0.018100768504200407,0.018100768504200407,10,10,False,0.0,0.0,False
5,0,5,5.266234874725342,True,True,0.004999107480780595,0.004999107480780595,40,40,False,0.0,0.0,False
6,0,6,6.275579929351807,True,True,0.01371656802811217,0.01371656802811217,17,17,False,0.0,0.0,False
7,0,7,5.77103853225708,True,True,0.008281822477769889,0.008281822477769889,30,30,False,0.0,0.0,False
8,1,0,6.982690811157227,True,True,0.02781889118903735,0.02781889118903735,6,6,False,0.0,0.0,False
9,1,1,5.736011505126953,True,True,0.007996756508718804,0.007996756508718804,31,31,False,0.0,0.0,False
10,1,2,5.394724369049072,True,True,0.005684532483561061,0.005684532483561061,38,38,False,0.0,0.0,False
11,1,3,5.728659152984619,True,True,0.007938177150789611,0.007938177150789611,32,32,False,0.0,0.0,False
12,1,4,6.900664806365967,True,True,0.025628097912482873,0.025628097912482873,8,8,False,0.0,0.0,False
13,1,5,6.485548496246338,True,True,0.016921297136908993,0.016921297136908993,13,13,False,0.0,0.0,False
14,1,6,5.928739070892334,True,True,0.009696486358676159,0.009696486358676159,21,21,False,0.0,0.0,False
15,1,7,6.466552734375,True,True,0.016602897898181732,0.016602897898181732,15,15,False,0.0,0.0,False
16,2,0,6.630965232849121,True,True,0.01956984284124708,0.01956984284124708,9,9,False,0.0,0.0,False
17,2,1,5.877002239227295,True,True,0.009207577231189274,0.009207577231189274,25,25,False,0.0,0.0,False
18,2,2,5.043386936187744,True,True,0.0040004683994187065,0.0040004683994187065,48,48,False,0.0,0.0,False
19,2,3,4.9245805740356445,True,True,0.0035523348515870893,0.0035523348515870893,50,50,False,0.0,0.0,False
20,2,4,5.792545795440674,True,True,0.008461871049190458,0.008461871049190458,28,28,False,0.0,0.0,False
21,2,5,5.898357391357422,True,True,0.009406320992429537,0.009406320992429537,23,23,False,0.0,0.0,False
22,2,6,5.883383274078369,True,True,0.009266518957001719,0.009266518957001719,24,24,False,0.0,0.0,False
23,2,7,6.952508449554443,True,True,0.026991795986651572,0.026991795986651572,7,7,False,0.0,0.0,False
24,3,0,5.550915241241455,True,True,0.006645498838987224,0.006645498838987224,36,36,False,0.0,0.0,False
25,3,1,5.054227828979492,True,True,0.004044072977681324,0.004044072977681324,47,47,False,0.0,0.0,False
26,3,2,5.154597282409668,True,True,0.004471043382721368,0.004471043382721368,43,43,False,0.0,0.0,False
