cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-1.0141016244888306,True,True,0.03951812597108269,0.03951812597108269,2,2,False,0.0,0.0,False
1,0,1,-2.5024311542510986,True,True,0.008921195142776612,0.008921195142776612,32,32,False,0.0,0.0,False
2,0,2,-3.470960855484009,True,True,0.0033868497802773466,0.0033868497802773466,59,59,False,0.0,0.0,False
3,0,3,-3.0755701065063477,True,True,0.005029351100765951,0.005029351100765951,54,54,False,0.0,0.0,False
4,0,4,-2.3913562297821045,True,True,0.009969244927994463,0.009969244927994463,30,30,False,0.0,0.0,False
5,0,5,-2.984332799911499,True,True,0.005509799733916327,0.005509799733916327,51,51,False,0.0,0.0,False
6,0,6,-3.2427895069122314,True,True,0.004254901317254807,0.004254901317254807,58,58,False,0.0,0.0,False
7,0,7,-2.349982261657715,True,True,0.010390363757308837,0.010390363757308837,27,27,False,0.0,0.0,False
8,1,0,-1.8953254222869873,True,True,0.01637139581177075,0.01637139581177075,11,11,False,0.0,0.0,False
9,1,1,-2.664883613586426,True,True,0.007583519932409258,0.007583519932409258,38,38,False,0.0,0.0,False
10,1,2,-3.5729105472564697,True,True,0.0030585793064869414,0.0030585793064869414,61,61,False,0.0,0.0,False
11,1,3,-2.719681739807129,True,True,0.007179138118702741,0.007179138118702741,44,44,False,0.0,0.0,False
12,1,4,-2.5141868591308594,True,True,0.008816934236431893,0.008816934236431893,33,33,False,0.0,0.0,False
13,1,5,-2.9115071296691895,True,True,0.005926026653214011,0.005926026653214011,49,49,False,0.0,0.0,False
14,1,6,-3.863123893737793,True,True,0.0022881352459124754,0.0022881352459124754,62,62,False,0.0,0.0,False
15,1,7,-2.381802558898926,True,True,0.010064944224890723,0.010064944224890723,29,29,False,0.0,0.0,False
16,2,0,-1.923722505569458,True,True,0.015913034780868668,0.015913034780868668,13,13,False,0.0,0.0,False
17,2,1,-2.9888269901275635,True,True,0.0054850932053638005,0.0054850932053638005,52,52,False,0.0,0.0,False
18,2,2,-2.5952975749969482,True,True,0.008130020958576975,0.008130020958576975,35,35,False,0.0,0.0,False
19,2,3,-1.83894681930542,True,True,0.017320906795785716,0.017320906795785716,10,10,False,0.0,0.0,False
20,2,4,-2.668828010559082,True,True,0.007553666435073756,0.007553666435073756,40,40,False,0.0,0.0,False
21,2,5,-3.0111429691314697,True,True,0.005364043673507424,0.005364043673507424,53,53,False,0.0,0.0,False
22,2,6,-2.1429760456085205,True,True,0.012780045777098598,0.012780045777098598,19,19,False,0.0,0.0,False
23,2,7,1.0510090589523315,True,True,0.31164668785798477,0.31164668785798477,1,1,False,0.0,0.0,True
24,3,0,-2.084256649017334,True,True,0.013552952597555705,0.013552952597555705,17,17,False,0.0,0.0,False
25,3,1,-2.25258731842041,True,True,0.011453252583216897,0.011453252583216897,25,25,False,0.0,0.0,False
26,3,2,-2.7694785594940186,True,True,0.006830395081898699,0.006830395081898699,46,46,False,0.0,0.0,False
27,3,3,-1.6778013706207275,True,True,0.020349568461961988,0.020349568461961988,9,9,False,1.0,0.6666666865348816,False
