cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,2.488468885421753,False,False,0.0,0.0,,,True,0.0,0.0,False
1,0,1,5.821972370147705,True,True,0.014486096709111404,0.014486096709111404,22,22,False,0.0,0.0,False
2,0,2,6.488250255584717,True,True,0.028204096327282217,0.028204096327282217,10,10,False,0.0,0.0,False
3,0,3,5.808870792388916,True,True,0.014297543853708797,0.014297543853708797,23,23,False,0.0,0.0,False
4,0,4,6.519193649291992,True,True,0.02909046976155613,0.02909046976155613,8,8,False,0.0,0.0,False
5,0,5,5.239858150482178,True,True,0.008093612109778832,0.008093612109778832,36,36,False,0.0,0.0,False
6,0,6,6.227125644683838,True,True,0.021722370243107858,0.021722370243107858,15,15,False,0.0,0.0,False
7,0,7,5.752025604248047,True,True,0.01350746608480143,0.01350746608480143,25,25,False,0.0,0.0,False
8,1,0,6.914514064788818,True,True,0.043195271637831156,0.043195271637831156,5,5,False,0.0,0.0,False
9,1,1,5.719983100891113,True,True,0.013081513790275579,0.013081513790275579,27,27,False,0.0,0.0,False
10,1,2,5.348935127258301,True,True,0.009026386298468365,0.009026386298468365,34,34,False,0.0,0.0,False
11,1,3,5.69966983795166,True,True,0.012818466282617926,0.012818466282617926,28,28,False,0.0,0.0,False
12,1,4,6.847822189331055,True,True,0.040408459676271095,0.040408459676271095,6,6,False,0.0,0.0,False
13,1,5,6.435351371765137,True,True,0.02675090603960888,0.02675090603960888,11,11,False,0.0,0.0,False
14,1,6,5.856504440307617,True,True,0.014995068973402545,0.014995068973402545,21,21,False,0.0,0.0,False
15,1,7,6.4184184074401855,True,True,0.026301747427401254,0.026301747427401254,13,13,False,0.0,0.0,False
16,2,0,6.59814453125,True,True,0.031480285819036044,0.031480285819036044,7,7,False,0.0,0.0,False
17,2,1,5.863940715789795,True,True,0.015106992066879382,0.015106992066879382,19,19,False,0.0,0.0,False
18,2,2,5.028776168823242,True,True,0.006553459908356617,0.006553459908356617,43,43,False,0.0,0.0,False
19,2,3,4.901853084564209,True,True,0.005772296776714706,0.005772296776714706,44,44,False,0.0,0.0,False
20,2,4,5.774059772491455,True,True,0.013808395049676299,0.013808395049676299,24,24,False,0.0,0.0,False
21,2,5,5.864810943603516,True,True,0.015120144313453017,0.015120144313453017,18,18,False,0.0,0.0,False
22,2,6,5.857619762420654,True,True,0.015011802635392077,0.015011802635392077,20,20,False,0.0,0.0,False
23,2,7,5.474362373352051,False,False,0.0,0.0,,,True,0.0,0.0,False
24,3,0,5.506889820098877,True,True,0.010570919543951776,0.010570919543951776,32,32,False,0.0,0.0,False
25,3,1,5.044590950012207,True,True,0.006657925314318807,0.006657925314318807,42,42,False,0.0,0.0,False
