cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-0.7115781903266907,False,False,0.0,0.0,,,True,0.0,0.0,False
1,0,1,-2.3996896743774414,True,True,0.021875164455326106,0.021875164455326106,19,19,False,0.0,0.0,False
2,0,2,-3.3604142665863037,True,True,0.008369777975829563,0.008369777975829563,46,46,False,0.0,0.0,False
3,0,3,-2.9742236137390137,True,True,0.01231499974432964,0.01231499974432964,42,42,False,0.0,0.0,False
4,0,4,-2.2767231464385986,True,True,0.02473745466073947,0.02473745466073947,16,16,False,0.0,0.0,False
5,0,5,-2.87949538230896,True,True,0.013538618648684586,0.013538618648684586,38,38,False,0.0,0.0,False
6,0,6,-3.12695574760437,True,True,0.010570698457643385,0.010570698457643385,45,45,False,0.0,0.0,False
7,0,7,-2.2299726009368896,True,True,0.025921403661206096,0.025921403661206096,14,14,False,0.0,0.0,False
8,1,0,-1.0657035112380981,False,False,0.0,0.0,,,True,0.0,0.0,False
9,1,1,-2.5664563179016113,True,True,0.018515075768782877,0.018515075768782877,27,27,False,0.0,0.0,False
10,1,2,-3.4573380947113037,True,True,0.007596620898785805,0.007596620898785805,48,48,False,0.0,0.0,False
11,1,3,-2.619664430618286,True,True,0.0175556738495287,0.0175556738495287,31,31,False,0.0,0.0,False
12,1,4,-2.4153337478637695,True,True,0.02153561070208228,0.02153561070208228,20,20,False,0.0,0.0,False
13,1,5,-2.8109471797943115,True,True,0.014499214053583051,0.014499214053583051,36,36,False,0.0,0.0,False
14,1,6,-3.739816904067993,True,True,0.005727188347352188,0.005727188347352188,49,49,False,0.0,0.0,False
15,1,7,-2.253572463989258,True,True,0.0253168241415749,0.0253168241415749,15,15,False,0.0,0.0,False
16,2,0,-1.2617017030715942,False,False,0.0,0.0,,,True,0.0,0.0,False
17,2,1,-2.885835886001587,True,True,0.0134530485525785,0.0134530485525785,39,39,False,0.0,0.0,False
18,2,2,-2.494997262954712,True,True,0.019886564671743184,0.019886564671743184,22,22,False,0.0,0.0,False
19,2,3,-1.6329396963119507,False,False,0.0,0.0,,,True,0.0,0.0,False
20,2,4,-2.5603761672973633,True,True,0.018627993147377217,0.018627993147377217,25,25,False,0.0,0.0,False
21,2,5,-2.8968160152435303,True,True,0.013306140352260543,0.013306140352260543,40,40,False,0.0,0.0,False
22,2,6,-2.034358263015747,True,True,0.03152192582193462,0.03152192582193462,6,6,False,0.0,0.0,False
23,2,7,0.40036964416503906,False,False,0.0,0.0,,,True,0.0,0.0,False
24,3,0,-1.9925533533096313,True,True,0.03286762961824989,0.03286762961824989,4,4,False,0.0,0.0,False
25,3,1,-2.15021014213562,True,True,0.02807365192113465,0.02807365192113465,11,11,False,0.0,0.0,False
26,3,2,-2.6714937686920166,True,True,0.016668952475042798,0.016668952475042798,33,33,False,0.0,0.0,False
27,3,3,-1.6701356172561646,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
28,3,4,0.7640933990478516,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
29,3,5,-2.562629222869873,True,True,0.01858607048838626,0.01858607048838626,26,26,False,1.0,0.6666666865348816,False
30,3,6,-1.394568920135498,False,False,0.0,0.0,,,True,0.0,0.0,False
31,3,7,0.3602268695831299,False,False,0.0,0.0,,,True,0.0,0.0,False
32,4,0,-1.2496981620788574,False,False,0.0,0.0,,,True,0.0,0.0,False
33,4,1,-2.7525272369384766,True,True,0.015371488350104816,0.015371488350104816,35,35,False,0.0,0.0,False
34,4,2,-2.4515671730041504,True,True,0.020769269192543374,0.020769269192543374,21,21,False,0.0,0.0,False
35,4,3,-1.541552186012268,False,False,0.0,0.0,,,True,0.0,0.0,False
36,4,4,-2.133272409439087,True,True,0.028553205745687364,0.028553205745687364,10,10,False,0.0,0.0,False
37,4,5,-2.642899751663208,True,True,0.01715246461965206,0.01715246461965206,32,32,False,0.0,0.0,False
38,4,6,-1.9090118408203125,True,True,0.03573139748819101,0.03573139748819101,2,2,False,0.0,0.0,False
39,4,7,-1.221256136894226,False,False,0.0,0.0,,,True,0.0,0.0,False
40,5,0,-1.8712549209594727,True,True,0.03710629766502374,0.03710629766502374,1,1,False,0.0,0.0,True
41,5,1,-2.0867347717285156,True,True,0.029913409341486338,0.029913409341486338,8,8,False,0.0,0.0,False
42,5,2,-2.1250574588775635,True,True,0.02878873502539107,0.02878873502539107,9,9,False,0.0,0.0,False
43,5,3,-2.1521058082580566,True,True,0.028020484060432626,0.028020484060432626,12,12,False,0.0,0.0,False
44,5,4,-2.0051629543304443,True,True,0.032455783983840074,0.032455783983840074,5,5,False,0.0,0.0,False
45,5,5,-2.605438470840454,True,True,0.01780720505396734,0.01780720505396734,30,30,False,0.0,0.0,False
46,5,6,-1.944597601890564,True,True,0.034482226682185625,0.034482226682185625,3,3,False,0.0,0.0,False
47,5,7,-2.3696303367614746,True,True,0.022542699984359024,0.022542699984359024,18,18,False,0.0,0.0,False
48,6,0,-1.0005100965499878,False,False,0.0,0.0,,,True,0.0,0.0,False
49,6,1,-2.579623222351074,True,True,0.018272887469312025,0.018272887469312025,28,28,False,0.0,0.0,False
50,6,2,-2.829294443130493,True,True,0.014235618676367964,0.014235618676367964,37,37,False,0.0,0.0,False
51,6,3,-2.1647071838378906,True,True,0.027669602852957748,0.027669602852957748,13,13,False,0.0,0.0,False
52,6,4,-1.3232637643814087,False,False,0.0,0.0,,,True,1.0,0.0,False
53,6,5,-2.0829174518585205,True,True,0.03002781661900388,0.03002781661900388,7,7,False,1.0,0.0,False
54,6,6,-2.996516227722168,True,True,0.012043503631329514,0.012043503631329514,43,43,False,1.0,0.0,False
55,6,7,-1.0609737634658813,False,False,0.0,0.0,,,True,0.0,0.0,False
56,7,0,-2.279343366622925,True,True,0.024672721926772112,0.024672721926772112,17,17,False,0.0,0.0,False
57,7,1,-3.411942958831787,True,True,0.007949417580903277,0.007949417580903277,47,47,False,0.0,0.0,False
58,7,2,-2.5049495697021484,True,True,0.019689629087161237,0.019689629087161237,23,23,False,0.0,0.0,False
59,7,3,-2.7282121181488037,True,True,0.015749828973728893,0.015749828973728893,34,34,False,0.0,0.0,False
60,7,4,-3.1224453449249268,True,True,0.010618484249861204,0.010618484249861204,44,44,False,0.0,0.0,False
61,7,5,-2.587911367416382,True,True,0.01812206500979013,0.01812206500979013,29,29,False,0.0,0.0,False
62,7,6,-2.553239583969116,True,True,0.01876140887268474,0.01876140887268474,24,24,False,0.0,0.0,False
63,7,7,-2.9652469158172607,True,True,0.012426045443106569,0.012426045443106569,41,41,False,0.0,0.0,False
