cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,2.2762997150421143,False,False,0.0,0.0,,,True,0.0,0.0,False
1,0,1,5.723434925079346,True,True,0.01659001229859774,0.01659001229859774,19,19,False,0.0,0.0,False
2,0,2,6.388801574707031,True,True,0.03227095162702548,0.03227095162702548,8,8,False,0.0,0.0,False
3,0,3,5.708210468292236,True,True,0.016339351303587237,0.016339351303587237,20,20,False,0.0,0.0,False
4,0,4,6.420958995819092,True,True,0.033325568202859486,0.033325568202859486,6,6,False,0.0,0.0,False
5,0,5,5.139349937438965,True,True,0.009250853873269143,0.009250853873269143,33,33,False,0.0,0.0,False
6,0,6,6.123555660247803,True,True,0.02475237838339415,0.02475237838339415,12,12,False,0.0,0.0,False
7,0,7,5.651108741760254,True,True,0.015432484365697684,0.015432484365697684,22,22,False,0.0,0.0,False
8,1,0,3.8702735900878906,False,False,0.0,0.0,,,True,0.0,0.0,False
9,1,1,5.621108055114746,True,True,0.014976375240784186,0.014976375240784186,24,24,False,0.0,0.0,False
10,1,2,5.242514133453369,True,True,0.01025617593009972,0.01025617593009972,32,32,False,0.0,0.0,False
11,1,3,5.597655773162842,True,True,0.014629231631796236,0.014629231631796236,25,25,False,0.0,0.0,False
12,1,4,6.748000621795654,True,True,0.046217871035574135,0.046217871035574135,5,5,False,0.0,0.0,False
13,1,5,6.334076404571533,True,True,0.030552371975828413,0.030552371975828413,9,9,False,0.0,0.0,False
14,1,6,5.747237205505371,True,True,0.016989629456731898,0.016989629456731898,18,18,False,0.0,0.0,False
15,1,7,6.315572738647461,True,True,0.02999223932699397,0.02999223932699397,11,11,False,0.0,0.0,False
16,2,0,4.200754642486572,False,False,0.0,0.0,,,True,0.0,0.0,False
17,2,1,5.763694763183594,True,True,0.017271550768372702,0.017271550768372702,15,15,False,0.0,0.0,False
18,2,2,4.928889274597168,True,True,0.007495142882229233,0.007495142882229233,38,38,False,0.0,0.0,False
19,2,3,3.4660022258758545,False,False,0.0,0.0,,,True,0.0,0.0,False
20,2,4,5.672876834869385,True,True,0.01577210313821942,0.01577210313821942,21,21,False,0.0,0.0,False
21,2,5,5.762807369232178,True,True,0.01725623089707516,0.01725623089707516,16,16,False,0.0,0.0,False
22,2,6,5.75736665725708,True,True,0.017162599656262417,0.017162599656262417,17,17,False,0.0,0.0,False
23,2,7,5.331905364990234,False,False,0.0,0.0,,,True,0.0,0.0,False
24,3,0,5.4000701904296875,True,True,0.01200635521535577,0.01200635521535577,29,29,False,0.0,0.0,False
25,3,1,4.945254802703857,True,True,0.007618814065615162,0.007618814065615162,37,37,False,0.0,0.0,False
26,3,2,5.020296096801758,True,True,0.008212538052211903,0.008212538052211903,35,35,False,0.0,0.0,False
27,3,3,2.5166704654693604,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
28,3,4,7.953613758087158,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
29,3,5,5.643233776092529,True,True,0.015311431350909926,0.015311431350909926,23,23,False,1.0,0.6666666865348816,False
30,3,6,5.0488715171813965,False,False,0.0,0.0,,,True,0.0,0.0,False
31,3,7,7.845274925231934,False,False,0.0,0.0,,,True,0.0,0.0,False
32,4,0,2.4171080589294434,False,False,0.0,0.0,,,True,0.0,0.0,False
33,4,1,5.438806533813477,True,True,0.012480562752372257,0.012480562752372257,28,28,False,0.0,0.0,False
34,4,2,4.461819171905518,True,True,0.004698226477798747,0.004698226477798747,45,45,False,0.0,0.0,False
35,4,3,3.65846586227417,False,False,0.0,0.0,,,True,0.0,0.0,False
36,4,4,6.330777645111084,True,True,0.030451753099711706,0.030451753099711706,10,10,False,0.0,0.0,False
37,4,5,4.6102471351623535,True,True,0.005449986085818403,0.005449986085818403,42,42,False,0.0,0.0,False
38,4,6,4.563239097595215,True,True,0.00519972124824562,0.00519972124824562,43,43,False,0.0,0.0,False
39,4,7,2.7099084854125977,False,False,0.0,0.0,,,True,0.0,0.0,False
40,5,0,5.454747200012207,True,True,0.012681105382187311,0.012681105382187311,27,27,False,0.0,0.0,False
41,5,1,5.24507999420166,True,True,0.01028252563973275,0.01028252563973275,31,31,False,0.0,0.0,False
42,5,2,4.661896705627441,True,True,0.005738871717279308,0.005738871717279308,41,41,False,0.0,0.0,False
43,5,3,4.7059102058410645,True,True,0.00599710064311852,0.00599710064311852,40,40,False,0.0,0.0,False
44,5,4,5.399230003356934,True,True,0.01199627186745538,0.01199627186745538,30,30,False,0.0,0.0,False
45,5,5,4.196254253387451,True,True,0.003602471630224656,0.003602471630224656,48,48,False,0.0,0.0,False
46,5,6,4.99850606918335,True,True,0.008035522215175367,0.008035522215175367,36,36,False,0.0,0.0,False
47,5,7,4.081182479858398,True,True,0.0032108907803338484,0.0032108907803338484,49,49,False,0.0,0.0,False
