cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-1.0588796138763428,True,True,0.01984654120844606,0.01984654120844606,3,3,False,0.0,0.0,False
1,0,1,-2.540260076522827,True,True,0.004511588383071424,0.004511588383071424,33,33,False,0.0,0.0,False
2,0,2,-3.50950026512146,True,True,0.001711566604817223,0.001711566604817223,60,60,False,0.0,0.0,False
3,0,3,-3.116504192352295,True,True,0.002535536285282252,0.002535536285282252,55,55,False,0.0,0.0,False
4,0,4,-2.430093765258789,True,True,0.005037024819267539,0.005037024819267539,31,31,False,0.0,0.0,False
5,0,5,-3.026242256164551,True,True,0.00277504538837672,0.00277504538837672,53,53,False,0.0,0.0,False
6,0,6,-3.281820774078369,True,True,0.0021491847524474,0.0021491847524474,59,59,False,0.0,0.0,False
7,0,7,-2.3893802165985107,True,True,0.005246331879580413,0.005246331879580413,28,28,False,0.0,0.0,False
8,1,0,-1.9377973079681396,True,True,0.008240920521308037,0.008240920521308037,12,12,False,0.0,0.0,False
9,1,1,-2.702224016189575,True,True,0.0038369790191364215,0.0038369790191364215,39,39,False,0.0,0.0,False
10,1,2,-3.609607696533203,True,True,0.0015485231385360336,0.0015485231385360336,62,62,False,0.0,0.0,False
11,1,3,-2.7598822116851807,True,True,0.003622002855059202,0.003622002855059202,45,45,False,0.0,0.0,False
12,1,4,-2.5552854537963867,True,True,0.004444306796917675,0.004444306796917675,34,34,False,0.0,0.0,False
13,1,5,-2.953415632247925,True,True,0.0029846835479962067,0.0029846835479962067,50,50,False,0.0,0.0,False
14,1,6,-3.905229091644287,True,True,0.0011522081915265156,0.0011522081915265156,63,63,False,0.0,0.0,False
15,1,7,-2.4187395572662354,True,True,0.005094542160741048,0.005094542160741048,29,29,False,0.0,0.0,False
16,2,0,-1.9654021263122559,True,True,0.008016542611353785,0.008016542611353785,14,14,False,0.0,0.0,False
17,2,1,-3.0260977745056152,True,True,0.0027754463605039158,0.0027754463605039158,52,52,False,0.0,0.0,False
18,2,2,-2.6333980560302734,True,True,0.00411036282569909,0.00411036282569909,36,36,False,0.0,0.0,False
