cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,5.032485008239746,True,True,0.0037499883631996085,0.0037499883631996085,49,49,False,0.0,0.0,False
1,0,1,5.957366943359375,True,True,0.009455860158960317,0.009455860158960317,26,26,False,0.0,0.0,False
2,0,2,6.671793460845947,True,True,0.01931846142907372,0.01931846142907372,12,12,False,0.0,0.0,False
3,0,3,5.951669216156006,True,True,0.00940213644417785,0.00940213644417785,27,27,False,0.0,0.0,False
4,0,4,6.694529056549072,True,True,0.019762709139827445,0.019762709139827445,10,10,False,0.0,0.0,False
5,0,5,5.350812911987305,True,True,0.005155585244847575,0.005155585244847575,40,40,False,0.0,0.0,False
6,0,6,6.402549743652344,True,True,0.014758474678148052,0.014758474678148052,17,17,False,0.0,0.0,False
7,0,7,5.883338928222656,True,True,0.008781143662161815,0.008781143662161815,30,30,False,0.0,0.0,False
8,1,0,7.140329360961914,True,True,0.03086420473361344,0.03086420473361344,6,6,False,0.0,0.0,False
9,1,1,5.8546013832092285,True,True,0.00853238660384124,0.00853238660384124,31,31,False,0.0,0.0,False
10,1,2,5.485627174377441,True,True,0.005899661066870454,0.005899661066870454,38,38,False,0.0,0.0,False
11,1,3,5.843202590942383,True,True,0.008435679918222963,0.008435679918222963,32,32,False,0.0,0.0,False
12,1,4,7.046380519866943,True,True,0.028096590893336312,0.028096590893336312,8,8,False,0.0,0.0,False
13,1,5,6.619030952453613,True,True,0.018325594349345598,0.018325594349345598,13,13,False,0.0,0.0,False
14,1,6,6.030925750732422,True,True,0.010177643279124952,0.010177643279124952,21,21,False,0.0,0.0,False
15,1,7,6.595146179199219,True,True,0.017893077528398416,0.017893077528398416,15,15,False,0.0,0.0,False
16,2,0,6.78129768371582,True,True,0.021554086175913017,0.021554086175913017,9,9,False,0.0,0.0,False
17,2,1,5.995495319366455,True,True,0.009823358283413089,0.009823358283413089,23,23,False,0.0,0.0,False
18,2,2,5.126918315887451,True,True,0.0041213716984956515,0.0041213716984956515,48,48,False,0.0,0.0,False
19,2,3,4.988175392150879,True,True,0.003587455298794852,0.003587455298794852,50,50,False,0.0,0.0,False
20,2,4,5.909966945648193,True,True,0.009018109066518457,0.009018109066518457,28,28,False,0.0,0.0,False
21,2,5,6.010528564453125,True,True,0.009972150851402283,0.009972150851402283,22,22,False,0.0,0.0,False
22,2,6,5.991639614105225,True,True,0.009785555234736744,0.009785555234736744,25,25,False,0.0,0.0,False
23,2,7,7.088042736053467,True,True,0.02929188351900102,0.02929188351900102,7,7,False,0.0,0.0,False
24,3,0,5.649335861206055,True,True,0.006949040481273167,0.006949040481273167,36,36,False,0.0,0.0,False
25,3,1,5.144979000091553,True,True,0.0041964827278365875,0.0041964827278365875,47,47,False,0.0,0.0,False
26,3,2,5.234864234924316,True,True,0.004591156547726559,0.004591156547726559,43,43,False,0.0,0.0,False
27,3,3,4.63295841217041,True,True,0.0025148826458204414,0.0025148826458204414,59,59,False,1.0,0.6666666865348816,False
28,3,4,9.240263938903809,True,True,0.2520258514817096,0.2520258514817096,1,1,False,1.0,0.6666666865348816,True
29,3,5,5.888214111328125,True,True,0.008824057867698595,0.008824057867698595,29,29,False,1.0,0.6666666865348816,False
30,3,6,6.1986212730407715,True,True,0.012035841641752396,0.012035841641752396,19,19,False,0.0,0.0,False
31,3,7,8.254826545715332,False,False,0.0,0.0,,,True,0.0,0.0,False
32,4,0,5.225724697113037,True,True,0.004549386668314013,0.004549386668314013,44,44,False,0.0,0.0,False
33,4,1,5.670494556427002,True,True,0.00709763964932101,0.00709763964932101,35,35,False,0.0,0.0,False
34,4,2,4.658202648162842,True,True,0.002579177054052367,0.002579177054052367,58,58,False,0.0,0.0,False
