cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-1.0140938758850098,True,True,0.039518137454985516,0.039518137454985516,2,2,False,0.0,0.0,False
1,0,1,-2.5024256706237793,True,True,0.008921177528980992,0.008921177528980992,32,32,False,0.0,0.0,False
2,0,2,-3.4709646701812744,True,True,0.0033868116015416607,0.0033868116015416607,59,59,False,0.0,0.0,False
3,0,3,-3.075568199157715,True,True,0.005029323184641217,0.005029323184641217,54,54,False,0.0,0.0,False
4,0,4,-2.3913493156433105,True,True,0.009969239506055567,0.009969239506055567,30,30,False,0.0,0.0,False
5,0,5,-2.984328269958496,True,True,0.005509783600957093,0.005509783600957093,51,51,False,0.0,0.0,False
6,0,6,-3.2427890300750732,True,True,0.004254871613176131,0.004254871613176131,58,58,False,0.0,0.0,False
7,0,7,-2.34997296333313,True,True,0.010390382878911182,0.010390382878911182,27,27,False,0.0,0.0,False
8,1,0,-1.895319938659668,True,True,0.01637136348847603,0.01637136348847603,11,11,False,0.0,0.0,False
9,1,1,-2.66487979888916,True,True,0.007583492303358996,0.007583492303358996,38,38,False,0.0,0.0,False
10,1,2,-3.5729150772094727,True,True,0.0030585426405849215,0.0030585426405849215,61,61,False,0.0,0.0,False
11,1,3,-2.7196755409240723,True,True,0.0071791290792945234,0.0071791290792945234,44,44,False,0.0,0.0,False
12,1,4,-2.514179229736328,True,True,0.008816935747557864,0.008816935747557864,33,33,False,0.0,0.0,False
13,1,5,-2.911501884460449,True,True,0.005926013540135959,0.005926013540135959,49,49,False,0.0,0.0,False
14,1,6,-3.8631319999694824,True,True,0.002288099633109937,0.002288099633109937,62,62,False,0.0,0.0,False
15,1,7,-2.3817944526672363,True,True,0.010064950749253308,0.010064950749253308,29,29,False,0.0,0.0,False
16,2,0,-1.923714280128479,True,True,0.01591304699310087,0.01591304699310087,13,13,False,0.0,0.0,False
17,2,1,-2.9888243675231934,True,True,0.005485066682802057,0.005485066682802057,52,52,False,0.0,0.0,False
18,2,2,-2.595289468765259,True,True,0.008130026228671212,0.008130026228671212,35,35,False,0.0,0.0,False
19,2,3,-1.8389365673065186,True,True,0.017320955190352667,0.017320955190352667,10,10,False,0.0,0.0,False
20,2,4,-2.66882061958313,True,True,0.007553665928754949,0.007553665928754949,40,40,False,0.0,0.0,False
21,2,5,-3.0111382007598877,True,True,0.00536402924621304,0.00536402924621304,53,53,False,0.0,0.0,False
22,2,6,-2.1429643630981445,True,True,0.012780099766578375,0.012780099766578375,19,19,False,0.0,0.0,False
23,2,7,1.051012635231018,True,True,0.311645478133029,0.311645478133029,1,1,False,0.0,0.0,True
24,3,0,-2.0842502117156982,True,True,0.013552938764011715,0.013552938764011715,17,17,False,0.0,0.0,False
25,3,1,-2.2525789737701416,True,True,0.011453262738187918,0.011453262738187918,25,25,False,0.0,0.0,False
26,3,2,-2.769473075866699,True,True,0.006830381596129018,0.006830381596129018,46,46,False,0.0,0.0,False
27,3,3,-1.6777888536453247,True,True,0.02034967141007684,0.02034967141007684,9,9,False,1.0,0.6666666865348816,False
28,3,4,0.6252225637435913,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
29,3,5,-2.6684792041778564,True,True,0.007556245306963988,0.007556245306963988,39,39,False,1.0,0.6666666865348816,False
30,3,6,-1.524957299232483,True,True,0.023709986228496193,0.023709986228496193,6,6,False,0.0,0.0,False
31,3,7,0.2015295773744583,False,False,0.0,0.0,,,True,0.0,0.0,False
32,4,0,-1.91006338596344,True,True,0.016131763756720898,0.016131763756720898,12,12,False,0.0,0.0,False
33,4,1,-2.8544435501098633,True,True,0.006273974644309173,0.006273974644309173,48,48,False,0.0,0.0,False
34,4,2,-2.554065465927124,True,True,0.008472182524872213,0.008472182524872213,34,34,False,0.0,0.0,False
35,4,3,-1.3818591833114624,True,True,0.027357601793525765,0.027357601793525765,5,5,False,0.0,0.0,False
36,4,4,-2.2348451614379883,True,True,0.011658184400908652,0.011658184400908652,23,23,False,0.0,0.0,False
37,4,5,-2.747532844543457,True,True,0.006981897820939196,0.006981897820939196,45,45,False,0.0,0.0,False
38,4,6,-2.02167010307312,True,True,0.014428183992283584,0.014428183992283584,15,15,False,0.0,0.0,False
