cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,5.010265350341797,True,True,0.005190206043731521,0.005190206043731521,48,48,False,0.0,0.0,False
1,0,1,5.900673866271973,True,True,0.012643988849356401,0.012643988849356401,25,25,False,0.0,0.0,False
2,0,2,6.601917743682861,True,True,0.025493557925407632,0.025493557925407632,11,11,False,0.0,0.0,False
3,0,3,5.896559238433838,True,True,0.012592070426594501,0.012592070426594501,26,26,False,0.0,0.0,False
4,0,4,6.633029460906982,True,True,0.026299173349082144,0.026299173349082144,9,9,False,0.0,0.0,False
5,0,5,5.314716339111328,True,True,0.007037298672914672,0.007037298672914672,39,39,False,0.0,0.0,False
6,0,6,6.340331554412842,True,True,0.019625693499568785,0.019625693499568785,16,16,False,0.0,0.0,False
7,0,7,5.8327717781066895,True,True,0.011813935677795515,0.011813935677795515,29,29,False,0.0,0.0,False
8,1,0,7.072747707366943,True,True,0.04082341253846494,0.04082341253846494,5,5,False,0.0,0.0,False
9,1,1,5.796202659606934,True,True,0.011389714437335496,0.011389714437335496,30,30,False,0.0,0.0,False
10,1,2,5.440647602081299,True,True,0.007981733738040873,0.007981733738040873,37,37,False,0.0,0.0,False
11,1,3,5.788589000701904,True,True,0.011303326318728572,0.011303326318728572,31,31,False,0.0,0.0,False
12,1,4,6.981700420379639,True,True,0.03727073620446547,0.03727073620446547,7,7,False,0.0,0.0,False
13,1,5,6.55419921875,True,True,0.024305611872502398,0.024305611872502398,12,12,False,0.0,0.0,False
14,1,6,5.975208282470703,True,True,0.013622411333949482,0.013622411333949482,20,20,False,0.0,0.0,False
15,1,7,6.537106990814209,True,True,0.023893705044920364,0.023893705044920364,14,14,False,0.0,0.0,False
16,2,0,6.722047328948975,True,True,0.02874763132454927,0.02874763132454927,8,8,False,0.0,0.0,False
17,2,1,5.942129611968994,True,True,0.013179171387369303,0.013179171387369303,24,24,False,0.0,0.0,False
18,2,2,5.090456008911133,True,True,0.005623555162521075,0.005623555162521075,47,47,False,0.0,0.0,False
19,2,3,4.967121124267578,True,True,0.004971040480727656,0.004971040480727656,49,49,False,0.0,0.0,False
20,2,4,5.85305118560791,True,True,0.012055961064880953,0.012055961064880953,27,27,False,0.0,0.0,False
21,2,5,5.954638481140137,True,True,0.013345063315136619,0.013345063315136619,22,22,False,0.0,0.0,False
22,2,6,5.942293167114258,True,True,0.013181327084942929,0.013181327084942929,23,23,False,0.0,0.0,False
23,2,7,7.032745838165283,True,True,0.039222630322041416,0.039222630322041416,6,6,False,0.0,0.0,False
24,3,0,5.609209060668945,True,True,0.009447187771107549,0.009447187771107549,35,35,False,0.0,0.0,False
25,3,1,5.104547500610352,True,True,0.0057033604103335035,0.0057033604103335035,46,46,False,0.0,0.0,False
26,3,2,5.199272155761719,True,True,0.006270024122653822,0.006270024122653822,42,42,False,0.0,0.0,False
27,3,3,4.6136250495910645,True,True,0.003490807538296362,0.003490807538296362,58,58,False,1.0,0.6666666865348816,False
28,3,4,8.415864944458008,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
29,3,5,5.842312812805176,True,True,0.011927192281458648,0.011927192281458648,28,28,False,1.0,0.6666666865348816,False
30,3,6,6.145990371704102,True,True,0.01615934334851082,0.01615934334851082,18,18,False,0.0,0.0,False
31,3,7,8.200439453125,False,False,0.0,0.0,,,True,0.0,0.0,False
32,4,0,5.197781562805176,True,True,0.006260685030980559,0.006260685030980559,43,43,False,0.0,0.0,False
