cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-0.9071357846260071,True,True,0.0675205783339996,0.0675205783339996,1,1,False,0.0,0.0,True
1,0,1,-2.3945252895355225,True,True,0.015257068604531077,0.015257068604531077,27,27,False,0.0,0.0,False
2,0,2,-1.8626779317855835,False,False,0.0,0.0,,,True,0.0,0.0,False
3,0,3,-2.97076416015625,True,True,0.00857459738783705,0.00857459738783705,44,44,False,0.0,0.0,False
4,0,4,-1.4336222410202026,False,False,0.0,0.0,,,True,0.0,0.0,False
5,0,5,-2.876757860183716,True,True,0.009419766871809968,0.009419766871809968,41,41,False,0.0,0.0,False
6,0,6,-3.1228668689727783,True,True,0.007364722207476557,0.007364722207476557,46,46,False,0.0,0.0,False
7,0,7,-2.225123882293701,True,True,0.018073455555641618,0.018073455555641618,23,23,False,0.0,0.0,False
8,1,0,-1.0705642700195312,False,False,0.0,0.0,,,True,0.0,0.0,False
9,1,1,-2.562509536743164,True,True,0.012897824626040177,0.012897824626040177,32,32,False,0.0,0.0,False
10,1,2,-3.4536337852478027,True,True,0.0052906145704058735,0.0052906145704058735,48,48,False,0.0,0.0,False
11,1,3,-2.615797281265259,True,True,0.012228519883938157,0.012228519883938157,36,36,False,0.0,0.0,False
12,1,4,-1.7731046676635742,False,False,0.0,0.0,,,True,0.0,0.0,False
13,1,5,-1.8765970468521118,False,False,0.0,0.0,,,True,0.0,0.0,False
14,1,6,-3.7384016513824463,True,True,0.003979541250135028,0.003979541250135028,49,49,False,0.0,0.0,False
15,1,7,-2.2486698627471924,True,True,0.017652869313487148,0.017652869313487148,24,24,False,0.0,0.0,False
16,2,0,-1.26229727268219,False,False,0.0,0.0,,,True,0.0,0.0,False
17,2,1,-2.8825480937957764,True,True,0.009365381824063093,0.009365381824063093,42,42,False,0.0,0.0,False
18,2,2,-2.4901845455169678,True,True,0.013865221504371963,0.013865221504371963,29,29,False,0.0,0.0,False
19,2,3,-1.7258607149124146,True,True,0.02977614249154085,0.02977614249154085,9,9,False,0.0,0.0,False
20,2,4,-2.5572996139526367,True,True,0.012965196645626268,0.012965196645626268,30,30,False,0.0,0.0,False
21,2,5,-2.8927173614501953,True,True,0.009270625368083757,0.009270625368083757,43,43,False,0.0,0.0,False
22,2,6,-2.0320048332214355,True,True,0.02192359309093657,0.02192359309093657,16,16,False,0.0,0.0,False
