cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,5.341939926147461,True,True,0.005878782323205392,0.005878782323205392,46,46,False,0.0,0.0,False
1,0,1,5.339416980743408,True,True,0.005863969170606723,0.005863969170606723,47,47,False,0.0,0.0,False
2,0,2,5.296029567718506,True,True,0.005614987118953653,0.005614987118953653,48,48,False,0.0,0.0,False
3,0,3,6.061400890350342,True,True,0.012071057157026823,0.012071057157026823,32,32,False,0.0,0.0,False
4,0,4,6.005553722381592,True,True,0.011415401459219703,0.011415401459219703,33,33,False,0.0,0.0,False
5,0,5,5.424911022186279,True,True,0.006387358154896687,0.006387358154896687,45,45,False,0.0,0.0,False
6,0,6,5.8907790184021,True,True,0.010177595093246632,0.010177595093246632,34,34,False,0.0,0.0,False
7,0,7,5.289940357208252,True,True,0.0055809001670113064,0.0055809001670113064,49,49,False,0.0,0.0,False
8,1,0,4.149856090545654,True,True,0.0017847276328899957,0.0017847276328899957,61,61,False,0.0,0.0,False
9,1,1,4.839491844177246,True,True,0.0035569433646096254,0.0035569433646096254,55,55,False,0.0,0.0,False
10,1,2,3.993468761444092,True,True,0.0015263488148039065,0.0015263488148039065,62,62,False,0.0,0.0,False
11,1,3,6.482351779937744,True,True,0.018389162680961094,0.018389162680961094,23,23,False,0.0,0.0,False
12,1,4,5.47089958190918,True,True,0.006687962765024511,0.006687962765024511,43,43,False,0.0,0.0,False
13,1,5,4.932206153869629,True,True,0.003902494173140062,0.003902494173140062,53,53,False,0.0,0.0,False
14,1,6,7.534116744995117,True,True,0.0526426417733788,0.0526426417733788,1,1,False,0.0,0.0,True
15,1,7,6.314091205596924,True,True,0.01554129899758363,0.01554129899758363,27,27,False,0.0,0.0,False
16,2,0,3.9817521572113037,True,True,0.00150856954951968,0.00150856954951968,63,63,False,0.0,0.0,False
17,2,1,5.218417644500732,True,True,0.005195679271832253,0.005195679271832253,50,50,False,0.0,0.0,False
18,2,2,6.1273579597473145,True,True,0.012894072197396626,0.012894072197396626,30,30,False,0.0,0.0,False
19,2,3,6.9468674659729,True,True,0.029261632660153178,0.029261632660153178,10,10,False,0.0,0.0,False
20,2,4,7.071047782897949,True,True,0.03313060605307461,0.03313060605307461,8,8,False,0.0,0.0,False
21,2,5,7.1564812660217285,True,True,0.036085495303390926,0.036085495303390926,6,6,False,0.0,0.0,False
22,2,6,7.198385715484619,True,True,0.037629768098556296,0.037629768098556296,5,5,False,0.0,0.0,False
23,2,7,4.848889350891113,True,True,0.0035905273193210063,0.0035905273193210063,54,54,False,0.0,0.0,False
24,3,0,5.820837497711182,True,True,0.009490081723643679,0.009490081723643679,36,36,False,0.0,0.0,False
25,3,1,6.547142505645752,True,True,0.019620054503174375,0.019620054503174375,22,22,False,0.0,0.0,False
26,3,2,6.694293975830078,True,True,0.022730410607357098,0.022730410607357098,17,17,False,0.0,0.0,False
27,3,3,5.802084445953369,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
28,3,4,4.673798084259033,True,True,0.003013818292870039,0.003013818292870039,58,58,False,0.0,0.0,False
29,3,5,5.75518798828125,True,True,0.008887072695531538,0.008887072695531538,38,38,False,0.0,0.0,False
30,3,6,6.846813201904297,True,True,0.02647558343187348,0.02647558343187348,14,14,False,0.0,0.0,False
31,3,7,4.78066873550415,True,True,0.0033537477837542965,0.0033537477837542965,56,56,False,0.0,0.0,False
32,4,0,4.6983466148376465,True,True,0.0030887186893274144,0.0030887186893274144,57,57,False,0.0,0.0,False
33,4,1,5.717703342437744,True,True,0.008560110242478365,0.008560110242478365,40,40,False,0.0,0.0,False
34,4,2,6.224093914031982,True,True,0.014203716283307206,0.014203716283307206,29,29,False,0.0,0.0,False
