cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-1.4897388219833374,True,True,0.0492217459571236,0.0492217459571236,1,1,False,0.0,0.0,True
1,0,1,-2.048929214477539,True,True,0.028138679495833936,0.028138679495833936,8,8,False,0.0,0.0,False
2,0,2,-3.725390672683716,True,True,0.005262907686607743,0.005262907686607743,60,60,False,0.0,0.0,False
3,0,3,-3.3111307621002197,True,True,0.00796409708596176,0.00796409708596176,51,51,False,0.0,0.0,False
4,0,4,-2.80444598197937,True,True,0.013218645315910228,0.013218645315910228,31,31,False,0.0,0.0,False
5,0,5,-2.8918182849884033,True,True,0.012112718955105468,0.012112718955105468,36,36,False,0.0,0.0,False
6,0,6,-3.138369083404541,True,True,0.009465988867443419,0.009465988867443419,49,49,False,0.0,0.0,False
7,0,7,-2.5091168880462646,True,True,0.01776015474747042,0.01776015474747042,16,16,False,0.0,0.0,False
8,1,0,-2.832051992416382,True,True,0.012858722134492892,0.012858722134492892,33,33,False,0.0,0.0,False
9,1,1,-3.669743299484253,True,True,0.005564076590574824,0.005564076590574824,58,58,False,0.0,0.0,False
10,1,2,-3.874840021133423,True,True,0.004532321667992263,0.004532321667992263,62,62,False,0.0,0.0,False
11,1,3,-3.7367618083953857,True,True,0.005203401417190153,0.005203401417190153,61,61,False,0.0,0.0,False
12,1,4,-3.7003836631774902,True,True,0.0053961766534044425,0.0053961766534044425,59,59,False,0.0,0.0,False
13,1,5,-2.7702314853668213,True,True,0.013678740694533668,0.013678740694533668,29,29,False,0.0,0.0,False
14,1,6,-3.0243492126464844,True,True,0.010609237948822896,0.010609237948822896,46,46,False,0.0,0.0,False
15,1,7,-2.9762461185455322,True,True,0.011132048720658505,0.011132048720658505,41,41,False,0.0,0.0,False
16,2,0,-2.1651155948638916,True,True,0.025052127247040458,0.025052127247040458,10,10,False,0.0,0.0,False
17,2,1,-3.618529796600342,True,True,0.005856455412893878,0.005856455412893878,57,57,False,0.0,0.0,False
18,2,2,-2.5421502590179443,True,True,0.017183061117432095,0.017183061117432095,17,17,False,0.0,0.0,False
19,2,3,-1.7727893590927124,True,True,0.03708768521993048,0.03708768521993048,6,6,False,0.0,0.0,False
20,2,4,-3.378535032272339,True,True,0.007444974987987429,0.007444974987987429,53,53,False,0.0,0.0,False
21,2,5,-2.9953882694244385,True,True,0.010920983926383207,0.010920983926383207,43,43,False,0.0,0.0,False
22,2,6,-2.9575273990631104,True,True,0.011342388925842635,0.011342388925842635,39,39,False,0.0,0.0,False
23,2,7,-2.929488182067871,True,True,0.011664921276558049,0.011664921276558049,37,37,False,0.0,0.0,False
24,3,0,-1.51710045337677,True,True,0.04789321693199675,0.04789321693199675,2,2,False,0.0,0.0,False
25,3,1,-2.6482508182525635,True,True,0.015453314646784436,0.015453314646784436,19,19,False,0.0,0.0,False
26,3,2,-2.973118782043457,True,True,0.011166916876775972,0.011166916876775972,40,40,False,0.0,0.0,False
27,3,3,-2.1290342807769775,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
28,3,4,-2.881911277770996,True,True,0.012233316141443113,0.012233316141443113,35,35,False,0.0,0.0,False
29,3,5,-3.468341112136841,True,True,0.006805514413410704,0.006805514413410704,56,56,False,0.0,0.0,False
30,3,6,-2.8704018592834473,True,True,0.012374927867481109,0.012374927867481109,34,34,False,0.0,0.0,False
31,3,7,-2.6729958057403564,True,True,0.015075614928985213,0.015075614928985213,23,23,False,0.0,0.0,False
32,4,0,-1.5801142454147339,True,True,0.044968403262074304,0.044968403262074304,3,3,False,0.0,0.0,False
33,4,1,-1.647121787071228,True,True,0.042053917785070824,0.042053917785070824,4,4,False,0.0,0.0,False
34,4,2,-2.2221620082855225,True,True,0.02366299251663331,0.02366299251663331,11,11,False,0.0,0.0,False
