cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-1.323125958442688,False,False,0.0,0.0,,,True,0.0,0.0,False
1,0,1,-1.965122103691101,True,True,0.0384214854022245,0.0384214854022245,2,2,False,0.0,0.0,False
2,0,2,-3.6470398902893066,True,True,0.0071470453404975974,0.0071470453404975974,54,54,False,0.0,0.0,False
3,0,3,-3.234362840652466,True,True,0.010798163591464138,0.010798163591464138,45,45,False,0.0,0.0,False
4,0,4,-2.7286295890808105,True,True,0.017905525160742095,0.017905525160742095,25,25,False,0.0,0.0,False
5,0,5,-2.8143231868743896,True,True,0.016435041556058547,0.016435041556058547,30,30,False,0.0,0.0,False
6,0,6,-3.0548129081726074,True,True,0.012921931890754504,0.012921931890754504,43,43,False,0.0,0.0,False
7,0,7,-2.4161899089813232,True,True,0.02447247492456926,0.02447247492456926,8,8,False,0.0,0.0,False
8,1,0,-2.744427442550659,True,True,0.017624878938665,0.017624878938665,26,26,False,0.0,0.0,False
9,1,1,-3.5894784927368164,True,True,0.007570509949869785,0.007570509949869785,52,52,False,0.0,0.0,False
10,1,2,-3.7925825119018555,True,True,0.006178999780747314,0.006178999780747314,56,56,False,0.0,0.0,False
11,1,3,-3.656120538711548,True,True,0.007082439310764373,0.007082439310764373,55,55,False,0.0,0.0,False
12,1,4,-3.6184022426605225,True,True,0.007354678783150313,0.007354678783150313,53,53,False,0.0,0.0,False
13,1,5,-2.6910693645477295,True,True,0.018590850627517762,0.018590850627517762,23,23,False,0.0,0.0,False
14,1,6,-2.945376396179199,True,True,0.014416343471807608,0.014416343471807608,39,39,False,0.0,0.0,False
15,1,7,-2.888932228088379,True,True,0.015253465061770607,0.015253465061770607,34,34,False,0.0,0.0,False
16,2,0,-2.0873970985412598,True,True,0.033999364183496736,0.033999364183496736,4,4,False,0.0,0.0,False
17,2,1,-3.540778398513794,True,True,0.007948319510409209,0.007948319510409209,51,51,False,0.0,0.0,False
18,2,2,-2.4712460041046143,True,True,0.0231615347641792,0.0231615347641792,11,11,False,0.0,0.0,False
19,2,3,-1.8100968599319458,False,False,0.0,0.0,,,True,0.0,0.0,False
20,2,4,-3.299920082092285,True,True,0.010112970828940424,0.010112970828940424,47,47,False,0.0,0.0,False
21,2,5,-2.91831374168396,True,True,0.014811815114242398,0.014811815114242398,37,37,False,0.0,0.0,False
22,2,6,-2.8765931129455566,True,True,0.015442845313042703,0.015442845313042703,32,32,False,0.0,0.0,False
23,2,7,-2.8420233726501465,True,True,0.015986035339381272,0.015986035339381272,31,31,False,0.0,0.0,False
24,3,0,-1.5838783979415894,False,False,0.0,0.0,,,True,0.0,0.0,False
25,3,1,-2.579582691192627,True,True,0.02078343408798964,0.02078343408798964,15,15,False,0.0,0.0,False
26,3,2,-2.894838333129883,True,True,0.015163642008164823,0.015163642008164823,35,35,False,0.0,0.0,False
27,3,3,-2.0227725505828857,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
28,3,4,-2.8081727027893066,True,True,0.016536436511983787,0.016536436511983787,29,29,False,0.0,0.0,False
29,3,5,-3.3901660442352295,True,True,0.009240286376138926,0.009240286376138926,50,50,False,0.0,0.0,False
30,3,6,-2.79439377784729,True,True,0.01676586785818886,0.01676586785818886,28,28,False,0.0,0.0,False
31,3,7,-2.5673446655273438,True,True,0.021039345016065945,0.021039345016065945,13,13,False,0.0,0.0,False
32,4,0,-1.714926838874817,False,False,0.0,0.0,,,True,0.0,0.0,False
33,4,1,-1.7638415098190308,False,False,0.0,0.0,,,True,0.0,0.0,False
34,4,2,-2.1512467861175537,True,True,0.03189636764500168,0.03189636764500168,5,5,False,0.0,0.0,False
35,4,3,-2.5919723510742188,True,True,0.020527523007689563,0.020527523007689563,17,17,False,0.0,0.0,False
36,4,4,-2.6674139499664307,True,True,0.01903586768639935,0.01903586768639935,20,20,False,1.0,0.6666666865348816,False
37,4,5,-2.038255453109741,True,True,0.035711882244466274,0.035711882244466274,3,3,False,0.0,0.0,False
38,4,6,-2.9285051822662354,True,True,0.014661627992091402,0.014661627992091402,38,38,False,0.0,0.0,False
