cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,3.937680721282959,False,False,0.0,0.0,,,True,0.0,0.0,False
1,0,1,5.343533515930176,True,True,0.006821216672680275,0.006821216672680275,41,41,False,0.0,0.0,False
2,0,2,5.257315635681152,True,True,0.006257745481066375,0.006257745481066375,43,43,False,0.0,0.0,False
3,0,3,6.03433895111084,True,True,0.013610523616923597,0.013610523616923597,28,28,False,0.0,0.0,False
4,0,4,5.98759126663208,True,True,0.012988905946664813,0.012988905946664813,29,29,False,0.0,0.0,False
5,0,5,5.398377895355225,True,True,0.007205771002703586,0.007205771002703586,39,39,False,0.0,0.0,False
6,0,6,5.828981399536133,True,True,0.011083812796182854,0.011083812796182854,31,31,False,0.0,0.0,False
7,0,7,5.283671855926514,True,True,0.006424868693058722,0.006424868693058722,42,42,False,0.0,0.0,False
8,1,0,4.08905553817749,True,True,0.0019455794996237222,0.0019455794996237222,54,54,False,0.0,0.0,False
9,1,1,4.805266857147217,True,True,0.003981948191622622,0.003981948191622622,49,49,False,0.0,0.0,False
10,1,2,3.9132752418518066,True,True,0.0016319564638436865,0.0016319564638436865,55,55,False,0.0,0.0,False
11,1,3,6.4320549964904785,True,True,0.020258193606505284,0.020258193606505284,20,20,False,0.0,0.0,False
12,1,4,5.419417381286621,True,True,0.007358982817565089,0.007358982817565089,38,38,False,0.0,0.0,False
13,1,5,4.911732196807861,True,True,0.004429277749680848,0.004429277749680848,47,47,False,0.0,0.0,False
14,1,6,7.487239360809326,True,True,0.0581917561953858,0.0581917561953858,1,1,False,0.0,0.0,True
15,1,7,6.282639026641846,True,True,0.01744657517616556,0.01744657517616556,24,24,False,0.0,0.0,False
16,2,0,3.877293586730957,True,True,0.0015742798419424045,0.0015742798419424045,56,56,False,0.0,0.0,False
17,2,1,5.148857116699219,True,True,0.005614550067171455,0.005614550067171455,44,44,False,0.0,0.0,False
18,2,2,6.0968828201293945,True,True,0.014488962575812177,0.014488962575812177,27,27,False,0.0,0.0,False
19,2,3,6.583385467529297,False,False,0.0,0.0,,,True,0.0,0.0,False
20,2,4,7.043454647064209,True,True,0.037336036446846334,0.037336036446846334,7,7,False,0.0,0.0,False
21,2,5,7.139981269836426,True,True,0.041119629364799896,0.041119629364799896,6,6,False,0.0,0.0,False
22,2,6,7.161650657653809,True,True,0.04202039078802173,0.04202039078802173,5,5,False,0.0,0.0,False
23,2,7,4.8396172523498535,True,True,0.004121106066678395,0.004121106066678395,48,48,False,0.0,0.0,False
24,3,0,4.631828784942627,False,False,0.0,0.0,,,True,0.0,0.0,False
25,3,1,6.521905422210693,True,True,0.022162679263841148,0.022162679263841148,18,18,False,0.0,0.0,False
26,3,2,6.660137176513672,True,True,0.0254481109493164,0.0254481109493164,15,15,False,0.0,0.0,False
27,3,3,5.501473426818848,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
28,3,4,4.634716510772705,True,True,0.0033575812495464886,0.0033575812495464886,51,51,False,0.0,0.0,False
29,3,5,5.703766822814941,True,True,0.009779331819349814,0.009779331819349814,35,35,False,0.0,0.0,False
30,3,6,6.8087944984436035,True,True,0.029526815079421544,0.029526815079421544,13,13,False,0.0,0.0,False
31,3,7,4.783698558807373,True,True,0.0038969839062755643,0.0038969839062755643,50,50,False,0.0,0.0,False
32,4,0,4.221724987030029,False,False,0.0,0.0,,,True,0.0,0.0,False
33,4,1,5.638095378875732,False,False,0.0,0.0,,,True,0.0,0.0,False
34,4,2,6.210175037384033,True,True,0.016227046305344793,0.016227046305344793,26,26,False,0.0,0.0,False
35,4,3,6.325973033905029,True,True,0.018219225299175724,0.018219225299175724,22,22,False,0.0,0.0,False
36,4,4,5.823288440704346,True,True,0.011020892377846902,0.011020892377846902,32,32,False,1.0,0.6666666865348816,False
37,4,5,5.731176376342773,True,True,0.010051086258736457,0.010051086258736457,34,34,False,0.0,0.0,False
38,4,6,4.568228244781494,True,True,0.0031416011255341507,0.0031416011255341507,52,52,False,0.0,0.0,False
39,4,7,5.573081016540527,True,True,0.008581299460530729,0.008581299460530729,36,36,False,0.0,0.0,False
40,5,0,5.442996501922607,True,True,0.007534563040027191,0.007534563040027191,37,37,False,0.0,0.0,False
41,5,1,5.781917572021484,True,True,0.010574251156378422,0.010574251156378422,33,33,False,0.0,0.0,False
42,5,2,4.9603095054626465,True,True,0.004649751806509417,0.004649751806509417,45,45,False,0.0,0.0,False
43,5,3,6.258470058441162,True,True,0.01702996426316968,0.01702996426316968,25,25,False,0.0,0.0,False
44,5,4,7.00004243850708,True,True,0.03574987513029352,0.03574987513029352,9,9,False,0.0,0.0,False
45,5,5,4.504255294799805,True,True,0.0029469172753705335,0.0029469172753705335,53,53,False,0.0,0.0,False
46,5,6,4.95395040512085,True,True,0.004620277382940083,0.004620277382940083,46,46,False,0.0,0.0,False
47,5,7,6.650359153747559,True,True,0.025200491329141702,0.025200491329141702,16,16,False,0.0,0.0,False
48,6,0,5.8208088874816895,False,False,0.0,0.0,,,True,0.0,0.0,False
49,6,1,6.454517364501953,False,False,0.0,0.0,,,True,0.0,0.0,False
50,6,2,6.865163326263428,True,True,0.03123901092788748,0.03123901092788748,10,10,False,0.0,0.0,False
51,6,3,7.195512294769287,True,True,0.043467634754561675,0.043467634754561675,4,4,False,0.0,0.0,False
52,6,4,7.036958694458008,True,True,0.037094289362476544,0.037094289362476544,8,8,False,0.0,0.0,False
53,6,5,6.7962470054626465,True,True,0.02915864222799924,0.02915864222799924,14,14,False,0.0,0.0,False
54,6,6,7.277461051940918,True,True,0.04717977899662614,0.04717977899662614,3,3,False,0.0,0.0,False
55,6,7,7.361480236053467,True,True,0.051315075264982024,0.051315075264982024,2,2,False,0.0,0.0,False
56,7,0,6.85735559463501,True,True,0.030996054816512287,0.030996054816512287,11,11,False,0.0,0.0,False
57,7,1,6.320674896240234,True,True,0.01812295259361839,0.01812295259361839,23,23,False,0.0,0.0,False
58,7,2,6.385151386260986,True,True,0.01932995033759521,0.01932995033759521,21,21,False,1.0,0.6666666865348816,False
59,7,3,5.987146854400635,True,True,0.012983134800467986,0.012983134800467986,30,30,False,1.0,0.6666666865348816,False
60,7,4,5.386832237243652,True,True,0.007123054063884508,0.007123054063884508,40,40,False,0.0,0.0,False
61,7,5,6.513281345367432,True,True,0.021972368422003816,0.021972368422003816,19,19,False,0.0,0.0,False
62,7,6,6.612013339996338,True,True,0.02425245083807265,0.02425245083807265,17,17,False,0.0,0.0,False
63,7,7,6.82917594909668,True,True,0.0301347890536164,0.0301347890536164,12,12,False,0.0,0.0,False
