cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-1.5100624561309814,True,True,0.04560236392306656,0.04560236392306656,2,2,False,0.0,0.0,False
1,0,1,-2.069051504135132,True,True,0.026074830687851602,0.026074830687851602,10,10,False,0.0,0.0,False
2,0,2,-3.7602972984313965,True,True,0.004805325169542704,0.004805325169542704,61,61,False,0.0,0.0,False
3,0,3,-3.3423657417297363,True,True,0.007298408203018783,0.007298408203018783,52,52,False,0.0,0.0,False
4,0,4,-2.8335628509521484,True,True,0.012139433987422505,0.012139433987422505,33,33,False,0.0,0.0,False
5,0,5,-2.9220614433288574,True,True,0.011111277331743871,0.011111277331743871,38,38,False,0.0,0.0,False
6,0,6,-3.1682207584381104,True,True,0.00868677064893956,0.00868677064893956,50,50,False,0.0,0.0,False
7,0,7,-2.536458730697632,True,True,0.016339137133466908,0.016339137133466908,18,18,False,0.0,0.0,False
8,1,0,-2.8511288166046143,True,True,0.011928055079560485,0.011928055079560485,34,34,False,0.0,0.0,False
9,1,1,-3.7016472816467285,True,True,0.005095586281774374,0.005095586281774374,59,59,False,0.0,0.0,False
10,1,2,-3.9145092964172363,True,True,0.004118597592759041,0.004118597592759041,63,63,False,0.0,0.0,False
11,1,3,-3.7750284671783447,True,True,0.004735055958131633,0.004735055958131633,62,62,False,0.0,0.0,False
12,1,4,-3.7371761798858643,True,True,0.004917724049151954,0.004917724049151954,60,60,False,0.0,0.0,False
13,1,5,-2.799501419067383,True,True,0.012560043101200364,0.012560043101200364,31,31,False,0.0,0.0,False
14,1,6,-2.682283639907837,False,False,0.0,0.0,,,True,0.0,0.0,False
15,1,7,-3.007564067840576,True,True,0.010200716305819273,0.010200716305819273,43,43,False,0.0,0.0,False
16,2,0,-2.1852965354919434,True,True,0.023213301995399945,0.023213301995399945,12,12,False,0.0,0.0,False
17,2,1,-3.653031349182129,True,True,0.0053494334737488195,0.0053494334737488195,58,58,False,0.0,0.0,False
18,2,2,-2.572200298309326,True,True,0.015765463819735166,0.015765463819735166,19,19,False,0.0,0.0,False
19,2,3,-1.7997997999191284,True,True,0.034131551205798694,0.034131551205798694,8,8,False,0.0,0.0,False
20,2,4,-3.4139044284820557,True,True,0.0067945280060715645,0.0067945280060715645,54,54,False,0.0,0.0,False
21,2,5,-3.026167631149292,True,True,0.010012700934688572,0.010012700934688572,45,45,False,0.0,0.0,False
22,2,6,-2.987624168395996,True,True,0.01040615900969903,0.01040615900969903,41,41,False,0.0,0.0,False
23,2,7,-2.9562604427337646,True,True,0.010737707039052654,0.010737707039052654,39,39,False,0.0,0.0,False
24,3,0,-1.5422203540802002,True,True,0.04415921641763693,0.04415921641763693,3,3,False,0.0,0.0,False
25,3,1,-2.6777124404907227,True,True,0.014186766184634976,0.014186766184634976,21,21,False,0.0,0.0,False
26,3,2,-2.9978814125061035,True,True,0.01029996605109204,0.01029996605109204,42,42,False,0.0,0.0,False
27,3,3,-1.6461143493652344,True,True,0.03980162188583788,0.03980162188583788,5,5,False,1.0,0.6666666865348816,False
28,3,4,-2.909449815750122,True,True,0.011252295991669298,0.011252295991669298,37,37,False,0.0,0.0,False
29,3,5,-3.504270315170288,True,True,0.006207459391631898,0.006207459391631898,57,57,False,0.0,0.0,False
30,3,6,-2.903045654296875,True,True,0.011324588752094382,0.011324588752094382,36,36,False,0.0,0.0,False
31,3,7,-2.69700026512146,True,True,0.013915756323435793,0.013915756323435793,25,25,False,0.0,0.0,False
32,4,0,-1.6054673194885254,True,True,0.04145276939420066,0.04145276939420066,4,4,False,0.0,0.0,False
33,4,1,-1.672598123550415,True,True,0.03876136054456072,0.03876136054456072,6,6,False,0.0,0.0,False
34,4,2,-2.248239040374756,True,True,0.021797231609714737,0.021797231609714737,13,13,False,0.0,0.0,False
35,4,3,-2.6920197010040283,True,True,0.013985237524205645,0.013985237524205645,24,24,False,0.0,0.0,False
36,4,4,-2.7742929458618164,True,True,0.012880687104344994,0.012880687104344994,28,28,False,1.0,0.6666666865348816,False
37,4,5,-2.1477577686309814,True,True,0.024101262935706632,0.024101262935706632,11,11,False,0.0,0.0,False
38,4,6,-3.0403411388397217,True,True,0.009871786823599422,0.009871786823599422,46,46,False,0.0,0.0,False
39,4,7,-3.4021525382995605,True,True,0.006874847582070464,0.006874847582070464,53,53,False,0.0,0.0,False
40,5,0,-2.003038167953491,True,True,0.027854202252566535,0.027854202252566535,9,9,False,0.0,0.0,False
41,5,1,-2.574589967727661,True,True,0.015727834551641767,0.015727834551641767,20,20,False,0.0,0.0,False
42,5,2,-2.987013816833496,True,True,0.010412512363802792,0.010412512363802792,40,40,False,0.0,0.0,False
43,5,3,-3.079895496368408,True,True,0.00948893625658271,0.00948893625658271,48,48,False,0.0,0.0,False
44,5,4,-2.774409770965576,True,True,0.01287918240463259,0.01287918240463259,29,29,False,0.0,0.0,False
45,5,5,-2.687898874282837,True,True,0.014042987171120107,0.014042987171120107,23,23,False,0.0,0.0,False
46,5,6,-3.1744654178619385,True,True,0.008632693746394332,0.008632693746394332,51,51,False,0.0,0.0,False
47,5,7,-3.445082902908325,True,True,0.006585953403314418,0.006585953403314418,55,55,False,0.0,0.0,False
48,6,0,-1.6896206140518188,True,True,0.03810712976914827,0.03810712976914827,7,7,False,0.0,0.0,False
49,6,1,-1.4042919874191284,True,True,0.05069006953772484,0.05069006953772484,1,1,False,0.0,0.0,True
50,6,2,-2.472146987915039,True,True,0.017424461003671763,0.017424461003671763,15,15,False,0.0,0.0,False
51,6,3,-2.4145724773406982,True,True,0.018457107642643977,0.018457107642643977,14,14,False,0.0,0.0,False
52,6,4,-3.0198991298675537,True,True,0.010075662695100532,0.010075662695100532,44,44,False,0.0,0.0,False
53,6,5,-2.8207786083221436,True,True,0.012295623713327385,0.012295623713327385,32,32,False,0.0,0.0,False
54,6,6,-2.856651544570923,True,True,0.011862361247744625,0.011862361247744625,35,35,False,0.0,0.0,False
55,6,7,-2.731158971786499,True,True,0.013448439001431042,0.013448439001431042,27,27,False,0.0,0.0,False
56,7,0,-2.5172386169433594,True,True,0.016656214579127956,0.016656214579127956,16,16,False,0.0,0.0,False
57,7,1,-3.4673824310302734,True,True,0.006440715141034438,0.006440715141034438,56,56,False,0.0,0.0,False
58,7,2,-2.524176597595215,True,True,0.016541054037392897,0.016541054037392897,17,17,False,1.0,0.6666666865348816,False
59,7,3,-3.06347393989563,True,True,0.009646045820377617,0.009646045820377617,47,47,False,1.0,0.6666666865348816,False
60,7,4,-3.081712007522583,True,True,0.00947171514393837,0.00947171514393837,49,49,False,0.0,0.0,False
61,7,5,-2.7188167572021484,True,True,0.01361545105060878,0.01361545105060878,26,26,False,0.0,0.0,False
62,7,6,-2.678985595703125,True,True,0.014168715722278192,0.014168715722278192,22,22,False,0.0,0.0,False
63,7,7,-2.7980802059173584,True,True,0.012577906290313556,0.012577906290313556,30,30,False,0.0,0.0,False
