cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,5.373693466186523,True,True,0.006179422672849901,0.006179422672849901,47,47,False,0.0,0.0,False
1,0,1,5.388565540313721,True,True,0.0062720102832798,0.0062720102832798,46,46,False,0.0,0.0,False
2,0,2,5.340051651000977,True,True,0.005974993639436538,0.005974993639436538,48,48,False,0.0,0.0,False
3,0,3,6.100118160247803,True,True,0.01277703657964762,0.01277703657964762,30,30,False,0.0,0.0,False
4,0,4,6.047059059143066,True,True,0.012116769975239621,0.012116769975239621,32,32,False,0.0,0.0,False
5,0,5,5.467970848083496,True,True,0.00679034825987926,0.00679034825987926,45,45,False,0.0,0.0,False
6,0,6,5.928589344024658,True,True,0.010763068883733401,0.010763068883733401,33,33,False,0.0,0.0,False
7,0,7,5.339010715484619,True,True,0.005968777292316797,0.005968777292316797,49,49,False,0.0,0.0,False
8,1,0,4.186875820159912,True,True,0.0018859038508425875,0.0018859038508425875,61,61,False,0.0,0.0,False
9,1,1,4.883586883544922,True,True,0.0037852739642103158,0.0037852739642103158,55,55,False,0.0,0.0,False
10,1,2,4.0392584800720215,True,True,0.0016270846617186395,0.0016270846617186395,62,62,False,0.0,0.0,False
11,1,3,6.514559268951416,True,True,0.01933835928745552,0.01933835928745552,22,22,False,0.0,0.0,False
12,1,4,5.511730670928955,True,True,0.007094090072125786,0.007094090072125786,43,43,False,0.0,0.0,False
13,1,5,4.98158073425293,True,True,0.004174990640648682,0.004174990640648682,53,53,False,0.0,0.0,False
14,1,6,7.446649074554443,False,False,0.0,0.0,,,True,0.0,0.0,False
15,1,7,6.354038715362549,True,True,0.016470486752671883,0.016470486752671883,26,26,False,0.0,0.0,False
16,2,0,4.013882637023926,True,True,0.0015863154805840804,0.0015863154805840804,63,63,False,0.0,0.0,False
17,2,1,5.2580766677856445,True,True,0.005504731802369554,0.005504731802369554,50,50,False,0.0,0.0,False
18,2,2,6.164361000061035,True,True,0.013624809820829243,0.013624809820829243,29,29,False,0.0,0.0,False
19,2,3,6.97199010848999,True,True,0.03055479077320562,0.03055479077320562,9,9,False,0.0,0.0,False
20,2,4,7.097743988037109,True,True,0.03464922539708981,0.03464922539708981,7,7,False,0.0,0.0,False
21,2,5,7.186121463775635,True,True,0.03785082764391468,0.03785082764391468,5,5,False,0.0,0.0,False
22,2,6,7.2262349128723145,True,True,0.039400018866891824,0.039400018866891824,4,4,False,0.0,0.0,False
23,2,7,4.899542808532715,True,True,0.0038461559340493634,0.0038461559340493634,54,54,False,0.0,0.0,False
24,3,0,5.839529991149902,True,True,0.00984596152289646,0.00984596152289646,36,36,False,0.0,0.0,False
25,3,1,6.57905387878418,True,True,0.020626677475744253,0.020626677475744253,21,21,False,0.0,0.0,False
26,3,2,6.720944404602051,True,True,0.0237712243176572,0.0237712243176572,16,16,False,0.0,0.0,False
27,3,3,5.529743671417236,True,True,0.007223033764968305,0.007223033764968305,41,41,False,1.0,0.6666666865348816,False
28,3,4,4.720029354095459,True,True,0.0032141429267583234,0.0032141429267583234,58,58,False,0.0,0.0,False
29,3,5,5.794386863708496,True,True,0.009411367300789997,0.009411367300789997,37,37,False,0.0,0.0,False
