cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,6.958721160888672,True,True,0.005522388091202107,0.005522388091202107,17,17,False,0.0,0.0,False
1,0,1,5.286453723907471,True,True,0.0010372188567660161,0.0010372188567660161,51,51,False,0.0,0.0,False
2,0,2,6.468591690063477,True,True,0.0033827227113462648,0.0033827227113462648,26,26,False,0.0,0.0,False
3,0,3,3.600623607635498,True,True,0.0001921868580332445,0.0001921868580332445,59,59,False,0.0,0.0,False
4,0,4,7.034474849700928,True,True,0.00595698261819737,0.00595698261819737,15,15,False,0.0,0.0,False
5,0,5,6.388121604919434,True,True,0.0031211790653133714,0.0031211790653133714,30,30,False,0.0,0.0,False
6,0,6,6.1470208168029785,True,True,0.0024525052370946805,0.0024525052370946805,35,35,False,0.0,0.0,False
7,0,7,6.969609260559082,True,True,0.005582844935967921,0.005582844935967921,16,16,False,0.0,0.0,False
8,1,0,4.887542724609375,True,True,0.0006960261522179663,0.0006960261522179663,54,54,False,0.0,0.0,False
9,1,1,5.368161201477051,True,True,0.001125525944396709,0.001125525944396709,50,50,False,0.0,0.0,False
10,1,2,5.769235134124756,True,True,0.0016808915970848153,0.0016808915970848153,44,44,False,0.0,0.0,False
11,1,3,5.718508720397949,True,True,0.001597752495547634,0.001597752495547634,45,45,False,0.0,0.0,False
12,1,4,4.712010860443115,True,True,0.0005839733630008292,0.0005839733630008292,55,55,False,0.0,0.0,False
13,1,5,4.1674394607543945,True,True,0.0003387573166065995,0.0003387573166065995,58,58,False,0.0,0.0,False
14,1,6,6.009824752807617,True,True,0.002138092302162432,0.002138092302162432,39,39,False,0.0,0.0,False
15,1,7,5.155548572540283,True,True,0.0009099531208051795,0.0009099531208051795,53,53,False,0.0,0.0,False
16,2,0,4.505848407745361,True,True,0.000475179637993594,0.000475179637993594,56,56,False,0.0,0.0,False
17,2,1,3.3530983924865723,True,True,0.0001500461483627366,0.0001500461483627366,61,61,False,0.0,0.0,False
18,2,2,6.381455421447754,True,True,0.003100441908654605,0.003100441908654605,31,31,False,0.0,0.0,False
19,2,3,5.710190773010254,True,True,0.001584517594265598,0.001584517594265598,46,46,False,0.0,0.0,False
20,2,4,6.030490875244141,True,True,0.002182738118446968,0.002182738118446968,38,38,False,0.0,0.0,False
21,2,5,7.2435173988342285,True,True,0.007341965821765492,0.007341965821765492,12,12,False,0.0,0.0,False
22,2,6,6.778268337249756,True,True,0.0046105980078947765,0.0046105980078947765,20,20,False,0.0,0.0,False
23,2,7,6.2293243408203125,True,True,0.002662894187933884,0.002662894187933884,33,33,False,0.0,0.0,False
24,3,0,5.949636936187744,True,True,0.0020132013515229636,0.0020132013515229636,41,41,False,0.0,0.0,False
25,3,1,5.963580131530762,True,True,0.0020414684199052584,0.0020414684199052584,40,40,False,0.0,0.0,False
26,3,2,8.123695373535156,True,True,0.017703893809056806,0.017703893809056806,8,8,False,0.0,0.0,False
27,3,3,11.063790321350098,False,False,0.0,0.0,,,True,0.0,0.0,False
28,3,4,10.919344902038574,True,True,0.2898704598758102,0.2898704598758102,1,1,False,0.0,0.0,True
29,3,5,9.546408653259277,True,True,0.07344213992661909,0.07344213992661909,5,5,False,0.0,0.0,False
30,3,6,7.125481605529785,True,True,0.006524542505118646,0.006524542505118646,14,14,False,0.0,0.0,False
31,3,7,6.334127902984619,True,True,0.0029571238807194755,0.0029571238807194755,32,32,False,0.0,0.0,False
32,4,0,6.0426812171936035,True,True,0.0022095092858138918,0.0022095092858138918,37,37,False,0.0,0.0,False
33,4,1,6.159200668334961,True,True,0.0024825590406604234,0.0024825590406604234,34,34,False,0.0,0.0,False
34,4,2,5.51643705368042,True,True,0.001305421901563866,0.001305421901563866,49,49,False,0.0,0.0,False
35,4,3,9.937873840332031,True,True,0.10863167931862848,0.10863167931862848,3,3,False,0.0,0.0,False
36,4,4,9.549670219421387,False,False,0.0,0.0,,,True,0.0,0.0,False
37,4,5,8.358327865600586,True,True,0.02238558212883272,0.02238558212883272,7,7,False,0.0,0.0,False
38,4,6,6.0867533683776855,True,True,0.002309064812387908,0.002309064812387908,36,36,False,0.0,0.0,False
39,4,7,5.550134181976318,True,True,0.0013501604173251018,0.0013501604173251018,48,48,False,0.0,0.0,False
40,5,0,9.913865089416504,True,True,0.10605462806662853,0.10605462806662853,4,4,False,0.0,0.0,False
41,5,1,4.435922622680664,True,True,0.0004430874402958869,0.0004430874402958869,57,57,False,0.0,0.0,False
42,5,2,3.416710615158081,True,True,0.0001599010402109443,0.0001599010402109443,60,60,False,0.0,0.0,False
43,5,3,3.3254475593566895,True,True,0.00014595408258531297,0.00014595408258531297,62,62,False,0.0,0.0,False
44,5,4,6.4041290283203125,True,True,0.003171543124102528,0.003171543124102528,28,28,False,0.0,0.0,False
45,5,5,5.84812068939209,True,True,0.0018188599804408406,0.0018188599804408406,43,43,False,0.0,0.0,False
46,5,6,6.650097370147705,True,True,0.004055956742672765,0.004055956742672765,22,22,False,0.0,0.0,False
47,5,7,6.4839887619018555,True,True,0.0034352097725473744,0.0034352097725473744,25,25,False,0.0,0.0,False
48,6,0,5.560792446136475,True,True,0.00136462774505645,0.00136462774505645,47,47,False,0.0,0.0,False
49,6,1,6.40000581741333,True,True,0.0031584931053794964,0.0031584931053794964,29,29,False,0.0,0.0,False
50,6,2,6.622506618499756,True,True,0.003945579544384425,0.003945579544384425,23,23,False,0.0,0.0,False
51,6,3,6.843505382537842,True,True,0.004921407730188704,0.004921407730188704,19,19,False,0.0,0.0,False
52,6,4,6.567189693450928,True,True,0.003733249091172072,0.003733249091172072,24,24,False,0.0,0.0,False
53,6,5,5.226408004760742,True,True,0.0009767712746969477,0.0009767712746969477,52,52,False,0.0,0.0,False
54,6,6,7.196815490722656,True,True,0.007006965472371248,0.007006965472371248,13,13,False,0.0,0.0,False
55,6,7,6.867722034454346,True,True,0.005042042538280078,0.005042042538280078,18,18,False,0.0,0.0,False
56,7,0,8.772629737854004,True,True,0.033876412268599554,0.033876412268599554,6,6,False,0.0,0.0,False
57,7,1,5.88871431350708,True,True,0.0018942131813290807,0.0018942131813290807,42,42,False,0.0,0.0,False
58,7,2,6.74778413772583,True,True,0.004472168297655778,0.004472168297655778,21,21,False,0.0,0.0,False
59,7,3,10.451934814453125,True,True,0.18163951670858328,0.18163951670858328,2,2,False,0.0,0.0,False
60,7,4,7.390986442565918,True,True,0.008508585168804126,0.008508585168804126,11,11,False,0.0,0.0,False
61,7,5,6.463592052459717,True,True,0.003365852531210121,0.003365852531210121,27,27,False,0.0,0.0,False
62,7,6,7.478671550750732,True,True,0.00928834865408157,0.00928834865408157,10,10,False,0.0,0.0,False
63,7,7,7.879382133483887,True,True,0.013866437673697198,0.013866437673697198,9,9,False,0.0,0.0,False
