cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-2.1387393474578857,True,True,0.028270647521266155,0.028270647521266155,12,12,False,0.0,0.0,False
1,0,1,-3.494257688522339,True,True,0.007288558102241938,0.007288558102241938,36,36,False,0.0,0.0,False
2,0,2,-3.4812638759613037,True,True,0.007383882230792066,0.007383882230792066,35,35,False,0.0,0.0,False
3,0,3,-1.2192144393920898,True,True,0.0709055694748433,0.0709055694748433,3,3,False,0.0,0.0,False
4,0,4,0.09455998241901398,False,False,0.0,0.0,,,True,0.0,0.0,False
5,0,5,-3.915222644805908,True,True,0.004784305048748991,0.004784305048748991,45,45,False,0.0,0.0,False
6,0,6,-3.7604925632476807,True,True,0.005584924201023618,0.005584924201023618,44,44,False,0.0,0.0,False
7,0,7,-3.495603561401367,True,True,0.0072787552277560836,0.0072787552277560836,37,37,False,0.0,0.0,False
8,1,0,-1.0498656034469604,True,True,0.08399000640066732,0.08399000640066732,1,1,False,0.0,0.0,True
9,1,1,-2.544940233230591,True,True,0.01883323617386952,0.01883323617386952,15,15,False,0.0,0.0,False
10,1,2,-3.4492807388305664,True,True,0.007623859099180997,0.007623859099180997,33,33,False,0.0,0.0,False
11,1,3,-3.6809098720550537,True,True,0.006047551937573506,0.006047551937573506,40,40,False,0.0,0.0,False
12,1,4,-4.144659996032715,True,True,0.0038034305194530904,0.0038034305194530904,49,49,False,0.0,0.0,False
13,1,5,-3.3633720874786377,True,True,0.00830777095408548,0.00830777095408548,30,30,False,0.0,0.0,False
14,1,6,-4.029279708862305,True,True,0.004268590653066848,0.004268590653066848,47,47,False,0.0,0.0,False
15,1,7,-4.115362167358398,True,True,0.003916511195755925,0.003916511195755925,48,48,False,0.0,0.0,False
16,2,0,-1.2465659379959106,True,True,0.06899247811273933,0.06899247811273933,4,4,False,0.0,0.0,False
17,2,1,-3.4234778881073,True,True,0.007823136301173556,0.007823136301173556,32,32,False,0.0,0.0,False
18,2,2,-3.0971662998199463,True,True,0.010841670875853287,0.010841670875853287,22,22,False,0.0,0.0,False
19,2,3,-3.2044501304626465,True,True,0.009738755070641309,0.009738755070641309,27,27,False,0.0,0.0,False
20,2,4,-3.358517646789551,True,True,0.008348198582811805,0.008348198582811805,29,29,False,0.0,0.0,False
21,2,5,-2.773054838180542,True,True,0.014991877967346412,0.014991877967346412,16,16,False,0.0,0.0,False
22,2,6,-4.019247055053711,True,True,0.00431163149123487,0.00431163149123487,46,46,False,0.0,0.0,False
23,2,7,-1.9585198163986206,True,True,0.03385354116720155,0.03385354116720155,9,9,False,0.0,0.0,False
24,3,0,-0.13971735537052155,False,False,0.0,0.0,,,True,0.0,0.0,False
25,3,1,-0.14783546328544617,False,False,0.0,0.0,,,True,0.0,0.0,False
26,3,2,-1.4159718751907349,True,True,0.05824111499874781,0.05824111499874781,6,6,False,0.0,0.0,False
27,3,3,1.7735575437545776,False,False,0.0,0.0,,,True,0.0,0.0,False
28,3,4,1.2139695882797241,False,False,0.0,0.0,,,True,0.0,0.0,False
29,3,5,-0.0783199816942215,False,False,0.0,0.0,,,True,0.0,0.0,False
30,3,6,-3.755941152572632,True,True,0.005610401419312387,0.005610401419312387,43,43,False,0.0,0.0,False
31,3,7,-1.5198417901992798,True,True,0.05249519457968208,0.05249519457968208,7,7,False,0.0,0.0,False
32,4,0,0.6194942593574524,False,False,0.0,0.0,,,True,0.0,0.0,False
33,4,1,-2.455622911453247,True,True,0.020592779658457884,0.020592779658457884,14,14,False,0.0,0.0,False
34,4,2,-2.86165714263916,True,True,0.013720708777798959,0.013720708777798959,18,18,False,0.0,0.0,False
35,4,3,1.1250202655792236,False,False,0.0,0.0,,,True,0.0,0.0,False
36,4,4,1.4598904848098755,False,False,0.0,0.0,,,True,0.0,0.0,False
37,4,5,0.4008229076862335,False,False,0.0,0.0,,,True,0.0,0.0,False
38,4,6,-3.5125083923339844,True,True,0.007156743302348485,0.007156743302348485,38,38,False,0.0,0.0,False
39,4,7,-2.85730242729187,True,True,0.013780588844584081,0.013780588844584081,17,17,False,0.0,0.0,False
40,5,0,-0.1987522542476654,False,False,0.0,0.0,,,True,0.0,0.0,False
41,5,1,-3.2890870571136475,True,True,0.008948414508256045,0.008948414508256045,28,28,False,0.0,0.0,False
42,5,2,-3.6971707344055176,True,True,0.005950008745488562,0.005950008745488562,41,41,False,0.0,0.0,False
43,5,3,-3.517598867416382,True,True,0.0071204046478743985,0.0071204046478743985,39,39,False,0.0,0.0,False
44,5,4,-3.1771464347839355,True,True,0.010008322421354663,0.010008322421354663,26,26,False,0.0,0.0,False
45,5,5,-3.700906991958618,True,True,0.005927819458630356,0.005927819458630356,42,42,False,0.0,0.0,False
46,5,6,-3.1697185039520264,True,True,0.010082940333306954,0.010082940333306954,25,25,False,0.0,0.0,False
47,5,7,-2.048130989074707,True,True,0.030951839586075457,0.030951839586075457,10,10,False,0.0,0.0,False
48,6,0,-2.0666239261627197,True,True,0.030384709278985393,0.030384709278985393,11,11,False,0.0,0.0,False
49,6,1,-0.19063764810562134,False,False,0.0,0.0,,,True,0.0,0.0,False
50,6,2,-3.032413959503174,True,True,0.01156692189959683,0.01156692189959683,20,20,False,0.0,0.0,False
51,6,3,-1.5474978685379028,True,True,0.051063275269126865,0.051063275269126865,8,8,False,0.0,0.0,False
52,6,4,-2.899956226348877,True,True,0.013205153861515823,0.013205153861515823,19,19,False,0.0,0.0,False
53,6,5,-3.4577219486236572,True,True,0.007559775357762909,0.007559775357762909,34,34,False,0.0,0.0,False
54,6,6,-3.1381754875183105,True,True,0.010406055915808525,0.010406055915808525,23,23,False,0.0,0.0,False
55,6,7,-2.1715197563171387,True,True,0.02735894870455111,0.02735894870455111,13,13,False,0.0,0.0,False
56,7,0,-1.4036728143692017,True,True,0.058961849105494075,0.058961849105494075,5,5,False,0.0,0.0,False
57,7,1,-3.1650795936584473,True,True,0.010129822846821995,0.010129822846821995,24,24,False,0.0,0.0,False
58,7,2,-3.0381672382354736,True,True,0.011500565241044782,0.011500565241044782,21,21,False,0.0,0.0,False
59,7,3,0.27832579612731934,False,False,0.0,0.0,,,True,0.0,0.0,False
60,7,4,0.2826439142227173,False,False,0.0,0.0,,,True,0.0,0.0,False
61,7,5,-0.6153046488761902,False,False,0.0,0.0,,,True,0.0,0.0,False
62,7,6,-1.0752568244934082,True,True,0.08188424464684659,0.08188424464684659,2,2,False,0.0,0.0,False
63,7,7,-3.3761234283447266,True,True,0.008202508281200113,0.008202508281200113,31,31,False,0.0,0.0,False
