cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,6.9425048828125,True,True,0.029770586229143504,0.029770586229143504,9,9,False,0.0,0.0,False
1,0,1,5.223252773284912,True,True,0.005334892620844186,0.005334892620844186,38,38,False,0.0,0.0,False
2,0,2,6.42711877822876,True,True,0.017781076293442902,0.017781076293442902,18,18,False,0.0,0.0,False
3,0,3,3.4669320583343506,True,True,0.000921224092766583,0.000921224092766583,46,46,False,0.0,0.0,False
4,0,4,6.415277004241943,False,False,0.0,0.0,,,True,0.0,0.0,False
5,0,5,6.33485746383667,True,True,0.016213973753373138,0.016213973753373138,21,21,False,0.0,0.0,False
6,0,6,6.106039047241211,True,True,0.012897777777336833,0.012897777777336833,25,25,False,0.0,0.0,False
7,0,7,6.951720714569092,True,True,0.030046215066828027,0.030046215066828027,8,8,False,0.0,0.0,False
8,1,0,4.773630142211914,True,True,0.003402961650643422,0.003402961650643422,41,41,False,0.0,0.0,False
9,1,1,5.325998783111572,True,True,0.0059121808120029895,0.0059121808120029895,37,37,False,0.0,0.0,False
10,1,2,5.710890769958496,True,True,0.00868768715710559,0.00868768715710559,31,31,False,0.0,0.0,False
11,1,3,5.660188674926758,True,True,0.008258183589166319,0.008258183589166319,32,32,False,0.0,0.0,False
12,1,4,4.60115385055542,True,True,0.002863858480143305,0.002863858480143305,42,42,False,0.0,0.0,False
13,1,5,4.02969217300415,True,True,0.0016172192418576134,0.0016172192418576134,45,45,False,0.0,0.0,False
14,1,6,5.965107440948486,True,True,0.011202348288198353,0.011202348288198353,28,28,False,0.0,0.0,False
15,1,7,5.045786380767822,True,True,0.0044673811512518785,0.0044673811512518785,40,40,False,0.0,0.0,False
16,2,0,4.396286964416504,True,True,0.0023333452053486367,0.0023333452053486367,43,43,False,0.0,0.0,False
17,2,1,3.224802255630493,True,True,0.0007231187960689613,0.0007231187960689613,48,48,False,0.0,0.0,False
18,2,2,6.336174011230469,True,True,0.01623533427624628,0.01623533427624628,20,20,False,0.0,0.0,False
19,2,3,5.6509857177734375,True,True,0.008182532520138931,0.008182532520138931,33,33,False,0.0,0.0,False
20,2,4,5.9897003173828125,True,True,0.011481261841375021,0.011481261841375021,27,27,False,0.0,0.0,False
21,2,5,7.228974342346191,True,True,0.03964601054752183,0.03964601054752183,5,5,False,0.0,0.0,False
22,2,6,6.740146636962891,True,True,0.02431668209867311,0.02431668209867311,12,12,False,0.0,0.0,False
23,2,7,6.15744161605835,True,True,0.01357809184384711,0.01357809184384711,23,23,False,0.0,0.0,False
24,3,0,4.896524429321289,False,False,0.0,0.0,,,True,0.0,0.0,False
25,3,1,4.930817604064941,False,False,0.0,0.0,,,True,0.0,0.0,False
26,3,2,8.099769592285156,True,True,0.09470677849522548,0.09470677849522548,2,2,False,0.0,0.0,False
27,3,3,10.80713176727295,False,False,0.0,0.0,,,True,0.0,0.0,False
28,3,4,9.808639526367188,False,False,0.0,0.0,,,True,0.0,0.0,False
29,3,5,8.228179931640625,False,False,0.0,0.0,,,True,0.0,0.0,False
30,3,6,7.084650993347168,True,True,0.034317896340854845,0.034317896340854845,7,7,False,0.0,0.0,False
31,3,7,6.271098613739014,True,True,0.015212456483027789,0.015212456483027789,22,22,False,0.0,0.0,False
32,4,0,4.928308486938477,False,False,0.0,0.0,,,True,0.0,0.0,False
33,4,1,6.109370708465576,True,True,0.012940820465451199,0.012940820465451199,24,24,False,0.0,0.0,False
34,4,2,5.456944942474365,True,True,0.006739332783234756,0.006739332783234756,35,35,False,0.0,0.0,False
35,4,3,8.165544509887695,False,False,0.0,0.0,,,True,0.0,0.0,False
36,4,4,9.332322120666504,False,False,0.0,0.0,,,True,0.0,0.0,False
37,4,5,7.2824387550354,False,False,0.0,0.0,,,True,0.0,0.0,False
38,4,6,6.005619525909424,True,True,0.011665496990916948,0.011665496990916948,26,26,False,0.0,0.0,False
39,4,7,5.480830669403076,True,True,0.006902244533160997,0.006902244533160997,34,34,False,0.0,0.0,False
40,5,0,8.405125617980957,False,False,0.0,0.0,,,True,0.0,0.0,False
41,5,1,4.303414821624756,True,True,0.0021264008433564056,0.0021264008433564056,44,44,False,0.0,0.0,False
42,5,2,3.232496738433838,True,True,0.0007287042823668265,0.0007287042823668265,47,47,False,0.0,0.0,False
43,5,3,3.1544129848480225,True,True,0.0006739690889674241,0.0006739690889674241,49,49,False,0.0,0.0,False
44,5,4,6.338305473327637,True,True,0.01626997618172998,0.01626997618172998,19,19,False,0.0,0.0,False
45,5,5,5.764570236206055,True,True,0.00916678128890453,0.00916678128890453,30,30,False,0.0,0.0,False
46,5,6,6.569826126098633,True,True,0.020508554874856092,0.020508554874856092,15,15,False,0.0,0.0,False
47,5,7,6.436856746673584,True,True,0.017955073668795278,0.017955073668795278,17,17,False,0.0,0.0,False
48,6,0,5.4502854347229,True,True,0.006694601254622456,0.006694601254622456,36,36,False,0.0,0.0,False
49,6,1,5.8970208168029785,False,False,0.0,0.0,,,True,0.0,0.0,False
50,6,2,6.58685827255249,True,True,0.0208608512502239,0.0208608512502239,14,14,False,0.0,0.0,False
51,6,3,6.813161849975586,True,True,0.026158595438007273,0.026158595438007273,11,11,False,0.0,0.0,False
52,6,4,6.523865699768066,True,True,0.01958730561559864,0.01958730561559864,16,16,False,0.0,0.0,False
53,6,5,5.105010032653809,True,True,0.004739947295811806,0.004739947295811806,39,39,False,0.0,0.0,False
