cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,6.958587169647217,True,True,0.0040935743767984345,0.0040935743767984345,18,18,False,0.0,0.0,False
1,0,1,5.313364028930664,True,True,0.0007899349951243024,0.0007899349951243024,52,52,False,0.0,0.0,False
2,0,2,6.486362934112549,True,True,0.0025528089032643693,0.0025528089032643693,27,27,False,0.0,0.0,False
3,0,3,3.6361536979675293,True,True,0.0001476346036053093,0.0001476346036053093,60,60,False,0.0,0.0,False
4,0,4,7.0642571449279785,True,True,0.004549823743125402,0.004549823743125402,16,16,False,0.0,0.0,False
5,0,5,6.412639141082764,True,True,0.0023713762684538253,0.0023713762684538253,30,30,False,0.0,0.0,False
6,0,6,6.1567864418029785,True,True,0.001836052325120005,0.001836052325120005,36,36,False,0.0,0.0,False
7,0,7,6.964422702789307,True,True,0.004117532401680221,0.004117532401680221,17,17,False,0.0,0.0,False
8,1,0,4.917982578277588,True,True,0.0005319604831394197,0.0005319604831394197,55,55,False,0.0,0.0,False
9,1,1,5.373707294464111,True,True,0.0008390698215393477,0.0008390698215393477,51,51,False,0.0,0.0,False
10,1,2,5.789072036743164,True,True,0.0012711263361105901,0.0012711263361105901,45,45,False,0.0,0.0,False
11,1,3,5.7410478591918945,True,True,0.0012115241665492855,0.0012115241665492855,46,46,False,0.0,0.0,False
12,1,4,4.7466721534729,True,True,0.0004482086147548708,0.0004482086147548708,56,56,False,0.0,0.0,False
13,1,5,4.205053329467773,True,True,0.00026077030384904495,0.00026077030384904495,59,59,False,0.0,0.0,False
14,1,6,6.028107643127441,True,True,0.0016143606446690345,0.0016143606446690345,40,40,False,0.0,0.0,False
15,1,7,5.192775249481201,True,True,0.0007001971077967464,0.0007001971077967464,54,54,False,0.0,0.0,False
16,2,0,4.53658390045166,True,True,0.0003632787801637597,0.0003632787801637597,57,57,False,0.0,0.0,False
17,2,1,3.38576340675354,True,True,0.00011493307877055264,0.00011493307877055264,62,62,False,0.0,0.0,False
18,2,2,6.3958940505981445,True,True,0.0023319979749382882,0.0023319979749382882,32,32,False,0.0,0.0,False
19,2,3,5.7319016456604,True,True,0.0012004938276344885,0.0012004938276344885,47,47,False,0.0,0.0,False
20,2,4,6.045970916748047,True,True,0.001643457519584247,0.001643457519584247,39,39,False,0.0,0.0,False
21,2,5,7.232971668243408,True,True,0.0053860001258380615,0.0053860001258380615,13,13,False,0.0,0.0,False
22,2,6,6.796181678771973,True,True,0.0034799329566901752,0.0034799329566901752,21,21,False,0.0,0.0,False
23,2,7,6.26414680480957,True,True,0.002044142026097161,0.002044142026097161,34,34,False,0.0,0.0,False
24,3,0,5.974609375,True,True,0.0015302646962256474,0.0015302646962256474,42,42,False,0.0,0.0,False
25,3,1,5.97946834564209,True,True,0.0015377183012184423,0.0015377183012184423,41,41,False,0.0,0.0,False
26,3,2,8.122591018676758,True,True,0.013110617107612714,0.013110617107612714,9,9,False,0.0,0.0,False
27,3,3,11.081872940063477,False,False,0.0,0.0,,,True,0.0,0.0,False
28,3,4,10.922930717468262,True,True,0.215672718605267,0.215672718605267,2,2,False,0.0,0.0,False
29,3,5,9.562457084655762,True,True,0.05532851591745933,0.05532851591745933,6,6,False,0.0,0.0,False
30,3,6,7.138866424560547,True,True,0.004902267112181454,0.004902267112181454,15,15,False,0.0,0.0,False
31,3,7,6.371454238891602,True,True,0.0022756952005958207,0.0022756952005958207,33,33,False,0.0,0.0,False
