cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-2.3475005626678467,True,True,0.0022766481632612574,0.0022766481632612574,25,25,False,0.0,0.0,False
1,0,1,-3.6642730236053467,True,True,0.0006101391680650549,0.0006101391680650549,49,49,False,0.0,0.0,False
2,0,2,-3.647047281265259,True,True,0.0006207403123203244,0.0006207403123203244,48,48,False,0.0,0.0,False
3,0,3,-1.4898096323013306,True,True,0.0053676767926154586,0.0053676767926154586,17,17,False,0.0,0.0,False
4,0,4,0.4310477375984192,True,True,0.036644104566881185,0.036644104566881185,8,8,False,0.0,0.0,False
5,0,5,-4.073762893676758,True,True,0.0004051256255062749,0.0004051256255062749,58,58,False,0.0,0.0,False
6,0,6,-3.9437849521636963,True,True,0.00046135838415855234,0.00046135838415855234,57,57,False,0.0,0.0,False
7,0,7,-3.6850810050964355,True,True,0.000597574578759598,0.000597574578759598,51,51,False,0.0,0.0,False
8,1,0,-1.2936326265335083,True,True,0.0065310791737324455,0.0065310791737324455,14,14,False,0.0,0.0,False
9,1,1,-2.760474443435669,True,True,0.0015064115666988942,0.0015064115666988942,28,28,False,0.0,0.0,False
10,1,2,-3.632341146469116,True,True,0.0006299364571623023,0.0006299364571623023,47,47,False,0.0,0.0,False
11,1,3,-3.8464484214782715,True,True,0.0005085236265540689,0.0005085236265540689,53,53,False,0.0,0.0,False
12,1,4,-4.307705402374268,True,True,0.00032061938296255665,0.00032061938296255665,62,62,False,0.0,0.0,False
13,1,5,-3.562563896179199,True,True,0.0006754615283586734,0.0006754615283586734,43,43,False,0.0,0.0,False
14,1,6,-4.193777561187744,True,True,0.0003593089264930598,0.0003593089264930598,60,60,False,0.0,0.0,False
15,1,7,-4.290602207183838,True,True,0.0003261501610185774,0.0003261501610185774,61,61,False,0.0,0.0,False
16,2,0,-1.4873896837234497,True,True,0.005380682024085257,0.005380682024085257,16,16,False,0.0,0.0,False
17,2,1,-3.599111795425415,True,True,0.0006512205059641684,0.0006512205059641684,45,45,False,0.0,0.0,False
18,2,2,-3.270716905593872,True,True,0.0009043741825729378,0.0009043741825729378,35,35,False,0.0,0.0,False
19,2,3,-3.38037109375,True,True,0.0008104494784046726,0.0008104494784046726,40,40,False,0.0,0.0,False
20,2,4,-3.5548789501190186,True,True,0.0006806724107995744,0.0006806724107995744,42,42,False,0.0,0.0,False
21,2,5,-3.005824327468872,True,True,0.0011786627023015264,0.0011786627023015264,29,29,False,0.0,0.0,False
22,2,6,-4.192564010620117,True,True,0.00035974523072984036,0.00035974523072984036,59,59,False,0.0,0.0,False
23,2,7,-2.21285080909729,True,True,0.002604795087912296,0.002604795087912296,22,22,False,0.0,0.0,False
24,3,0,0.1486896574497223,True,True,0.02762978831779155,0.02762978831779155,10,10,False,0.0,0.0,False
25,3,1,-0.1328723430633545,True,True,0.020849552330919334,0.020849552330919334,12,12,False,0.0,0.0,False
26,3,2,-1.6502398252487183,True,True,0.004572065146696718,0.004572065146696718,19,19,False,0.0,0.0,False
