cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-2.2501275539398193,True,True,0.005363385697806227,0.005363385697806227,19,19,False,0.0,0.0,False
1,0,1,-3.5770671367645264,True,True,0.0014228413924024402,0.0014228413924024402,43,43,False,0.0,0.0,False
2,0,2,-3.563035249710083,True,True,0.0014429472739539214,0.0014429472739539214,42,42,False,0.0,0.0,False
3,0,3,-1.361342430114746,True,True,0.013044682239989032,0.013044682239989032,11,11,False,0.0,0.0,False
4,0,4,0.5598053336143494,True,True,0.08907941927805577,0.08907941927805577,4,4,False,0.0,0.0,False
5,0,5,-3.9913036823272705,True,True,0.0009402770692019452,0.0009402770692019452,52,52,False,0.0,0.0,False
6,0,6,-3.8493268489837646,True,True,0.0010837162867432092,0.0010837162867432092,51,51,False,0.0,0.0,False
7,0,7,-3.5885725021362305,True,True,0.001406564895387018,0.001406564895387018,44,44,False,0.0,0.0,False
8,1,0,-1.1810195446014404,True,True,0.015622363494710075,0.015622363494710075,9,9,False,0.0,0.0,False
9,1,1,-2.654762029647827,True,True,0.0035785617003254873,0.0035785617003254873,22,22,False,0.0,0.0,False
10,1,2,-3.539706230163574,True,True,0.0014770055475263478,0.0014770055475263478,40,40,False,0.0,0.0,False
11,1,3,-3.7607009410858154,True,True,0.001184146247358043,0.001184146247358043,47,47,False,0.0,0.0,False
12,1,4,-4.221861839294434,True,True,0.0007466648546242258,0.0007466648546242258,56,56,False,0.0,0.0,False
13,1,5,-3.4605419635772705,True,True,0.0015986843761120082,0.0015986843761120082,37,37,False,0.0,0.0,False
14,1,6,-4.109978199005127,True,True,0.0008350570698364198,0.0008350570698364198,54,54,False,0.0,0.0,False
15,1,7,-4.200061321258545,True,True,0.0007631212626093453,0.0007631212626093453,55,55,False,0.0,0.0,False
16,2,0,-1.3753873109817505,True,True,0.01286275181813403,0.01286275181813403,12,12,False,0.0,0.0,False
17,2,1,-3.50801944732666,True,True,0.0015245564912034772,0.0015245564912034772,39,39,False,0.0,0.0,False
18,2,2,-3.1822385787963867,True,True,0.0021116812071178617,0.0021116812071178617,29,29,False,0.0,0.0,False
19,2,3,-3.2901947498321533,True,True,0.001895586406140658,0.001895586406140658,34,34,False,0.0,0.0,False
20,2,4,-3.456056594848633,True,True,0.0016058711706824194,0.0016058711706824194,36,36,False,0.0,0.0,False
21,2,5,-2.8904473781585693,True,True,0.0028271683041724577,0.0028271683041724577,23,23,False,0.0,0.0,False
22,2,6,-4.103437900543213,True,True,0.000840536491299695,0.000840536491299695,53,53,False,0.0,0.0,False
23,2,7,-2.090259552001953,True,True,0.006293160681856083,0.006293160681856083,16,16,False,0.0,0.0,False
24,3,0,0.26804786920547485,True,True,0.06653784335796495,0.06653784335796495,5,5,False,0.0,0.0,False
25,3,1,0.004178804811090231,True,True,0.05110599424098145,0.05110599424098145,7,7,False,0.0,0.0,False
26,3,2,-1.5396639108657837,True,True,0.010914138718017446,0.010914138718017446,13,13,False,0.0,0.0,False
27,3,3,1.657065510749817,False,False,0.0,0.0,,,True,0.0,0.0,False
28,3,4,1.0941224098205566,False,False,0.0,0.0,,,True,0.0,0.0,False
29,3,5,-0.21139180660247803,False,False,0.0,0.0,,,True,0.0,0.0,False
