cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-3.919934034347534,True,False,0.01588599411965254,0.0,22,,False,0.0,0.0,False
1,0,1,-4.310417652130127,True,False,0.010750521126357581,0.0,41,,False,0.0,0.0,False
2,0,2,-4.39843225479126,True,False,0.009844762891119779,0.0,48,,False,0.0,0.0,False
3,0,3,-4.8458380699157715,True,False,0.006293603577601958,0.0,64,,False,0.0,0.0,False
4,0,4,-4.32702112197876,True,False,0.010573498831846587,0.0,43,,False,0.0,0.0,False
5,0,5,-3.8924062252044678,True,True,0.016329375392915166,0.5613953361973704,19,1,False,1.0,0.6666666865348816,True
6,0,6,-4.122279644012451,True,False,0.012975879855951247,0.0,30,,False,0.0,0.0,False
7,0,7,-4.137568950653076,True,False,0.012778996589536637,0.0,33,,False,0.0,0.0,False
8,1,0,-3.6636080741882324,True,False,0.020527466285872438,0.0,9,,False,0.0,0.0,False
9,1,1,-4.417011737823486,True,False,0.009663541003597271,0.0,49,,False,0.0,0.0,False
10,1,2,-4.475992679595947,True,False,0.009110059138043839,0.0,55,,False,0.0,0.0,False
11,1,3,-4.453193187713623,True,False,0.009320149736212693,0.0,54,,False,0.0,0.0,False
12,1,4,-4.745067119598389,True,False,0.006960872062272466,0.0,63,,False,0.0,0.0,False
13,1,5,-4.139233112335205,True,True,0.012757747958558899,0.4386046638026296,34,2,False,1.0,0.6666666865348816,False
14,1,6,-4.388467788696289,True,False,0.009943351070709329,0.0,47,,False,0.0,0.0,False
15,1,7,-4.6763105392456055,True,False,0.007456315140243956,0.0,62,,False,0.0,0.0,False
16,2,0,-3.6965279579162598,True,False,0.019862706424491602,0.0,12,,False,0.0,0.0,False
17,2,1,-3.944767951965332,True,False,0.015496340982838046,0.0,23,,False,0.0,0.0,False
18,2,2,-4.253708362579346,True,False,0.011377793530899693,0.0,38,,False,0.0,0.0,False
19,2,3,-4.483475208282471,True,False,0.00904214725237908,0.0,58,,False,0.0,0.0,False
