cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-3.91731595993042,True,True,0.016148980737264777,0.016148980737264777,21,21,False,0.0,0.0,False
1,0,1,-4.3058319091796875,True,True,0.010950016752653894,0.010950016752653894,40,40,False,0.0,0.0,False
2,0,2,-4.392942428588867,True,True,0.01003652026236952,0.01003652026236952,47,47,False,0.0,0.0,False
3,0,3,-4.837397575378418,True,True,0.006435151088734893,0.006435151088734893,63,63,False,0.0,0.0,False
4,0,4,-4.319613933563232,True,True,0.010800138539728357,0.010800138539728357,42,42,False,0.0,0.0,False
5,0,5,-2.4685873985290527,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
6,0,6,-4.11727237701416,True,True,0.013222243411832552,0.013222243411832552,29,29,False,0.0,0.0,False
7,0,7,-4.133398056030273,True,True,0.013010735694786398,0.013010735694786398,32,32,False,0.0,0.0,False
8,1,0,-3.6629037857055664,True,True,0.020827393379952944,0.020827393379952944,9,9,False,0.0,0.0,False
9,1,1,-4.412837982177734,True,True,0.009838811420669485,0.009838811420669485,48,48,False,0.0,0.0,False
10,1,2,-4.470628261566162,True,True,0.009286341212908706,0.009286341212908706,54,54,False,0.0,0.0,False
11,1,3,-4.447422027587891,True,True,0.009504362158298613,0.009504362158298613,53,53,False,0.0,0.0,False
12,1,4,-4.7364606857299805,True,True,0.0071186080636516345,0.0071186080636516345,62,62,False,0.0,0.0,False
13,1,5,-4.133866310119629,True,True,0.013004644790748445,0.013004644790748445,33,33,False,1.0,0.6666666865348816,False
14,1,6,-4.383814334869385,True,True,0.010128553967046866,0.010128553967046866,46,46,False,0.0,0.0,False
15,1,7,-4.66960334777832,True,True,0.007610809562225236,0.007610809562225236,61,61,False,0.0,0.0,False
16,2,0,-3.6947765350341797,True,True,0.020174034572151563,0.020174034572151563,12,12,False,0.0,0.0,False
17,2,1,-3.9426140785217285,True,True,0.015745566236422464,0.015745566236422464,22,22,False,0.0,0.0,False
18,2,2,-4.250678539276123,True,True,0.01157091192412143,0.01157091192412143,37,37,False,0.0,0.0,False
19,2,3,-4.477972507476807,True,True,0.00921838987054448,0.00921838987054448,57,57,False,0.0,0.0,False
20,2,4,-4.47101354598999,True,True,0.00928276401944773,0.00928276401944773,55,55,False,0.0,0.0,False
21,2,5,-4.6422295570373535,True,True,0.00782202395094655,0.00782202395094655,60,60,False,0.0,0.0,False
22,2,6,-4.174127101898193,True,True,0.012491467278086086,0.012491467278086086,35,35,False,0.0,0.0,False
23,2,7,-4.446736812591553,True,True,0.009510876921531937,0.009510876921531937,52,52,False,0.0,0.0,False
24,3,0,-3.40364146232605,True,True,0.02699175456917851,0.02699175456917851,5,5,False,0.0,0.0,False
25,3,1,-4.296426296234131,True,True,0.011053494243743252,0.011053494243743252,38,38,False,0.0,0.0,False
26,3,2,-4.417217254638672,True,True,0.0097958187916941,0.0097958187916941,50,50,False,0.0,0.0,False
27,3,3,-4.361688137054443,True,True,0.010355158054352814,0.010355158054352814,45,45,False,0.0,0.0,False
28,3,4,-4.133394241333008,True,True,0.013010785326898942,0.013010785326898942,31,31,False,0.0,0.0,False
29,3,5,-4.604230880737305,True,True,0.008124969827142565,0.008124969827142565,59,59,False,0.0,0.0,False
30,3,6,-4.317210674285889,True,True,0.010826125286808522,0.010826125286808522,41,41,False,0.0,0.0,False
31,3,7,-4.201747894287109,True,True,0.012151164405966967,0.012151164405966967,36,36,False,0.0,0.0,False
32,4,0,-3.6561357975006104,True,True,0.020968831016931182,0.020968831016931182,8,8,False,0.0,0.0,False
33,4,1,-4.305373191833496,True,True,0.010955040867515644,0.010955040867515644,39,39,False,0.0,0.0,False
34,4,2,-3.9133222103118896,True,True,0.016213604682956944,0.016213604682956944,20,20,False,0.0,0.0,False
35,4,3,-4.329176425933838,True,True,0.010697354516284584,0.010697354516284584,43,43,False,0.0,0.0,False
36,4,4,-4.4718708992004395,True,True,0.009274808822607882,0.009274808822607882,56,56,False,0.0,0.0,False
37,4,5,-4.562448024749756,True,True,0.008471646405710952,0.008471646405710952,58,58,False,0.0,0.0,False
38,4,6,-4.413146018981934,True,True,0.009835781171380457,0.009835781171380457,49,49,False,0.0,0.0,False
39,4,7,-4.124383449554443,True,True,0.01312855259568842,0.01312855259568842,30,30,False,0.0,0.0,False
40,5,0,-3.6847214698791504,True,True,0.020377909072191613,0.020377909072191613,11,11,False,0.0,0.0,False
41,5,1,-4.162009239196777,True,True,0.01264375801908681,0.01264375801908681,34,34,False,0.0,0.0,False
42,5,2,-3.79996657371521,True,True,0.01815972666637031,0.01815972666637031,14,14,False,0.0,0.0,False
43,5,3,-4.439652919769287,True,True,0.009578490153991457,0.009578490153991457,51,51,False,0.0,0.0,False
44,5,4,-4.3503241539001465,True,True,0.010473505069174459,0.010473505069174459,44,44,False,0.0,0.0,False
45,5,5,-4.094210147857666,True,True,0.013530721240248327,0.013530721240248327,27,27,False,0.0,0.0,False
46,5,6,-4.067171096801758,True,True,0.01390157021079501,0.01390157021079501,25,25,False,0.0,0.0,False
47,5,7,-3.896049737930298,True,True,0.016496086276926093,0.016496086276926093,19,19,False,0.0,0.0,False
48,6,0,-2.980191946029663,True,True,0.04122236501883931,0.04122236501883931,2,2,False,0.0,0.0,False
49,6,1,-3.632855176925659,True,True,0.021462725190335163,0.021462725190335163,7,7,False,0.0,0.0,False
50,6,2,-3.8865678310394287,True,True,0.016653244533584636,0.016653244533584636,18,18,False,0.0,0.0,False
51,6,3,-3.8289945125579834,True,True,0.017640164621254686,0.017640164621254686,15,15,False,0.0,0.0,False
52,6,4,-4.111381530761719,True,True,0.013300363485645486,0.013300363485645486,28,28,False,0.0,0.0,False
53,6,5,-3.8679518699645996,True,True,0.01696616429977052,0.01696616429977052,17,17,False,0.0,0.0,False
54,6,6,-4.071115016937256,True,True,0.013846851502160857,0.013846851502160857,26,26,False,0.0,0.0,False
55,6,7,-4.004293918609619,True,True,0.014803727049772605,0.014803727049772605,23,23,False,0.0,0.0,False
56,7,0,-3.260613441467285,True,True,0.03114206426087448,0.03114206426087448,3,3,False,0.0,0.0,False
57,7,1,-4.024867534637451,True,True,0.014502272491904698,0.014502272491904698,24,24,False,0.0,0.0,False
58,7,2,-3.389798164367676,True,True,0.027368007753924145,0.027368007753924145,4,4,False,0.0,0.0,False
59,7,3,-3.4503674507141113,True,True,0.02575955032225651,0.02575955032225651,6,6,False,1.0,0.0,False
60,7,4,-3.673100233078003,True,True,0.020616106975375734,0.020616106975375734,10,10,False,0.0,0.0,False
61,7,5,-3.775709867477417,True,True,0.018605607762489228,0.018605607762489228,13,13,False,0.0,0.0,False
62,7,6,-2.0193371772766113,True,True,0.10775236935192921,0.10775236935192921,1,1,False,0.0,0.0,True
63,7,7,-3.83113694190979,True,True,0.017602412270112288,0.017602412270112288,16,16,False,0.0,0.0,False
