cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,7.69616174697876,True,True,0.0018100576853622246,0.0018100576853622246,55,55,False,0.0,0.0,False
1,0,1,7.791402816772461,True,True,0.0019909258562367384,0.0019909258562367384,53,53,False,0.0,0.0,False
2,0,2,8.742301940917969,True,True,0.005152586950678196,0.005152586950678196,39,39,False,0.0,0.0,False
3,0,3,7.755924224853516,True,True,0.0019215289418274203,0.0019215289418274203,54,54,False,0.0,0.0,False
4,0,4,8.325764656066895,True,True,0.0033972341804208955,0.0033972341804208955,50,50,False,0.0,0.0,False
5,0,5,7.175922870635986,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
6,0,6,10.343437194824219,True,True,0.025549919423896894,0.025549919423896894,9,9,False,0.0,0.0,False
7,0,7,10.468969345092773,True,True,0.0289672625068893,0.0289672625068893,7,7,False,0.0,0.0,False
8,1,0,10.003254890441895,True,True,0.018182359368949113,0.018182359368949113,15,15,False,0.0,0.0,False
9,1,1,8.666232109069824,True,True,0.004775167621171461,0.004775167621171461,40,40,False,0.0,0.0,False
10,1,2,9.88686466217041,True,True,0.016184623589009885,0.016184623589009885,19,19,False,0.0,0.0,False
11,1,3,8.634737014770508,True,True,0.004627116939660919,0.004627116939660919,41,41,False,0.0,0.0,False
12,1,4,8.894187927246094,True,True,0.005997752977914305,0.005997752977914305,36,36,False,0.0,0.0,False
13,1,5,6.432627201080322,True,True,0.0005116186115866837,0.0005116186115866837,62,62,False,1.0,0.6666666865348816,False
14,1,6,9.023750305175781,True,True,0.006827422842633537,0.006827422842633537,31,31,False,0.0,0.0,False
15,1,7,9.195569038391113,True,True,0.008107309049128882,0.008107309049128882,28,28,False,0.0,0.0,False
16,2,0,10.763976097106934,True,True,0.03890695651142215,0.03890695651142215,5,5,False,0.0,0.0,False
17,2,1,8.998613357543945,True,True,0.006657941320295884,0.006657941320295884,33,33,False,0.0,0.0,False
18,2,2,9.760780334472656,True,True,0.01426740125784089,0.01426740125784089,22,22,False,0.0,0.0,False
19,2,3,7.323214054107666,True,True,0.0012465890011372175,0.0012465890011372175,57,57,False,0.0,0.0,False
20,2,4,10.10661792755127,True,True,0.0201623074945495,0.0201623074945495,13,13,False,0.0,0.0,False
21,2,5,6.91628885269165,True,True,0.0008298467953446137,0.0008298467953446137,59,59,False,0.0,0.0,False
22,2,6,10.74620246887207,True,True,0.038221547873194234,0.038221547873194234,6,6,False,0.0,0.0,False
23,2,7,8.845473289489746,True,True,0.005712577127419078,0.005712577127419078,38,38,False,0.0,0.0,False
24,3,0,9.097954750061035,True,True,0.0073533185756551045,0.0073533185756551045,30,30,False,0.0,0.0,False
25,3,1,8.339603424072266,True,True,0.0034445745266218617,0.0034445745266218617,49,49,False,0.0,0.0,False
26,3,2,8.505372047424316,True,True,0.004065631232049198,0.004065631232049198,46,46,False,0.0,0.0,False
27,3,3,6.467913627624512,True,True,0.0005299941001881003,0.0005299941001881003,61,61,False,0.0,0.0,False
28,3,4,8.924306869506836,True,True,0.006181146905490504,0.006181146905490504,35,35,False,0.0,0.0,False
29,3,5,8.576227188110352,True,True,0.0043641531280125085,0.0043641531280125085,44,44,False,0.0,0.0,False
30,3,6,9.19284725189209,True,True,0.008085272687555264,0.008085272687555264,29,29,False,0.0,0.0,False
31,3,7,9.952213287353516,True,True,0.01727758947223361,0.01727758947223361,17,17,False,0.0,0.0,False
32,4,0,9.876617431640625,True,True,0.016019622864120914,0.016019622864120914,20,20,False,0.0,0.0,False
33,4,1,9.815227508544922,True,True,0.015065757850623909,0.015065757850623909,21,21,False,0.0,0.0,False
34,4,2,9.61880874633789,True,True,0.012379052313086324,0.012379052313086324,24,24,False,0.0,0.0,False
35,4,3,8.32573413848877,True,True,0.00339713050664333,0.00339713050664333,51,51,False,0.0,0.0,False
36,4,4,6.703016757965088,True,True,0.00067046332625045,0.00067046332625045,60,60,False,0.0,0.0,False
37,4,5,7.017281532287598,True,True,0.0009180334055319179,0.0009180334055319179,58,58,False,0.0,0.0,False
38,4,6,8.860640525817871,True,True,0.005799881544460104,0.005799881544460104,37,37,False,0.0,0.0,False
39,4,7,9.485077857971191,True,True,0.01082951011727854,0.01082951011727854,26,26,False,0.0,0.0,False
40,5,0,10.28407096862793,True,True,0.0240772626531696,0.0240772626531696,10,10,False,0.0,0.0,False
41,5,1,8.605141639709473,True,True,0.004492182248585276,0.004492182248585276,43,43,False,0.0,0.0,False
42,5,2,9.732437133789062,True,True,0.013868694445328383,0.013868694445328383,23,23,False,0.0,0.0,False
43,5,3,8.506739616394043,True,True,0.0040711950667612065,0.0040711950667612065,45,45,False,0.0,0.0,False
44,5,4,8.434277534484863,True,True,0.0037866226583466323,0.0037866226583466323,47,47,False,0.0,0.0,False
45,5,5,9.023152351379395,True,True,0.006823341579550228,0.006823341579550228,32,32,False,0.0,0.0,False
46,5,6,9.98837947845459,True,True,0.01791389102156191,0.01791389102156191,16,16,False,0.0,0.0,False
47,5,7,10.22783374786377,True,True,0.022760594197673817,0.022760594197673817,11,11,False,0.0,0.0,False
48,6,0,8.0548734664917,True,True,0.0025910687480931024,0.0025910687480931024,52,52,False,0.0,0.0,False
49,6,1,8.966976165771484,True,True,0.006450599898024912,0.006450599898024912,34,34,False,0.0,0.0,False
50,6,2,9.506789207458496,True,True,0.011067204390926948,0.011067204390926948,25,25,False,0.0,0.0,False
51,6,3,8.402509689331055,True,True,0.0036682204647734153,0.0036682204647734153,48,48,False,0.0,0.0,False
52,6,4,9.392990112304688,True,True,0.009876785261891403,0.009876785261891403,27,27,False,0.0,0.0,False
53,6,5,10.0066556930542,True,True,0.018244299247141767,0.018244299247141767,14,14,False,0.0,0.0,False
54,6,6,10.20979118347168,True,True,0.02235361720589867,0.02235361720589867,12,12,False,0.0,0.0,False
55,6,7,9.932991027832031,True,True,0.016948646802674407,0.016948646802674407,18,18,False,0.0,0.0,False
56,7,0,10.412450790405273,True,True,0.02737548099462653,0.02737548099462653,8,8,False,0.0,0.0,False
57,7,1,6.361591815948486,True,True,0.0004765363773953443,0.0004765363773953443,63,63,False,0.0,0.0,False
58,7,2,11.26089859008789,True,True,0.06394961823371072,0.06394961823371072,3,3,False,0.0,0.0,False
59,7,3,10.795866012573242,True,True,0.04016769159119294,0.04016769159119294,4,4,False,1.0,0.0,False
60,7,4,11.9960355758667,True,True,0.13338404772020687,0.13338404772020687,2,2,False,0.0,0.0,False
61,7,5,8.609259605407715,True,True,0.004510719041739368,0.004510719041739368,42,42,False,0.0,0.0,False
62,7,6,7.571885585784912,True,True,0.0015985269580093158,0.0015985269580093158,56,56,False,0.0,0.0,False
63,7,7,12.197497367858887,True,True,0.16315396671034557,0.16315396671034557,1,1,False,0.0,0.0,True
