cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-3.903533697128296,True,True,0.01809381083163659,0.01809381083163659,20,20,False,0.0,0.0,False
1,0,1,-4.2915263175964355,True,True,0.012275155189432584,0.012275155189432584,38,38,False,0.0,0.0,False
2,0,2,-4.377556324005127,True,True,0.011263273613693493,0.011263273613693493,46,46,False,0.0,0.0,False
3,0,3,-4.820205211639404,True,True,0.007234768933691571,0.007234768933691571,62,62,False,0.0,0.0,False
4,0,4,-4.303464889526367,True,True,0.012129478681250727,0.012129478681250727,41,41,False,0.0,0.0,False
5,0,5,-2.450894355773926,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
6,0,6,-4.102301120758057,True,True,0.01483222996214138,0.01483222996214138,28,28,False,0.0,0.0,False
7,0,7,-4.118072509765625,True,True,0.014600140094108068,0.014600140094108068,30,30,False,0.0,0.0,False
8,1,0,-3.6499996185302734,True,True,0.023315165190395247,0.023315165190395247,8,8,False,0.0,0.0,False
9,1,1,-4.398499965667725,True,True,0.011029832731181523,0.011029832731181523,48,48,False,0.0,0.0,False
10,1,2,-4.455300807952881,True,True,0.010420789758003582,0.010420789758003582,54,54,False,0.0,0.0,False
11,1,3,-4.432026386260986,True,True,0.01066617210243241,0.01066617210243241,52,52,False,0.0,0.0,False
12,1,4,-4.7193732261657715,True,True,0.008002311262407587,0.008002311262407587,61,61,False,0.0,0.0,False
13,1,5,-4.118396282196045,True,True,0.01459541373643877,0.01459541373643877,31,31,False,1.0,0.6666666865348816,False
14,1,6,-4.368811130523682,True,True,0.011362205077566911,0.011362205077566911,45,45,False,0.0,0.0,False
15,1,7,-4.653074741363525,True,True,0.008550834602884978,0.008550834602884978,60,60,False,0.0,0.0,False
16,2,0,-3.681363821029663,True,True,0.022595252388188346,0.022595252388188346,11,11,False,0.0,0.0,False
17,2,1,-3.929147481918335,True,True,0.017636244868860226,0.017636244868860226,21,21,False,0.0,0.0,False
18,2,2,-4.2367119789123535,True,True,0.012966792353851233,0.012966792353851233,36,36,False,0.0,0.0,False
19,2,3,-4.462440013885498,True,True,0.010346658527861092,0.010346658527861092,56,56,False,0.0,0.0,False
20,2,4,-4.455249786376953,True,True,0.010421321456683385,0.010421321456683385,53,53,False,0.0,0.0,False
21,2,5,-4.625662803649902,True,True,0.008788471715137249,0.008788471715137249,59,59,False,0.0,0.0,False
22,2,6,-4.159552097320557,True,True,0.014006920607754342,0.014006920607754342,34,34,False,0.0,0.0,False
23,2,7,-4.430759429931641,True,True,0.010679694240858123,0.010679694240858123,51,51,False,0.0,0.0,False
24,3,0,-3.391578197479248,True,True,0.030190443576558125,0.030190443576558125,4,4,False,0.0,0.0,False
25,3,1,-4.282412052154541,True,True,0.012387545612222663,0.012387545612222663,37,37,False,0.0,0.0,False
26,3,2,-4.402780055999756,True,True,0.010982724935469998,0.010982724935469998,49,49,False,0.0,0.0,False
27,3,3,-4.347114086151123,True,True,0.011611425238888112,0.011611425238888112,44,44,False,0.0,0.0,False
28,3,4,-4.118407249450684,True,True,0.014595253665697538,0.014595253665697538,32,32,False,0.0,0.0,False
29,3,5,-4.588054656982422,True,True,0.009125283586318077,0.009125283586318077,58,58,False,0.0,0.0,False
30,3,6,-4.302048206329346,True,True,0.012146674487515996,0.012146674487515996,40,40,False,0.0,0.0,False
31,3,7,-4.186251640319824,True,True,0.013637890616893038,0.013637890616893038,35,35,False,0.0,0.0,False
32,4,0,-3.643707275390625,True,True,0.023462334745219627,0.023462334745219627,7,7,False,0.0,0.0,False
33,4,1,-4.291659832000732,True,True,0.012273516388803996,0.012273516388803996,39,39,False,0.0,0.0,False
34,4,2,-3.900573253631592,True,True,0.01814745590366623,0.01814745590366623,19,19,False,0.0,0.0,False
35,4,3,-4.31488037109375,True,True,0.011991802157936028,0.011991802157936028,42,42,False,0.0,0.0,False
36,4,4,-4.456274509429932,True,True,0.010410647957968299,0.010410647957968299,55,55,False,0.0,0.0,False
37,4,5,-4.546209335327148,True,True,0.009515235954425235,0.009515235954425235,57,57,False,0.0,0.0,False
38,4,6,-4.397233009338379,True,True,0.011043815903735946,0.011043815903735946,47,47,False,0.0,0.0,False
39,4,7,-4.10874605178833,True,True,0.014736944646477082,0.014736944646477082,29,29,False,0.0,0.0,False
40,5,0,-3.6722936630249023,True,True,0.022801127144387864,0.022801127144387864,10,10,False,0.0,0.0,False
41,5,1,-4.148401260375977,True,True,0.01416398355978533,0.01416398355978533,33,33,False,0.0,0.0,False
42,5,2,-3.7872610092163086,True,True,0.02032481645125273,0.02032481645125273,13,13,False,0.0,0.0,False
43,5,3,-4.424193859100342,True,True,0.01075004321773911,0.01075004321773911,50,50,False,0.0,0.0,False
44,5,4,-4.3353986740112305,True,True,0.011748257831170367,0.011748257831170367,43,43,False,0.0,0.0,False
45,5,5,-4.080024242401123,True,True,0.015166353542399723,0.015166353542399723,26,26,False,0.0,0.0,False
46,5,6,-4.052028656005859,True,True,0.015596943692516999,0.015596943692516999,24,24,False,0.0,0.0,False
47,5,7,-3.8807713985443115,True,True,0.018510390727845584,0.018510390727845584,18,18,False,0.0,0.0,False
48,6,0,-2.968210458755493,True,True,0.04610369852835312,0.04610369852835312,1,1,False,0.0,0.0,True
49,6,1,-3.6198229789733887,True,True,0.024029461858956984,0.024029461858956984,6,6,False,0.0,0.0,False
50,6,2,-3.8735060691833496,True,True,0.01864536453394606,0.01864536453394606,17,17,False,0.0,0.0,False
51,6,3,-3.8156087398529053,True,True,0.019756743854853466,0.019756743854853466,14,14,False,0.0,0.0,False
52,6,4,-4.096712112426758,True,True,0.014915359508441832,0.014915359508441832,27,27,False,0.0,0.0,False
53,6,5,-3.8536698818206787,True,True,0.019018910089802013,0.019018910089802013,16,16,False,0.0,0.0,False
54,6,6,-4.056474208831787,True,True,0.01552776054800917,0.01552776054800917,25,25,False,0.0,0.0,False
55,6,7,-3.9893674850463867,True,True,0.016605536251286614,0.016605536251286614,22,22,False,0.0,0.0,False
56,7,0,-3.2477660179138184,True,True,0.03485991549650072,0.03485991549650072,2,2,False,0.0,0.0,False
57,7,1,-4.0105719566345215,True,True,0.016257131552731036,0.016257131552731036,23,23,False,0.0,0.0,False
58,7,2,-3.3774383068084717,True,True,0.030620365509530525,0.030620365509530525,3,3,False,0.0,0.0,False
59,7,3,-3.438032627105713,True,True,0.028820040816170733,0.028820040816170733,5,5,False,1.0,0.0,False
60,7,4,-3.659632444381714,True,True,0.02309165252205733,0.02309165252205733,9,9,False,0.0,0.0,False
61,7,5,-3.7605297565460205,True,True,0.02087545104343669,0.02087545104343669,12,12,False,0.0,0.0,False
62,7,6,-1.6897953748703003,False,False,0.0,0.0,,,True,0.0,0.0,False
63,7,7,-3.8165194988250732,True,True,0.019738758414570602,0.019738758414570602,15,15,False,0.0,0.0,False
