cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-3.8212006092071533,True,True,0.022394923066001753,0.022394923066001753,13,13,False,0.0,0.0,False
1,0,1,-4.202051162719727,True,True,0.015302002938149905,0.015302002938149905,33,33,False,0.0,0.0,False
2,0,2,-4.285945892333984,True,True,0.0140706209239252,0.0140706209239252,40,40,False,0.0,0.0,False
3,0,3,-4.716148853302002,True,True,0.009151209352612457,0.009151209352612457,56,56,False,0.0,0.0,False
4,0,4,-4.201323986053467,True,True,0.015313134244356126,0.015313134244356126,32,32,False,0.0,0.0,False
5,0,5,-2.341653823852539,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
6,0,6,-4.010083198547363,True,True,0.018540391844355027,0.018540391844355027,21,21,False,0.0,0.0,False
7,0,7,-4.027661323547363,True,True,0.018217334211130375,0.018217334211130375,26,26,False,0.0,0.0,False
8,1,0,-3.574063301086426,True,True,0.028673449568561417,0.028673449568561417,2,2,False,0.0,0.0,False
9,1,1,-4.310201168060303,True,True,0.013733439874097426,0.013733439874097426,42,42,False,0.0,0.0,False
10,1,2,-4.363396644592285,True,True,0.01302197414006892,0.01302197414006892,49,49,False,0.0,0.0,False
11,1,3,-4.337430477142334,True,True,0.01336453312603022,0.01336453312603022,46,46,False,0.0,0.0,False
12,1,4,-4.613640308380127,True,True,0.010139052836389436,0.010139052836389436,55,55,False,0.0,0.0,False
13,1,5,-4.020025730133057,True,True,0.018356966778607924,0.018356966778607924,24,24,False,1.0,0.6666666865348816,False
14,1,6,-4.276899814605713,True,True,0.014198482304558802,0.014198482304558802,39,39,False,0.0,0.0,False
15,1,7,-4.551851749420166,True,True,0.010785289735139947,0.010785289735139947,54,54,False,0.0,0.0,False
16,2,0,-3.602590322494507,True,True,0.02786703839997803,0.02786703839997803,4,4,False,0.0,0.0,False
17,2,1,-3.8488287925720215,True,True,0.02178466105850923,0.02178466105850923,15,15,False,0.0,0.0,False
18,2,2,-4.153677463531494,True,True,0.01606041309244367,0.01606041309244367,30,30,False,0.0,0.0,False
19,2,3,-4.3693742752075195,True,True,0.012944365776934327,0.012944365776934327,50,50,False,0.0,0.0,False
20,2,4,-4.362373352050781,True,True,0.013035306249242682,0.013035306249242682,48,48,False,0.0,0.0,False
21,2,5,-4.524937152862549,True,True,0.011079513148388807,0.011079513148388807,53,53,False,0.0,0.0,False
22,2,6,-4.074790954589844,True,True,0.01737867602661741,0.01737867602661741,28,28,False,0.0,0.0,False
23,2,7,-4.334664821624756,True,True,0.013401545979619312,0.013401545979619312,44,44,False,0.0,0.0,False
24,3,0,-2.0452680587768555,False,False,0.0,0.0,,,True,0.0,0.0,False
25,3,1,-4.1973185539245605,True,True,0.015374592966455115,0.015374592966455115,31,31,False,0.0,0.0,False
26,3,2,-4.315659523010254,True,True,0.01365868209742971,0.01365868209742971,43,43,False,0.0,0.0,False
27,3,3,-4.260772705078125,True,True,0.014429319146272029,0.014429319146272029,38,38,False,0.0,0.0,False
28,3,4,-4.026956558227539,True,True,0.018230177681786773,0.018230177681786773,25,25,False,0.0,0.0,False
29,3,5,-4.4895920753479,True,True,0.011478122338985437,0.011478122338985437,52,52,False,0.0,0.0,False
30,3,6,-4.212399959564209,True,True,0.015144462202977825,0.015144462202977825,34,34,False,0.0,0.0,False
31,3,7,-4.092395782470703,True,True,0.017075404778133792,0.017075404778133792,29,29,False,0.0,0.0,False
32,4,0,-3.5724685192108154,True,True,0.02871921394864705,0.02871921394864705,1,1,False,0.0,0.0,True
33,4,1,-4.213486671447754,True,True,0.015128013475064747,0.015128013475064747,35,35,False,0.0,0.0,False
34,4,2,-3.8292202949523926,True,True,0.02221604106816498,0.02221604106816498,14,14,False,0.0,0.0,False
35,4,3,-4.230623722076416,True,True,0.0148709726932591,0.0148709726932591,36,36,False,0.0,0.0,False
36,4,4,-4.361631393432617,True,True,0.01304498149592719,0.01304498149592719,47,47,False,0.0,0.0,False
37,4,5,-4.448756217956543,True,True,0.011956543187311305,0.011956543187311305,51,51,False,0.0,0.0,False
38,4,6,-4.302512168884277,True,True,0.013839443289812164,0.013839443289812164,41,41,False,0.0,0.0,False
39,4,7,-4.0165863037109375,True,True,0.018420212918049458,0.018420212918049458,23,23,False,0.0,0.0,False
40,5,0,-3.6038708686828613,True,True,0.02783137620858907,0.02783137620858907,5,5,False,0.0,0.0,False
41,5,1,-4.069725513458252,True,True,0.017466930020974998,0.017466930020974998,27,27,False,0.0,0.0,False
42,5,2,-3.7147769927978516,True,True,0.024909715316901355,0.024909715316901355,7,7,False,0.0,0.0,False
43,5,3,-4.3348388671875,True,True,0.013399213702974734,0.013399213702974734,45,45,False,0.0,0.0,False
44,5,4,-4.247933387756348,True,True,0.014615776182640117,0.014615776182640117,37,37,False,0.0,0.0,False
45,5,5,-3.9962689876556396,True,True,0.018798289955492323,0.018798289955492323,20,20,False,0.0,0.0,False
46,5,6,-3.9622931480407715,True,True,0.019447951545088632,0.019447951545088632,18,18,False,0.0,0.0,False
47,5,7,-3.7895164489746094,True,True,0.023115848038459855,0.023115848038459855,11,11,False,0.0,0.0,False
48,6,0,-1.8652517795562744,False,False,0.0,0.0,,,True,0.0,0.0,False
49,6,1,-2.3414106369018555,False,False,0.0,0.0,,,True,0.0,0.0,False
50,6,2,-3.799513816833496,True,True,0.02288590174629183,0.02288590174629183,12,12,False,0.0,0.0,False
51,6,3,-3.7397162914276123,True,True,0.024296167020246957,0.024296167020246957,9,9,False,0.0,0.0,False
52,6,4,-4.010571479797363,True,True,0.018531341128477027,0.018531341128477027,22,22,False,0.0,0.0,False
53,6,5,-3.7713510990142822,True,True,0.02353959258953759,0.02353959258953759,10,10,False,0.0,0.0,False
54,6,6,-3.9720041751861572,True,True,0.019260006008814192,0.019260006008814192,19,19,False,0.0,0.0,False
55,6,7,-3.9032323360443115,True,True,0.02063116006602998,0.02063116006602998,16,16,False,0.0,0.0,False
56,7,0,-2.1674859523773193,False,False,0.0,0.0,,,True,0.0,0.0,False
57,7,1,-3.928879976272583,True,True,0.020108747457153138,0.020108747457153138,17,17,False,0.0,0.0,False
58,7,2,-2.2457330226898193,False,False,0.0,0.0,,,True,0.0,0.0,False
59,7,3,-2.4290778636932373,False,False,0.0,0.0,,,True,1.0,0.0,False
60,7,4,-3.585155963897705,True,True,0.02835714224946555,0.02835714224946555,3,3,False,0.0,0.0,False
61,7,5,-3.672469139099121,True,True,0.025986203288767593,0.025986203288767593,6,6,False,0.0,0.0,False
62,7,6,-1.5638021230697632,False,False,0.0,0.0,,,True,0.0,0.0,False
63,7,7,-3.7347090244293213,True,True,0.024418129510100105,0.024418129510100105,8,8,False,0.0,0.0,False
