cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-3.6934611797332764,True,True,0.02755578079696654,0.02755578079696654,6,6,False,0.0,0.0,False
1,0,1,-4.068706512451172,True,True,0.018934146974878708,0.018934146974878708,26,26,False,0.0,0.0,False
2,0,2,-4.152348041534424,True,True,0.017414888148336985,0.017414888148336985,33,33,False,0.0,0.0,False
3,0,3,-4.568805694580078,True,True,0.01148300169073367,0.01148300169073367,49,49,False,0.0,0.0,False
4,0,4,-4.058692932128906,True,True,0.01912469803337143,0.01912469803337143,24,24,False,0.0,0.0,False
5,0,5,-2.192756175994873,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
6,0,6,-3.8761208057403564,True,True,0.02295538884195336,0.02295538884195336,15,15,False,0.0,0.0,False
7,0,7,-3.89275860786438,True,True,0.02257662129187953,0.02257662129187953,19,19,False,0.0,0.0,False
8,1,0,-2.146299362182617,False,False,0.0,0.0,,,True,0.0,0.0,False
9,1,1,-4.176950454711914,True,True,0.016991667348164565,0.016991667348164565,35,35,False,0.0,0.0,False
10,1,2,-4.227481842041016,True,True,0.016154387434928457,0.016154387434928457,42,42,False,0.0,0.0,False
11,1,3,-4.199930667877197,True,True,0.01660564760607045,0.01660564760607045,39,39,False,0.0,0.0,False
12,1,4,-4.465712070465088,True,True,0.012730000503824026,0.012730000503824026,48,48,False,0.0,0.0,False
13,1,5,-3.87386155128479,True,True,0.02300730953541823,0.02300730953541823,14,14,False,1.0,0.6666666865348816,False
14,1,6,-4.140452861785889,True,True,0.017623278335348023,0.017623278335348023,32,32,False,0.0,0.0,False
15,1,7,-4.4057936668396,True,True,0.013516076864635386,0.013516076864635386,47,47,False,0.0,0.0,False
16,2,0,-1.985844373703003,False,False,0.0,0.0,,,True,0.0,0.0,False
17,2,1,-3.7235093116760254,True,True,0.026740097314050235,0.026740097314050235,8,8,False,0.0,0.0,False
18,2,2,-4.025688648223877,True,True,0.019766426642531303,0.019766426642531303,23,23,False,0.0,0.0,False
19,2,3,-4.232649803161621,True,True,0.016071117541852226,0.016071117541852226,43,43,False,0.0,0.0,False
20,2,4,-4.223111629486084,True,True,0.01622514003104855,0.01622514003104855,41,41,False,0.0,0.0,False
21,2,5,-4.379097938537598,True,True,0.013881757721749162,0.013881757721749162,46,46,False,0.0,0.0,False
22,2,6,-3.944206953048706,True,True,0.02144446498811889,0.02144446498811889,21,21,False,0.0,0.0,False
23,2,7,-4.194366455078125,True,True,0.01669830249973656,0.01669830249973656,37,37,False,0.0,0.0,False
24,3,0,-1.8985519409179688,False,False,0.0,0.0,,,True,0.0,0.0,False
25,3,1,-4.065831184387207,True,True,0.018988667203251947,0.018988667203251947,25,25,False,0.0,0.0,False
26,3,2,-4.182300090789795,True,True,0.016901010817424438,0.016901010817424438,36,36,False,0.0,0.0,False
27,3,3,-4.127286434173584,True,True,0.017856848220136497,0.017856848220136497,31,31,False,0.0,0.0,False
28,3,4,-3.8904073238372803,True,True,0.022629767797688907,0.022629767797688907,18,18,False,0.0,0.0,False
29,3,5,-4.3462419509887695,True,True,0.014345432109323514,0.014345432109323514,45,45,False,0.0,0.0,False
30,3,6,-4.077223777770996,True,True,0.01877356465337799,0.01877356465337799,27,27,False,0.0,0.0,False
31,3,7,-3.9546902179718018,True,True,0.02122083123454378,0.02122083123454378,22,22,False,0.0,0.0,False
32,4,0,-1.9477940797805786,False,False,0.0,0.0,,,True,0.0,0.0,False
33,4,1,-4.086493015289307,True,True,0.018600352038158997,0.018600352038158997,28,28,False,0.0,0.0,False
34,4,2,-3.710472583770752,True,True,0.027090982917375505,0.027090982917375505,7,7,False,0.0,0.0,False
35,4,3,-4.100456237792969,True,True,0.01834243604372304,0.01834243604372304,29,29,False,0.0,0.0,False
36,4,4,-4.2211527824401855,True,True,0.01625695374759735,0.01625695374759735,40,40,False,0.0,0.0,False
37,4,5,-4.306300640106201,True,True,0.014930004045355631,0.014930004045355631,44,44,False,0.0,0.0,False
38,4,6,-4.161152362823486,True,True,0.017262234868216906,0.017262234868216906,34,34,False,0.0,0.0,False
39,4,7,-3.8809430599212646,True,True,0.02284495859748649,0.02284495859748649,17,17,False,0.0,0.0,False
40,5,0,-2.331441879272461,False,False,0.0,0.0,,,True,0.0,0.0,False
41,5,1,-3.9411771297454834,True,True,0.021509536455610587,0.021509536455610587,20,20,False,0.0,0.0,False
42,5,2,-1.8396862745285034,False,False,0.0,0.0,,,True,0.0,0.0,False
43,5,3,-4.199163913726807,True,True,0.016618384937869303,0.016618384937869303,38,38,False,0.0,0.0,False
44,5,4,-4.112847805023193,True,True,0.018116546964625533,0.018116546964625533,30,30,False,0.0,0.0,False
45,5,5,-3.864736557006836,True,True,0.023218211881223614,0.023218211881223614,13,13,False,0.0,0.0,False
46,5,6,-3.8259408473968506,True,True,0.024136680001759295,0.024136680001759295,11,11,False,0.0,0.0,False
47,5,7,-3.6530816555023193,True,True,0.02869124049969006,0.02869124049969006,4,4,False,0.0,0.0,False
48,6,0,-1.722245693206787,False,False,0.0,0.0,,,True,0.0,0.0,False
49,6,1,-2.199721336364746,False,False,0.0,0.0,,,True,0.0,0.0,False
50,6,2,-3.676628828048706,True,True,0.028023535048374813,0.028023535048374813,5,5,False,0.0,0.0,False
51,6,3,-3.616819143295288,True,True,0.029750751117405556,0.029750751117405556,2,2,False,0.0,0.0,False
52,6,4,-3.8770785331726074,True,True,0.022933414360802797,0.022933414360802797,16,16,False,0.0,0.0,False
53,6,5,-3.6409707069396973,True,True,0.029040831302685154,0.029040831302685154,3,3,False,0.0,0.0,False
54,6,6,-3.8395988941192627,True,True,0.023809261139402807,0.023809261139402807,12,12,False,0.0,0.0,False
55,6,7,-3.7691256999969482,True,True,0.025547713529731064,0.025547713529731064,9,9,False,0.0,0.0,False
56,7,0,-2.0261073112487793,False,False,0.0,0.0,,,True,0.0,0.0,False
57,7,1,-3.796180486679077,True,True,0.024865791807856443,0.024865791807856443,10,10,False,0.0,0.0,False
58,7,2,-2.1047027111053467,False,False,0.0,0.0,,,True,0.0,0.0,False
59,7,3,-2.2909038066864014,False,False,0.0,0.0,,,True,1.0,0.0,False
