cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,7.344095706939697,True,True,0.0031295347538527786,0.0031295347538527786,42,42,False,0.0,0.0,False
1,0,1,7.428760528564453,True,True,0.003406036076361033,0.003406036076361033,40,40,False,0.0,0.0,False
2,0,2,8.423036575317383,True,True,0.00920572175787154,0.00920572175787154,27,27,False,0.0,0.0,False
3,0,3,7.377859115600586,True,True,0.00323700254518638,0.00323700254518638,41,41,False,0.0,0.0,False
4,0,4,7.949835777282715,True,True,0.005735210319634465,0.005735210319634465,38,38,False,0.0,0.0,False
5,0,5,6.445158958435059,False,False,0.0,0.0,,,True,1.0,0.6666666865348816,False
6,0,6,10.000494956970215,True,True,0.04457992308329879,0.04457992308329879,4,4,False,0.0,0.0,False
7,0,7,10.124353408813477,True,True,0.0504580377104767,0.0504580377104767,3,3,False,0.0,0.0,False
8,1,0,6.628870010375977,False,False,0.0,0.0,,,True,0.0,0.0,False
9,1,1,8.32952880859375,True,True,0.008383935666777004,0.008383935666777004,29,29,False,0.0,0.0,False
10,1,2,9.57268238067627,True,True,0.029063149349276177,0.029063149349276177,10,10,False,0.0,0.0,False
11,1,3,8.263739585876465,True,True,0.007850115393530399,0.007850115393530399,30,30,False,0.0,0.0,False
12,1,4,8.510037422180176,True,True,0.010042499804688203,0.010042499804688203,25,25,False,0.0,0.0,False
13,1,5,5.996436595916748,True,True,0.0008132027964103717,0.0008132027964103717,48,48,False,1.0,0.6666666865348816,False
14,1,6,8.633199691772461,True,True,0.01135874960661971,0.01135874960661971,21,21,False,0.0,0.0,False
15,1,7,8.780617713928223,True,True,0.013162953878344517,0.013162953878344517,19,19,False,0.0,0.0,False
16,2,0,7.416601181030273,False,False,0.0,0.0,,,True,0.0,0.0,False
17,2,1,8.62842845916748,True,True,0.011304683453806788,0.011304683453806788,22,22,False,0.0,0.0,False
18,2,2,9.426080703735352,True,True,0.02510003773085573,0.02510003773085573,14,14,False,0.0,0.0,False
19,2,3,6.9405517578125,True,True,0.002090368577784096,0.002090368577784096,43,43,False,0.0,0.0,False
20,2,4,9.759223937988281,True,True,0.03502326600378231,0.03502326600378231,7,7,False,0.0,0.0,False
21,2,5,6.473568439483643,True,True,0.001310432303054889,0.001310432303054889,45,45,False,0.0,0.0,False
22,2,6,10.367507934570312,True,True,0.06434740328219667,0.06434740328219667,2,2,False,0.0,0.0,False
23,2,7,8.386651992797852,True,True,0.008876795621272096,0.008876795621272096,28,28,False,0.0,0.0,False
24,3,0,6.033148765563965,False,False,0.0,0.0,,,True,0.0,0.0,False
25,3,1,7.966496467590332,True,True,0.005831563307480647,0.005831563307480647,37,37,False,0.0,0.0,False
26,3,2,8.107845306396484,True,True,0.006716948452155476,0.006716948452155476,34,34,False,0.0,0.0,False
