cell,row,col,raw_logit,env_legal,proposal_legal,p_env,p_policy,rank_env,rank_policy,measured,vlm_indicator,vlm_confidence,selected
0,0,0,-3.8552064895629883,True,True,0.01609979984628172,0.01609979984628172,21,21,False,0.0,0.0,False
1,0,1,-4.2462310791015625,True,True,0.01088931736564783,0.01088931736564783,40,40,False,0.0,0.0,False
2,0,2,-4.331084728240967,True,True,0.010003435673388923,0.010003435673388923,47,47,False,0.0,0.0,False
3,0,3,-4.774704456329346,True,True,0.006419298688855068,0.006419298688855068,63,63,False,0.0,0.0,False
4,0,4,-4.261888027191162,True,True,0.01072015165406486,0.01072015165406486,42,42,False,0.0,0.0,False
5,0,5,-3.8255398273468018,True,True,0.016584582557857136,0.016584582557857136,18,18,False,1.0,0.6666666865348816,False
6,0,6,-4.056756496429443,True,True,0.01316098581622068,0.01316098581622068,29,29,False,0.0,0.0,False
7,0,7,-4.068225383758545,True,True,0.013010906220800743,0.013010906220800743,31,31,False,0.0,0.0,False
8,1,0,-3.5983941555023193,True,True,0.02081386131366157,0.02081386131366157,9,9,False,0.0,0.0,False
9,1,1,-4.351164817810059,True,True,0.009804569100405152,0.009804569100405152,49,49,False,0.0,0.0,False
10,1,2,-4.407911777496338,True,True,0.009263681613289635,0.009263681613289635,56,56,False,0.0,0.0,False
11,1,3,-4.386316299438477,True,True,0.009465911007197845,0.009465911007197845,53,53,False,0.0,0.0,False
12,1,4,-4.676083087921143,True,True,0.0070846483695795395,0.0070846483695795395,62,62,False,0.0,0.0,False
13,1,5,-4.071709632873535,True,True,0.012965651866819384,0.012965651866819384,33,33,False,1.0,0.6666666865348816,False
14,1,6,-4.320921421051025,True,True,0.01010562205931604,0.01010562205931604,46,46,False,0.0,0.0,False
15,1,7,-4.605083465576172,True,True,0.00760594260903644,0.00760594260903644,61,61,False,0.0,0.0,False
16,2,0,-3.630662679672241,True,True,0.020152949400124097,0.020152949400124097,12,12,False,0.0,0.0,False
17,2,1,-3.8789687156677246,True,True,0.015721742295403004,0.015721742295403004,22,22,False,0.0,0.0,False
18,2,2,-4.187289714813232,True,True,0.011550440961858727,0.011550440961858727,37,37,False,0.0,0.0,False
19,2,3,-4.415114879608154,True,True,0.009197194114293272,0.009197194114293272,57,57,False,0.0,0.0,False
20,2,4,-4.405470848083496,True,True,0.009286321225817951,0.009286321225817951,54,54,False,0.0,0.0,False
21,2,5,-4.577918529510498,True,True,0.007815389479484708,0.007815389479484708,60,60,False,0.0,0.0,False
22,2,6,-4.10756254196167,True,True,0.012509030051331048,0.012509030051331048,35,35,False,0.0,0.0,False
23,2,7,-4.382177352905273,True,True,0.00950517109840726,0.00950517109840726,52,52,False,0.0,0.0,False
24,3,0,-3.33630633354187,True,True,0.02705054075475433,0.02705054075475433,5,5,False,0.0,0.0,False
25,3,1,-4.233415603637695,True,True,0.011029767188552577,0.011029767188552577,38,38,False,0.0,0.0,False
26,3,2,-4.353328704833984,True,True,0.00978337605849733,0.00978337605849733,50,50,False,0.0,0.0,False
27,3,3,-4.295039653778076,True,True,0.010370587513941707,0.010370587513941707,45,45,False,0.0,0.0,False
28,3,4,-4.0687971115112305,True,True,0.013003469650676053,0.013003469650676053,32,32,False,0.0,0.0,False
29,3,5,-4.539975643157959,True,True,0.008117625509009279,0.008117625509009279,59,59,False,0.0,0.0,False
30,3,6,-4.250894069671631,True,True,0.010838658783493898,0.010838658783493898,41,41,False,0.0,0.0,False
31,3,7,-4.138642311096191,True,True,0.01212623174004716,0.01212623174004716,36,36,False,0.0,0.0,False
32,4,0,-3.586944818496704,True,True,0.02105353566425231,0.02105353566425231,8,8,False,0.0,0.0,False
33,4,1,-4.236167907714844,True,True,0.010999451653272329,0.010999451653272329,39,39,False,0.0,0.0,False
34,4,2,-3.8451993465423584,True,True,0.016261721682157112,0.016261721682157112,20,20,False,0.0,0.0,False
35,4,3,-4.265110015869141,True,True,0.010685667031174184,0.010685667031174184,43,43,False,0.0,0.0,False
36,4,4,-4.4062628746032715,True,True,0.009278969125049677,0.009278969125049677,55,55,False,0.0,0.0,False
37,4,5,-4.497393608093262,True,True,0.008470755666215683,0.008470755666215683,58,58,False,0.0,0.0,False
38,4,6,-4.345493316650391,True,True,0.009860333710476881,0.009860333710476881,48,48,False,0.0,0.0,False
39,4,7,-4.059228420257568,True,True,0.013128493038161453,0.013128493038161453,30,30,False,0.0,0.0,False
40,5,0,-3.6120548248291016,True,True,0.02053146330137654,0.02053146330137654,11,11,False,0.0,0.0,False
41,5,1,-4.094043254852295,True,True,0.012679291533754761,0.012679291533754761,34,34,False,0.0,0.0,False
42,5,2,-3.73173189163208,True,True,0.01821565588797558,0.01821565588797558,14,14,False,0.0,0.0,False
43,5,3,-4.371667861938477,True,True,0.009605592372151051,0.009605592372151051,51,51,False,0.0,0.0,False
44,5,4,-4.282181739807129,True,True,0.010504792585697696,0.010504792585697696,44,44,False,0.0,0.0,False
45,5,5,-4.027441501617432,True,True,0.013552510785061745,0.013552510785061745,27,27,False,0.0,0.0,False
46,5,6,-4.0012407302856445,True,True,0.0139122896818871,0.0139122896818871,25,25,False,0.0,0.0,False
47,5,7,-3.8314459323883057,True,True,0.016486920954930106,0.016486920954930106,19,19,False,0.0,0.0,False
48,6,0,-2.9085276126861572,True,True,0.04149138091544962,0.04149138091544962,2,2,False,0.0,0.0,False
49,6,1,-3.5656445026397705,True,True,0.021506792746417574,0.021506792746417574,7,7,False,0.0,0.0,False
50,6,2,-3.817718505859375,True,True,0.01671480449977415,0.01671480449977415,17,17,False,0.0,0.0,False
51,6,3,-3.7613368034362793,True,True,0.01768428737030378,0.01768428737030378,15,15,False,0.0,0.0,False
52,6,4,-4.04401969909668,True,True,0.013329686699105801,0.013329686699105801,28,28,False,0.0,0.0,False
53,6,5,-3.8008832931518555,True,True,0.016998583829111267,0.016998583829111267,16,16,False,0.0,0.0,False
54,6,6,-4.00267219543457,True,True,0.013892388971050919,0.013892388971050919,26,26,False,0.0,0.0,False
55,6,7,-3.9351730346679688,True,True,0.01486248562623488,0.01486248562623488,23,23,False,0.0,0.0,False
56,7,0,-3.188701629638672,True,True,0.03135305466867516,0.03135305466867516,3,3,False,0.0,0.0,False
57,7,1,-3.9546072483062744,True,True,0.014576433507535074,0.014576433507535074,24,24,False,0.0,0.0,False
58,7,2,-3.31563401222229,True,True,0.027615558215050826,0.027615558215050826,4,4,False,0.0,0.0,False
